,A,ArcA,PdhR,Fur,Fis,Fnr
R2,,0.14386547891157198,0.13998739193518883,0.03994788161926266,0.030884108765258933,0.00013154114098912206
xmin,,-3.6017898952,-7.947651277,-9.893921886,-4.8936592304,-7.8525940196
xmid,,-0.8012127810401766,-1.930191985234265,-0.6326832965138468,,
xmax,,3.7109145168,5.123006498,3.7262191745,4.361795663,4.4171410107
ystart,,2.093607197296438,-1.3171787847949963,1.4228147899548589,-1.5661716747512886,1.233600865022521
yend,,-5.0537484790436125,5.856439224536264,-3.570742423987018,2.6566832781556,0.18971603259669606
SRX1125282,-0.7514001355000001,0.1536251284,0.0786388769,-0.019353005700000002,0.1452799267,-0.0825740115
SRX1125283,1.3530657513,-0.1085541986,1.7268348803,0.2305871583,0.032152022100000004,0.16485310350000001
SRX1125284,1.637439286,-0.269085791,3.5512277696,0.7275786303,-0.11344229280000001,0.7752711503
SRX1125285,4.2054318428,0.0131235692,3.7031529341000002,1.208661552,-0.6030691047,0.9066270852
SRX1125286,7.3229634337,0.26443002660000003,3.7042838061000003,1.1169083627,-0.7040569003,0.95171602
SRX1125287,7.3446537917,-0.1415413156,3.538023116,1.0786663615,-0.3000441569,1.0192587317
SRX1125288,1.2408498933,-0.1227035083,-0.0471191304,-0.0089366757,-0.1565872788,0.1234264677
SRX1125289,0.90069699,-0.4182880135,2.8958078209,0.5340986209,0.0544366627,0.4334180231
SRX1125290,3.1205028844,-0.1456535487,3.7406613857,0.8046125807000001,-0.2428967066,0.7979562918
SRX1125291,4.6995568499,0.0864050615,3.74836876,1.2652089755,-0.7952871017,0.8964971719
SRX1125292,7.2181020872,0.326354303,3.6725961106,0.9467520126000001,-1.2037749275,0.9047534472000001
SRX1125293,5.1600051456,0.2809830862,3.3628660916,1.0346662242,-0.8523048087,0.9185125141
SRX1125294,-0.4894497578,-0.0309216201,-0.0315197465,0.028289681400000002,0.011307352100000001,-0.040852456200000005
SRX1125295,-0.5814059731,-0.0305290823,1.8653251552999999,0.43446716560000004,0.29622605760000004,0.2208704434
SRX1125296,1.7253206664,-0.30555163100000005,3.4807715254,0.6134168988,0.0283022157,0.7920547098
SRX1125297,2.7020995226,0.0006214416,3.6670593325,1.29823639,-0.43191519440000004,0.8818752216
SRX1125298,5.298568922,0.6068628834,3.7439360697,1.3466842796,-1.1986122972,0.9825066807
SRX1125299,4.7111643845,0.5516321501,3.5139543053,1.1321686126000001,-1.2380068344,0.9444446514
SRX5694250,0.1448237154,0.49107579710000004,0.7253847981,0.15514151240000001,-0.1179993382,0.0403637158
SRX5694251,2.3810866803,-0.9538123343,1.3865036554999999,0.4377684502,0.7771395971,0.5459244040000001
SRX5694252,1.1789249431,0.3631602573,1.1613375295,-0.4062446666,0.1724641512,-0.6791990309
SRX5694253,-0.23727101820000002,-0.17749356630000002,-0.827989933,0.46838079790000003,-0.4379147116,0.0078028844000000005
SRX5694254,-0.057976273200000004,-0.2571254471,-1.6353559903,0.6257311257,1.7759768752,-1.3129271236
SRX5694255,-2.6457532291,-0.5795873771,-2.3337368603,1.2222652304000001,0.1268043401,0.20689053170000002
SRX5694256,6.9991996571,-0.6394832572,0.1737032199,0.18962784700000002,0.08683377910000001,-0.045048951000000004
SRX5694257,1.230084307,-0.5994008193,0.4052451144,1.1965334314,0.147434414,0.4656249649
SRX5694258,0.8800113332,-0.8093510237,-0.8283493310000001,0.2926141826,-0.7709696535,-0.3784852643
SRX5694259,4.0112817906,-1.223874242,2.6850749404,0.14519100170000002,1.8644089753,0.3019332691
SRX5694260,3.2245582273,-0.20132201460000002,-0.1260341966,-0.0246486099,-0.3006031253,0.0320312785
SRX5694261,5.524456953,-0.38609345780000004,1.8993536682,-1.6263367794999999,0.5347225265000001,-2.6112045671
SRX5694262,-0.8606806655,1.2331627263,0.9910496412,-0.8044302194,-0.315531422,0.2482154852
SRX5694263,3.0358770846,-0.4496263185,-0.1334589168,-0.0720290764,-0.27706315800000003,0.0230880885
SRX5694264,3.3833707398,-0.5000365137,0.0270796529,0.463461864,-1.0515561892,0.3075812793
SRX5694265,3.4427682462,-0.9224545732,-0.8466689001000001,-0.5470965469,0.45988812300000004,-0.7038356709
SRX5694267,1.1747763524,-0.31040230480000003,-0.8803425433000001,0.30733720410000004,-0.1227531806,-0.2244639849
SRX5694268,3.604867954,-0.1547312355,-0.2752803049,-0.2169944251,-0.7439088252,0.32801548280000004
SRX5694269,2.452356239,-0.7734435138,-0.39945049250000003,-0.0938650437,-0.3382359766,-0.0363903054
SRX5694271,2.0330433525,-0.2452190206,-0.4419979311,0.2777125167,-0.46712865400000003,0.1539794799
SRX5694273,5.9374932623,-0.6604458461,1.266892293,-0.7033619888,1.2231535145,-0.315089026
SRX5694274,3.3132137326,-0.36638296740000004,-0.0808113733,-0.2520653392,-0.8780742082,-0.19593564700000002
SRX5694275,9.2141562936,-0.6634625427,0.07512070230000001,-0.7046253372,-0.3190684022,0.1826918599
SRX5694276,0.0923354012,-0.7503258015000001,-0.6673192978,0.0317203545,0.9380870463000001,0.6125076868
SRX5694277,2.8639380961,-0.1047583445,0.831519917,0.233701549,-0.5544290879,0.518483773
SRX5694278,-0.7476801178,-1.0523870943,0.037717413400000004,-0.40180014550000004,0.499138858,0.6077452839
SRX5694279,2.7245149441,-0.3908090648,1.3179327087,-0.2256123391,0.1323222643,0.7489705412000001
SRX5694280,8.0524514526,-0.6588512144,0.42768361860000004,-0.0690208313,0.2073111051,-1.2905505804000001
SRX5694281,3.3735355352,-0.796986874,0.2221631061,0.0975378159,-0.25733282500000004,0.4743514224
SRX5694282,-1.8022704453,0.6215221205,-0.7253846821000001,0.9722225077000001,-0.43288717800000004,0.8302627999000001
SRX5694283,5.4809460804,-0.7357496835,-0.6514753326,-0.3926104231,-0.1847626776,-0.8002749045
SRX5694284,3.5886730815,-0.8809856715000001,-0.1516361028,-0.011125823600000001,0.9230981104,-1.6551107114999999
SRX5694285,7.1032285899,-0.332200824,0.6963605033,-0.1153333252,0.418788309,0.21844817860000001
SRX5694286,8.6492049243,-0.7032624132,0.1837709777,-0.43185484830000004,0.2659133738,0.0879280571
SRX5694287,9.7574704298,0.5471721956,1.9427185526000001,0.4129649769,-1.8737666673,0.8900785727
SRX5694288,3.9203687184,-0.6750352942000001,0.046946868700000005,-0.2012607397,-0.7529405576,-0.0313845657
SRX5694289,0.8784992749,-0.7443126348,-1.4623495752,0.3114276031,0.40104904210000003,-0.4150383489
SRX5694290,3.1621299695,-0.46151863260000003,-0.2098762837,0.4279505287,-0.5866514008,0.2272209504
SRX5694291,-3.016234684,-0.6557503914,-2.4302167375,1.2267004369,0.1670368142,0.16806743940000002
SRX5694292,2.6793847842,-0.6482476939,0.604853218,-0.1819792789,-0.18329488400000002,0.40832126950000003
SRX5694293,2.6518947227,-0.4793409832,-0.9640342847000001,0.0923447817,-0.44714341750000003,0.0877333852
SRX5694294,-0.9104097654000001,-0.5675396422,-1.6481699323,0.4137604635,-1.1044765928,-0.1654402185
SRX5694295,4.9674893383,-0.034679769900000004,0.9013299302000001,-0.0411889955,2.01999203,-0.12067474560000001
SRX5694296,-0.7632548075000001,-0.3525345714,-0.10801200050000001,0.4465032129,-0.11737753790000001,0.1613415464
SRX5694297,-2.8011726598,-0.0338108436,1.1608061739,1.1929509728,1.1007515523,0.257224454
SRX5694298,5.8732196512,-0.4064062229,0.4267420384,-0.24377161500000002,-0.1059151671,0.047755995
SRX5694299,-0.0989184153,-0.40150323260000004,-0.4874277622,0.1022267718,-0.1809852853,-0.1308553567
SRX5694300,1.4334484172,-0.4034077274,-1.8979802275000002,-0.08204266710000001,-0.4078044901,-0.3609283863
SRX5694301,3.597017558,-0.7157018740000001,0.1789729038,-0.40016228400000003,-0.4056936109,0.20815252
SRX5694302,2.5693827389,-0.7166546285000001,0.46096723570000003,-0.1309359008,-0.2755809595,0.0028938907
SRX5694303,2.3858210154,-0.5501377366,0.1620881607,0.0090969511,-0.0218445443,0.11078089020000001
SRX5694304,2.3551934552000002,-0.3916451892,-1.4105969001,-0.1838030893,-0.3603364043,-0.2836689398
SRX5694305,0.5749693678000001,-0.7050130261,1.2973136534,0.46724588110000004,0.5386924691,0.0804674744
SRX5694306,-0.06488630470000001,0.5643015045,0.43651621490000003,-2.4282303025,-1.1777016044,-0.2221077391
SRX5694307,-2.0215333201,0.7962936861000001,-0.2776117523,0.9629089327,0.4569554622,0.6605546913
SRX5694308,3.0896505251,-0.2826643938,0.19783469480000002,0.12368935310000001,0.62288687,0.030807355300000002
SRX5694309,0.9705313362,-0.9324801713,1.0909626649,0.8900661546,2.3050038891,0.1635488437
SRX5694310,8.2951955748,-0.7154435960000001,-0.5051957658,-0.3167585807,-0.034645267800000004,-0.4774994905
SRX5694311,3.2447978892,-1.0549187552000001,1.4602620033,-0.2278540168,1.6454385256,0.0987552064
SRX5694312,-1.0264044613,1.2063663425,0.7237114785000001,-1.2068082598,-0.862049083,0.2741965069
SRX5694313,3.8863721635,0.24705451250000002,0.9589068235,-0.22732878210000002,1.5046348551,0.12295077100000001
SRX5694315,3.9474093535,-0.8248140526000001,-0.6450805798,-0.6056212274,-0.7560279758,-0.3737381984
SRX5694317,5.9028649801,0.0642004802,1.6610062005000001,0.20430109170000002,-0.9570480503000001,1.3424886167
SRX5694319,3.1609118383,-0.6773202813,0.6424275629,0.2181452225,-0.2310521848,0.09932130680000001
SRX5694320,-3.9483710876,-0.7345571464,-2.5199765503,1.1462812854,0.0384749824,0.0559133562
SRX5694321,3.8083359009,-0.6457091890000001,-0.61694242,0.3636055414,-0.27164175360000004,-0.2242105774
SRX5694322,-1.6942122699,0.9416705114,1.8493936930000001,0.4631088042,-0.9889467527,0.41129122560000003
