,ileV
Cr_1,-0.01606019874060885
Cr_2,-0.019323506164471798
Cr_3,-0.0007884990005055846
Cr_4,0.0054177451539748145
Cr_5,0.009234068779164445
Cr_6,0.00913012112314949
Fe_1,-0.06514816333841951
Fe_2,-0.14769137467901394
Fe_3,-0.18413609730071426
Fe_4,-0.2033855577029008
Fe_5,-0.17327326146190722
Fe_6,-0.1669199598028926
Cd_1,0.014476131136102487
Cd_2,0.01941920874657873
Cd_3,0.02307898840718941
Cd_4,0.026247647945025127
Cd_5,0.03123860337468657
Cd_6,0.032142896055435737
Zn_1,-0.019258502444684043
Zn_2,-0.03900212239644677
Zn_3,-0.05216715063571207
Zn_4,-0.03184155484867168
Zn_5,-0.010839193791210313
Zn_6,-0.003458156486746184
Cu_1,0.0077576182740032905
Cu_2,0.0024016793334816823
Cu_3,0.016644558689181594
Cu_4,0.02502575087166809
Cu_5,0.032570070369279065
Cu_6,0.030192381707143844
Pb_1,0.007235881830630102
Pb_2,0.020993701727892267
Pb_3,0.021802710204679682
Pb_4,0.03162468503189905
Pb_5,0.032095239461599534
Pb_6,0.030584964057570687
