,A,LexA
R2,,0.7108766039018766
xmin,,-0.521841821
xmid,,0.6347335298917128
xmax,,3.551763308
ystart,,-0.1835386084610806
yend,,13.262509944803762
ecoli_00001,-0.1813733331,0.059122374000000005
ecoli_00002,0.1813733331,-0.059122374000000005
ecoli_00003,0.8603822293000001,-0.07905964600000001
ecoli_00004,1.0267617398,-0.214367161
ecoli_00005,0.481632082,-0.02936671
ecoli_00006,0.2836367755,-0.14031837700000002
ecoli_00007,2.431251335,0.08561924600000001
ecoli_00008,2.2167697255,-0.023741448000000002
ecoli_00009,5.2678094568,0.7720563810000001
ecoli_00010,5.015587023,0.813378406
ecoli_00011,-0.2680359392,0.38032570400000004
ecoli_00012,-0.0720071493,0.348725753
ecoli_00014,0.465519024,0.293206026
ecoli_00015,-0.0583860238,0.38179894600000003
ecoli_00016,0.2509245223,0.43227302500000003
ecoli_00017,-0.41210791550000003,0.437416356
ecoli_00018,-0.36264964320000004,0.404617153
ecoli_00019,0.2527458775,0.49994803200000004
ecoli_00020,0.3607993653,0.5775653350000001
ecoli_00021,0.9187880866,1.021489515
ecoli_00022,0.8115697505,0.9797986340000001
ecoli_00023,0.29592657440000003,0.266423373
ecoli_00024,0.0747571308,0.250505101
ecoli_00025,0.9325166829,0.623354929
ecoli_00026,1.1872976916,0.707997938
ecoli_00027,1.3176916868,-0.154831606
ecoli_00028,1.2760340238,-0.037830056
ecoli_00029,0.1403188527,-0.046203793
ecoli_00030,0.0928612506,0.028842067000000002
ecoli_00031,0.0230115343,0.13863147
ecoli_00032,0.2996397972,0.132307921
ecoli_00033,3.8804110906,0.519842412
ecoli_00034,4.4536857612,0.8859906380000001
ecoli_00035,0.43258132850000003,0.329731738
ecoli_00036,0.4156583091,0.23508187300000002
ecoli_00037,0.0154902215,0.386403861
ecoli_00038,0.20631638670000002,0.44387907800000004
ecoli_00039,-0.2780227269,0.466202382
ecoli_00040,-0.8108799704,0.377652392
ecoli_00041,-1.0280420441,0.129298707
ecoli_00042,-0.6788414305,0.132464737
ecoli_00043,-1.7541544639,-0.028659463000000003
ecoli_00044,-0.9854446539,0.08888201
ecoli_00045,-1.1703789795,0.07453646
ecoli_00046,-1.1225600776,0.030743079000000003
ecoli_00047,-1.0711163786,0.170421697
ecoli_00048,-0.44278734900000005,0.09827706700000001
ecoli_00049,0.1757565053,0.21299631600000002
ecoli_00050,2.0271622482,-0.24221314
ecoli_00051,2.0806277967,0.12915168400000002
ecoli_00052,0.7017866204000001,-0.166827881
ecoli_00053,0.49445398160000004,-0.1318801
ecoli_00054,0.2643292392,0.223683029
ecoli_00055,0.708066783,-0.07348668900000001
ecoli_00056,-1.2702219732,0.22774449700000002
ecoli_00057,-0.9214318008,0.211605544
ecoli_00058,-1.4979617194000001,0.546898325
ecoli_00059,-1.4847895478,0.725671469
ecoli_00060,-0.9098292844,0.74578795
ecoli_00061,-0.8152386267,0.686151328
ecoli_00062,-0.253155962,0.7319395190000001
ecoli_00063,-0.4208680702,0.8472807950000001
ecoli_00064,2.2148884218,-0.260087299
ecoli_00065,1.5428602968,-0.31873032500000004
ecoli_00066,3.6483796878,-0.208230463
ecoli_00067,3.5504340584,-0.230307795
ecoli_00068,5.0868242994,0.8060344700000001
ecoli_00070,0.0322934006,-0.043401208000000004
ecoli_00071,0.0241471191,-0.0470162
ecoli_00072,-0.4094823457,-0.172128197
ecoli_00073,-1.3387788009000001,-0.145669715
ecoli_00074,-1.7173067631,0.255293161
ecoli_00075,0.0105867522,0.384095878
ecoli_00077,0.9624039956,0.51528693
ecoli_00078,-0.0673636582,0.407775875
ecoli_00079,-0.3428912081,0.5159500850000001
ecoli_00080,3.5492364335,0.181524394
ecoli_00081,0.35892561780000004,0.03689676
ecoli_00082,0.5643179253,-0.35267482
ecoli_00083,0.5724652558000001,-0.521841821
ecoli_00084,1.1517223385,-0.046636493
ecoli_00085,1.4035908047,-0.020076091
ecoli_00086,0.9296070350000001,0.366867853
ecoli_00087,0.6882502168,0.310384533
ecoli_00088,-0.1579611956,0.44602959200000003
ecoli_00089,-0.28900812740000004,0.375054296
ecoli_00090,0.2485331154,0.385415422
