,-0.08350547608333334,-0.06832266225,-0.05313984841666666,-0.03795703458333333,-0.02277422074999999,-0.007591406916666654,0.007591406916666682,0.022774220750000018,0.037957034583333354,0.05313984841666669,0.06832266225000003,0.08350547608333336,0.0986882899166667,0.11387110375000004,0.12905391758333337,0.1442367314166667,0.15941954525000004,0.17460235908333335,0.18978517291666672,0.20496798675000008
thresh,-0.091096883,0.091096883,5,,,,,,,,,,,,,,,,,
unreg,0,0,1,17,247,2083,1865,183,25,7,1,2,1,1,0,0,0,0,0,0
SigA,0,0,1,22,76,601,599,105,17,6,0,3,1,0,0,0,0,0,0,0
AnsR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MtlR and SigA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
SigA and AnsR,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],['S1118'],['S505'],[],[],[],[],[],[]
SigA_genes,[],[],['ribH'],"['S126' 'ribE' 'ribA' 'putP' 'S1527' 'argF' 'leuC' 'comS' 'S1314' 'gamA'
 'leuB' 'S1465' 'cysI' 'leuD' 'carB' 'srfAA' 'ribD' 'cysJ' 'S118' 'srfAB'
 'gamP' 'gltB']","['S116' 'putC' 'carA' 'S91' 'sacB' 'S625' 'dppE' 'liaH' 'nadA' 'sspE'
 'ilvC' 'dppC' 'nadR' 'S1343' 'leuA' 'srfAC' 'dppD' 'yukE' 'nasE' 'liaI'
 'ylnF' 'putB' 'S45' 'trxA' 'sirB' 'nasF' 'nifS' 'cwlO' 'S39' 'S3' 'proI'
 'S684' 'cdd' 'S1327' 'phrG' 'lytE' 'sacP' 'S330' 'S1284' 'azoR2' 'S605'
 'mtnD' 'gltA' 'aprE' 'nadE' 'albF' 'S55' 'skfA' 'S1447' 'bltD' 'clpP'
 'S599' 'nadC' 'S682' 'argD' 'tyrS' 'S1078' 'S1442' 'S77' 'lytA' 'dnaA'
 'purH' 'ywdA' 'mtnB' 'S297' 'S1448' 'albE' 'rplD' 'sacA' 'gtaB' 'nadB'
 'swrAA/2' 'S5' 'yxiE' 'ypjD' 'purD']","['arsR' 'lytB' 'S1345' 'ypqP' 'groES' 'rplV' 'clpC' 'albD' 'rpoE' 'rpsJ'
 'ilvH' 'rplW' 'S68' 'disA' 'ctsR' 'ohrR' 'S1517' 'yurJ' 'csbA' 'S490'
 'S1282' 'acuA' 'S298' 'levB' 'ylaB' 'radA' 'glnA' 'dnaN' 'blt' 'sufU'
 'rplB' 'yfkJ' 'dhbB' 'S1344' 'era' 'hutM' 'fur' 'skfF' 'S323' 'S484'
 'yocH' 'S1342' 'efeB' 'flgM' 'rapA' 'rpsS' 'rplC' 'zinT' 'pyrC' 'S1226'
 'bacC' 'S428' 'catD' 'purN' 'rapG' 'ydfM' 'mtnK' 'S1139' 'skfE' 'nupQ'
 'txpA' 'ycbK' 'S1011' 'S310' 'yfkI' 'ssuA' 'adaA' 'hutH' 'S1275' 'comGA'
 'ssuB' 'adaB' 'gabP' 'fadN' 'speE' 'yxbA' 'ccdA' 'swrA' 'ygaN' 'ylaA'
 'ywrA' 'phoA' 'comQ' 'hutI' 'ssuC' 'mtnX' 'gntR' 'S1444' 'ssuD' 'yxnB'
 'bacD' 'proA' 'flgE' 'rsbV' 'ywrB' 'sprA' 'bacF' 'albG' 'nupP' 'epsA'
 'pstBB' 'efeO' 'S16' 'S1419' 'fabL' 'S1353' 'hutG' 'phrC' 'S1525' 'rtpA'
 'arfM' 'asnH' 'S1143' 'swrB' 'S440' 'scr' 'dppB' 'glpD' 'melA' 'S1373'
 'ylaC' 'phrA' 'hutU' 'S1065' 'S363' 'feuA' 'spoIIT' 'S1382' 'yflI' 'yxeN'
 'licR' 'nfrA' 'gltR' 'S672' 'alkA' 'S1464' 'sipW' 'S17' 'S1513' 'copZ'
 'licB' 'sigH' 'gutB' 'comEA' 'yqiK' 'pucL' 'cheD' 'S1' 'purM' 'srfAD'
 'bacE' 'catE' 'ldh' 'S1254' 'ptsA' 'pucM' 'dtpT' 'tuaE' 'S957' 'fadR'
 'ybgB' 'bshB2' 'recU' 'opuAB' 'comGB' 'S1127' 'dapB' 'S667' 'guaD'
 'S1322' 'yxaM' 'tagD' 'yjdF' 'S1329' 'skfH' 'S220' 'nrdI' 'ftsW' 'cheW'
 'S1177' 'spo0F' 'albC' 'flgD' 'kinE' 'sinR' 'skfG' 'acuC' 'tuaG' 'tagH'
 'liaR' 'yqaF' 'wapA' 'tuaH' 'tuaF' 'S949' 'pyrAA' 'fnr' 'mtnA' 'S1422'
 'S1137' 'cysK' 'S1303' 'acuB' 'gamR' 'ggaA' 'cheC' 'cggR' 'pstBA' 'etfB'
 'mcsB' 'icd' 'sspH' 'rplP' 'metC' 'comA' 'S1283' 'cheA' 'araR' 'S90'
 'putR' 'pyrB' 'proB' 'ywzB' 'melR' 'S663' 'swrD' 'yfmP' 'S529' 'mutY'
 'ganQ' 'rplX' 'fadB' 'msrB' 'phoP' 'S593' 'ganA' 'pheT' 'BSU_misc_RNA_21'
 'comFA' 'ydfK' 'opuAC' 'ganP' 'epsB' 'snaB' 'yydH' 'fliR' 'liaG' 'bsrG'
 'rsbS' 'kapB' 'exuT' 'melD' 'cadA' 'S1152' 'liaS' 'S320' 'htrA' 'S1170'
 'yfkH' 'flhG' 'rsgI' 'albA' 'liaF' 'yutD' 'yxeQ' 'sigM' 'ccpA' 'yxbB'
 'fliZ' 'ylbQ' 'degS' 'cheY' 'uxuA' 'tagU' 'S1526' 'S1507' 'S902' 'nupO'
 'S924' 'lutA' 'iolR' 'nagA' 'sprB' 'fbp' 'ycnL' 'S1450' 'ylaD' 'lcfA'
 'yjmF' 'S353' 'yxaB' 'lytC' 'rsbW' 'rpsQ' 'yhdF' 'S1064' 'ctaA' 'sinI'
 'rpmC' 'S1512' 'pabB' 'znuA' 'spo0A' 'S1212' 'mtnE' 'sndB' 'wprA' 'tasA'
 'S1169' 'yoyC' 'S128' 'hemZ' 'dhbE' 'S952' 'fliP' 'S1125' 'pamR' 'rsbR'
 'bshC' 'wapI' 'S1124' 'S1097' 'yojF' 'yxeM' 'S1374' 'rpsC' 'tagG' 'mreD'
 'yqcK' 'fliY' 'sufB' 'yotM' 'S948' 'S1309' 'citG' 'mcsA' 'ytrC' 'rplR'
 'cmoI' 'S1119' 'ywkB' 'S1209' 'rsbT' 'parE' 'ytrA' 'pabA' 'yaaA' 'rplN'
 'msrA' 'motS' 'S1362' 'ykoP' 'ftsA' 'gltC' 'tkmA' 'yhdL' 'S1543' 'yabE'
 'tetB' 'rplS' 'S1516' 'cdaR' 'pheS' 'flhB' 'rpsH' 'S886' 'lcfB' 'yvoF'
 'yvyF' 'cmoJ' 'eno' 'lgt' 'S477' 'S844' 'tcyJ' 'S1440' 'mgsA' 'ydcG'
 'resA' 'ylxS' 'S1318' 'S1443' 'amyE' 'aprX' 'S1085' 'S110' 'S1067' 'rapD'
 'ywbI' 'nagP' 'S1215' 'ugd' 'dhbF' 'epsC' 'ylbP' 'yqaM' 'fruC' 'argB'
 'S1355' 'S1531' 'pucK' 'mreC' 'S1162' 'hemL' 'opuAA' 'sndA' 'sufS'
 'comFB' 'tcyK' 'purF' 'narK' 'xynB' 'iolA' 'S1133' 'nagR' 'S1540' 'S189'
 'fliQ' 'S541' 'ribR' 'ytrD' 'S914' 'groEL' 'S245' 'bmrA' 'S1454' 'S947'
 'S1505' 'pgk' 'yqaK' 'comGC' 'fliG' 'capB' 'yxeO' 'S48' 'yutE' 'spo0E'
 'tuaD' 'S480' 'trmFO' 'tatCD' 'comGD' 'metI' 'yqaJ' 'S201' 'alsD' 'chrS'
 'rplE' 'mbl' 'yydF' 'ftsH' 'rbsR' 'phoR' 'fliI' 'snaA' 'S78' 'capC'
 'gutP' 'yqzL' 'fliM' 'yydI' 'pgm' 'comGE' 'yjmC' 'pyrR' 'S1506' 'ytpP'
 'ytnM' 'S70' 'defA' 'S1346' 'S232' 'rplF' 'S1371' 'S960' 'pstA' 'uxaC'
 'gmuG' 'tcyL' 'S266' 'flgK' 'nagB' 'sr1' 'lepA' 'yvoE' 'rnjB' 'sufC'
 'licH' 'yjmB' 'yuxO' 'mtnW' 'phrE' 'recO' 'S6' 'comP' 'yqaI' 'motP'
 'bglS' 'nrdE' 'S485' 'sipS' 'qcrA' 'melC' 'yqaG' 'thrZ' 'epsH' 'flhF'
 'gapB' 'folB' 'sigI' 'S18' 'yeaB' 'fadA' 'S1153' 'sufD' 'S472' 'ganS'
 'hlpB' 'flhA' 'fadF' 'rsbU' 'exuR' 'cheB' 'flgC' 'iolB' 'yojE' 'hprT'
 'ybzG' 'comFC' 'S1421' 'rbsB' 'manR' 'bacB' 'hemB' 'S207' 'ytrB' 'yhxA'
 'yyaF' 'xynP' 'rapB' 'albB' 'rpsN' 'etfA' 'ganB' 'uxaA' 'pdeH' 'tagB'
 'iolC' 'licC' 'tapA' 'yrrT' 'comGF' 'S881' 'speB' 'iolS' 'yflG' 'hprK'
 'S1228' 'kinB' 'rbsC' 'fliK' 'tilS' 'S42' 'mhqA' 'ytfP' 'yqaL' 'yqzO'
 'mhqE' 'phrI' 'yhdK' 'S56' 'gyrA' 'yqxD' 'dhbA' 'lysS' 'rpoY' 'ftsZ'
 'qcrB' 'yotI' 'S982' 'ylxF' 'fliF' 'S1084' 'flgL' 'S328' 'lonA' 'S439'
 'comC' 'acdA' 'ytpQ' 'araQ' 'yqdA' 'S1441' 'rplQ' 'yjmD' 'sacY' 'mtrB'
 'cymR' 'epsG' 'sda' 'ezrA']","['S1087' 'lutR' 'ctc' 'yxeK' 'rpoA' 'fliL' 'tagA' 'S1361' 'scoC' 'ybfM'
 'S1061' 'tagE' 'cysE' 'spoIIGA' 'hmp' 'S267' 'mccA' 'braB' 'S1356' 'pyrE'
 'fliE' 'ykuP' 'ribT' 'S592' 'yydJ' 'mhqN' 'mdh' 'S1308' 'xylB' 'mreB'
 'ntdA' 'yvyG' 'phoC' 'rsiX' 'rplGA' 'glcR' 'yosX' 'abf2' 'spx' 'S1138'
 'S1313' 'bglC' 'cmoO' 'licA' 'licT' 'yvcI' 'hemX' 'kinC' 'bshB1' 'bglP'
 'S486' 'ytzK' 'rsbX' 'yqaN' 'ypbS' 'S38' 'acoR' 'pstS' 'mhqP' 'rbsK'
 'gabD' 'pstC' 'skfB' 'pucJ' 'med' 'ptpZ' 'citA' 'fliJ' 'yutF' 'nasD'
 'S1363' 'yneJ' 'alsS' 'ytrF' 'tpi' 'S1307' 'manA' 'epsD' 'folK' 'S1312'
 'tatAD' 'BSU_misc_RNA_28' 'S963' 'mta' 'efeU' 'tcyM' 'sul' 'ywhA' 'cccA'
 'S860' 'glmM' 'abnA' 'citM' 'minJ' 'recA' 'yqaH' 'pyrAB' 'rocR' 'minC'
 'ogt' 'remB' 'map' 'cssS' 'sigB' 'S1066' 'tcyN' 'rpoC' 'tuaA/2' 'S1481'
 'ytrE' 'purS' 'S83' 'comZ' 'manP' 'epsO' 'rpsE' 'sigG' 'rpsF' 'pyrP'
 'S481' 'S1063' 'guaA' 'tuaA/1' 'yfmO' 'hypO' 'clpQ' 'ponA' 'dhbC' 'yotJ'
 'glcP' 'ahpC' 'S1101' 'yczL' 'tuaB' 'S452' 'yloN' 'S108' 'ptkA' 'znuB'
 'degU' 'pbpD' 'cysL' 'arsB' 'opuD' 'S1257' 'S502' 'S411' 'whiA' 'yciB'
 'csrA' 'pyrK' 'yacO' 'spoIIIE' 'sigD' 'ccpC' 'mhqD' 'S82' 'qcrC' 'pyrF'
 'S1377' 'melE' 'purL' 'S1302' 'S99' 'pyrD' 'S1217' 'dnaG' 'S621' 'nasC'
 'S262' 'uxaB' 'ysfE' 'rbsA' 'sigX' 'birA' 'comX' 'ylxR' 'glpP' 'ssbA'
 'perR' 'rnjA' 'rpmGB' 'infA' 'iolF' 'pssA' 'S528' 'feuB' 'yneI' 'S636'
 'codV' 'araM' 'copA' 'yotK' 'S953' 'S584' 'malP' 'glmS' 'S208' 'ydhF'
 'prfB' 'folEB' 'iolI' 'yacF' 'rapC' 'S1081' 'araA' 'cdaA' 'yflH' 'sbcC'
 'pbpF' 'S1060' 'abfA' 'araN' 'folE' 'yvoD' 'S1310' 'fliH' 'S843' 'S1394'
 'gltX' 'comEB' 'iolD' 'purQ' 'ykuN' 'valS' 'pycA' 'parC' 'yxaA' 'secE'
 'psdR' 'S861' 'nasB' 'hbs' 'rpoB' 'S1528' 'tuaC' 'S1253' 'araB' 'yacP'
 'dppA' 'ohrA' 'sigE' 'glnR' 'ascR' 'iolG' 'S1366' 'araP' 'rapH' 'ackA'
 'ntdB' 'S602' 'ntdC' 'SR4' 'mecA' 'bmr' 'flgB' 'mrnC' 'bglH' 'sacX'
 'pfeT' 'rppH' 'lrpC' 'pucH' 'ktrC' 'epsJ' 'S879' 'S763' 'arsC' 'S371'
 'yvcD' 'glmR' 'ylnD' 'bshA' 'S533' 'galE' 'yukD' 'comGG' 'epsK' 'araD'
 'ggaB' 'pabC' 'fadE' 'pucE' 'cssR' 'ureC' 'phoB' 'yvcN' 'lutC' 'S69'
 'glvR' 'gmuR' 'S355' 'secY' 'S1468' 'pucA' 'pta' 'S1100' 'rpmJ' 'radC'
 'clpY' 'S1057' 'ureB' 'dra' 'S585' 'ywoD' 'araL' 'cysC' 'fliW' 'pucD'
 'S1099' 'mhqO' 'rpsM' 'fmt' 'S190' 'S1581' 'S1295' 'sigA' 'hemC' 'S854'
 'xylA' 'S564' 'gabR' 'nrdF' 'htpG' 'S833' 'rhaR' 'cysS' 'BSU_misc_RNA_15'
 'rpmD' 'pucC' 'hemD' 'nrgB' 'S1348' 'ysxC' 'capA' 'adk' 'S570' 'gyrB'
 'yotH' 'S1079' 'yviE' 'recF' 'mtnU' 'iolH' 'hemA' 'murB' 'ywoC' 'feuC'
 'ylxX' 'resB' 'skfC' 'psdS' 'S565' 'pucB' 'surC' 'phrH' 'pbuX' 'glyA'
 'crh' 'S47' 'sbp' 'purB' 'amhX' 'ywoB' 'lutP' 'purK' 'spoIIE' 'drm' 'jag'
 'asd' 'ybdZ' 'rhaM' 'acsA' 'rhaA' 'spoIIIJ' 'citZ' 'trpP' 'maeA' 'zagA'
 'S412' 'epsI' 'yukC' 'abn2' 'thiM' 'S1582' 'psdB' 'S954' 'nusA' 'S463'
 'folC' 'proJ' 'rhaB' 'iolE' 'glpK' 'yuxK' 'lutB' 'divIB' 'S1319' 'thiE'
 'secA' 'S1434' 'S1033' 'glpT' 'yflN' 'citR' 'S972' 'dynA' 'phoD' 'S1413'
 'S1135' 'S634' 'ilvB' 'S1349' 'iolJ' 'gmuF' 'sat' 'S378' 'S1412' 'lmrB'
 'S560' 'dapG' 'yazB' 'S1403' 'ykqA' 'hrcA' 'ytpR' 'S315' 'xpt' 'znuC'
 'capE' 'S268' 'veg' 'hemN' 'S209' 'yloM' 'minD' 'gmuE' 'mtnN' 'S88'
 'yqiH' 'epsE' 'S351' 'ykuO' 'ytxM' 'sboX' 'yhcY' 'pucF' 'odhB' 'S1524'
 'yqiI' 'mccB' 'vmlR' 'cca' 'rplO' 'rpsK' 'S121' 'pmi' 'antE' 'epsN'
 'S762' 'purC' 'psd' 'ykzB' 'maf' 'gabT' 'narI' 'codY' 'ahpF' 'S1372'
 'dapA' 'yaaJ' 'purT' 'ppiB' 'S730' 'yotG' 'pucG' 'menC' 'yqeV' 'S366'
 'ylxW' 'gapA' 'addA' 'dnaK' 'frlD' 'S600' 'gbsB' 'menE' 'S1375' 'epsF'
 'S1043' 'ureA' 'malA' 'yvcJ' 'yhdA' 'pyrG' 'rbsD' 'argJ' 'nupC' 'rpsR'
 'S1539' 'thrS' 'ybfK' 'murAA' 'gcaD' 'nupN' 'S231' 'odhA' 'sboA' 'epsL'
 'infB' 'comEC' 'S1452' 'gbsA' 'S1289' 'mrgA' 'bmrR' 'ycnK' 'S635' 'S466'
 'araE' 'ypzF' 'menB' 'S327' 'proH' 'rhaEW' 'abrB' 'S52' 'frlN' 'S467'
 'clpX' 'purE' 'S57' 'comK' 'gntK' 'trmU' 'S1176' 'topB' 'S1321' 'S1301'
 'BSU_misc_RNA_29' 'rapI' 'S367' 'yhcZ' 'frlM' 'S746' 'ybbA' 'S401'
 'S1120' 'yydG' 'pupG' 'yqeU' 'yrvO' 'ywcH' 'yotE' 'BSU_misc_RNA_10'
 'S1098' 'glpF' 'yotB' 'yrhC' 'S1398' 'sbcD' 'frlO' 'S203' 'S87' 'dnaJ'
 'sdhA' 'sdhC' 'cstA' 'tagF' 'resD' 'S1365' 'epsM' 'S1575' 'ispA' 'grpE'
 'S1300' 'cysP' 'treA' 'S1213' 'yotD' 'S1294' 'ansZ' 'kduI' 'opuBB' 'ymfC'
 'treP' 'pdp' 'S51' 'S1115' 'S1092' 'murG' 'pckA' 'S1032' 'narH' 'prs'
 'treR' 'menD' 'yotC' 'gudB']","['S322' 'opuBD' 'yqeT' 'hutP' 'sdhB' 'S1470' 'resC' 'rimM' 'psdA'
 'BSU_misc_RNA_26' 'addB' 'S836' 'lmrA' 'acpA' 'kdgT' 'narG' 'trmD' 'nrgA'
 'spoIIIL' 'yueC' 'S491' 'opuBC' 'rpmH' 'narJ' 'ylqD' 'S878' 'S580' 'S568'
 'xynA' 'frlB' 'glpQ' 'S1511' 'S107' 'cspB' 'S46' 'S1076' 'S1208'
 'BSU_misc_RNA_27' 'resE' 'bacA' 'gmuD' 'ymaB' 'S321' 'rnc' 'gntZ' 'yukB'
 'opuBA' 'gntP' 'kdgR' 'yueB' 'S563' 'yueD' 'S23' 'kdgA' 'rbfA' 'fapR'
 'S569' 'S579' 'S925' 'ftsY' 'menF' 'S29' 'rpsD' 'thrR' 'S492' 'ywcE'
 'S1093' 'ffh' 'ykoL' 'S531' 'S1518' 'S489' 'S460' 'kdgK' 'S471' 'kduD'
 'S1306' 'ycnI' 'obg' 'S709' 'cysH' 'ylxM' 'ylxP' 'S710' 'S577' 'pdhC'
 'glsA' 'des' 'fabG' 'S1296' 'plsX' 'glnT' 'fabF' 'ald' 'speD' 'S1291'
 'fabD' 'smc' 'ycnJ' 'degQ' 'spo0B' 'pheA' 'clpE' 'lctP' 'fabHA']","['S1216' 'pdhD' 'gmuC' 'S1058' 'rpsP' 'S534' 'pdhA' 'S138' 'ylqC' 'purA'
 'S683' 'pdhB' 'ptsH' 'S532' 'mtlR' 'gmuA' 'sdpI']",['sdpR' 'argC' 'dctP' 'gmuB' 'S668' 'ptsI'],[],['citB' 'S669' 'yneN'],['ptsG'],[],[],[],[],[],[],[]
AnsR_genes,[],[],[],[],[],[],[],[],[],[],['ansR'],[],[],[],[],[],[],[],[],[]
MtlR and SigA_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['mtlD'],['mtlF' 'mtlA'],['S132'],[],[]
