locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SigA,MtlR,AnsR,link
new_449651_449723,0.170090561,S132,5'UTR of mtlA,No COG category,,"MtlR,SigA",True,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_449651_449723
BSU_03981,0.16022417800000002,mtlA,"mannitol-specific [[category|SW 1.2.2|PTS]], EIICB",Carbohydrate transport and metabolism,mtlA->mtlD,"MtlR,SigA",True,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03981
BSU_03982,0.15551605000000002,mtlF,"mannitol-specific [[category|SW 1.2.2|PTS]], EIIA",Carbohydrate transport and metabolism,mtlA->mtlD,"MtlR,SigA",True,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03982
BSU_03990,0.148247142,mtlD,mannitol-1-phosphate 5-dehydrogenase,Carbohydrate transport and metabolism,mtlA->mtlD,"MtlR,SigA",True,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03990
BSU_23570,0.11673172300000001,ansB,L-aspartase,Amino acid transport and metabolism,"ansA->ansB, ansA->mleA","AnsR,SigA",True,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23570
new_1457005_1457156,0.109836001,S505,intergenic region,No COG category,,,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1457005_1457156
new_2454265_2454346_c,0.10317269600000001,S892,intergenic region,No COG category,,"AnsR,SigA",True,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2454265_2454346_c
new_2456809_2456888_c,0.101592155,S893,5'UTR of ansA,No COG category,,"AnsR,SigA",True,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2456809_2456888_c
new_3014345_3014422_c,0.101436274,S1118,5'UTR of argG,No COG category,,"AhrC,YlxR",False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3014345_3014422_c
BSU_23580,0.10037092900000001,ansA,L-asparaginase,Amino acid transport and metabolism,"ansA->ansB, ansA->mleA","AnsR,SigA",True,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23580
BSU_13890,0.09597171,ptsG,"glucose permease, trigger enzyme",No COG category,ptsG->ptsI,"SigA,GlcT,stringent response",True,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13890
