,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,9.914945605133333,3.3557600214918084,3.0,0.0,6.0937244335,1.0,11.2689352338,2.0,12.3821771481,,,,,,,,,,
1,LB__LBtran,1.5475529948666666,1.2085720305518688,3.0,3.0,2.9191125750999998,4.0,1.0848529919,5.0,0.6386934176,,,,,,,,,,
2,LB__LBstat,-0.08425284033333331,0.7528334025015787,3.0,6.0,-0.8981124463,7.0,0.0581348332,8.0,0.5872190921,,,,,,,,,,
3,LB__LBGexp,5.934806876966667,3.4006887530108045,3.0,9.0,8.7711522344,10.0,2.1648172932,11.0,6.8684511033,,,,,,,,,,
4,LB__LBGtran,0.21001806950000002,1.0146590384779777,2.0,12.0,0.9274903562000001,13.0,-0.5074542172000001,,,,,,,,,,,,
5,LB__LBGstat,3.9885064267333337,2.559782869986694,3.0,14.0,5.5762994772,15.0,5.3537007433,16.0,1.0355190597,,,,,,,,,,
6,Life Cycle__S0,24.106379026566668,1.8015311118441684,3.0,17.0,26.0958727606,18.0,22.585371427,19.0,23.637892892099998,,,,,,,,,,
7,Life Cycle__S1,-7.047752976733334,0.46627463207002634,3.0,20.0,-6.7339142599,21.0,-7.5835403562,22.0,-6.8258043141,,,,,,,,,,
8,Life Cycle__S2,-3.7621479166333334,0.6086258061647469,3.0,23.0,-4.4613507409,24.0,-3.3512119316,25.0,-3.4738810774,,,,,,,,,,
9,Life Cycle__S3,-4.73773260845,0.5070701671794703,2.0,26.0,-4.3791798547,27.0,-5.0962853622,,,,,,,,,,,,
10,Life Cycle__S4,-5.296276552933333,0.735995508725645,3.0,28.0,-5.0432954181,29.0,-4.7201364934,30.0,-6.1253977473,,,,,,,,,,
11,Life Cycle__S5,-3.4644438992999995,0.31413252708706124,3.0,31.0,-3.1336103303,32.0,-3.5010542135,33.0,-3.7586671541000003,,,,,,,,,,
12,Life Cycle__S6,-2.3843555515625,0.8225621034427466,8.0,34.0,-2.660493953,35.0,-3.0176667208,36.0,-2.9675709531,37.0,-3.3653467852,38.0,-1.2816171836999999,39.0,-2.7423548655000003,40.0,-1.7624529108,41.0,-1.2773410404
13,Life Cycle__S7,-4.3439804407,0.476012073995371,3.0,42.0,-4.0358070904,43.0,-4.8922236637,44.0,-4.103910568,,,,,,,,,,
14,Life Cycle__S8,-2.98479246955,2.059560814572069,2.0,45.0,-4.4411218878,46.0,-1.5284630513000002,,,,,,,,,,,,
15,Life Cycle__G135,11.0893895562,0.06886625513375298,2.0,47.0,11.1380853522,48.0,11.0406937602,,,,,,,,,,,,
16,Life Cycle__G150,8.5216534469,3.91416344293833,3.0,49.0,9.996350002,50.0,4.0843554385,51.0,11.4842549002,,,,,,,,,,
17,Life Cycle__G180,7.0131596255333335,1.4472878850819082,3.0,52.0,7.6176644956,53.0,5.3616212242,54.0,8.0601931568,,,,,,,,,,
18,Stress Time Course__C30,15.946678083350001,0.9108923073389048,2.0,55.0,15.3025799559,56.0,16.5907762108,,,,,,,,,,,,
19,Stress Time Course__C90,-4.54406916985,1.0990169351027355,2.0,57.0,-3.7669468424,58.0,-5.3211914973,,,,,,,,,,,,
20,Biofilm__BI,7.5877363485,0.6175257064672421,2.0,59.0,7.1510797339,60.0,8.0243929631,,,,,,,,,,,,
21,Biofilm__BC,-1.5506108490750001,0.9438325913182731,4.0,61.0,-1.6452515467,62.0,-0.3378386373,63.0,-2.6423948903000003,64.0,-1.576958322,,,,,,,,
22,Biofilm__Sw,2.02726750855,0.7648397686732424,2.0,65.0,2.5680908955,66.0,1.4864441216,,,,,,,,,,,,
23,Life Cycle__BT,1.40605081465,0.7190066039203648,2.0,67.0,1.91446526,68.0,0.8976363693,,,,,,,,,,,,
24,Life Cycle__B36,2.25017920865,1.5688372231256222,2.0,69.0,3.3595146477,70.0,1.1408437696,,,,,,,,,,,,
25,Life Cycle__B60,6.054507024199999,1.5402090936993542,2.0,71.0,7.1435993188,72.0,4.9654147296,,,,,,,,,,,,
26,M9__M9exp,0.0,0.6038783742172877,3.0,73.0,-0.281011717,74.0,-0.4121634839,75.0,0.6931752009000001,,,,,,,,,,
27,M9__M9tran,2.099388857566667,0.6885142334077025,3.0,76.0,2.0349512895,77.0,1.4453586347,78.0,2.8178566485000003,,,,,,,,,,
28,M9__M9stat,-0.2712829658,0.42440448905119893,3.0,79.0,-0.6667154117,80.0,-0.3242539102,81.0,0.1771204245,,,,,,,,,,
29,Supplement__M+G,0.6672732514666667,0.4177718896181007,3.0,82.0,0.4484526831,83.0,1.1490026473000001,84.0,0.404364424,,,,,,,,,,
30,Supplement__Glu,1.7963576280333333,0.5979671656345307,3.0,85.0,1.1235972088,86.0,2.2673104757,87.0,1.9981651996,,,,,,,,,,
31,Supplement__Fru,2.667960711333333,0.7549886954398133,3.0,88.0,3.0236255117,89.0,3.1794285669,90.0,1.8008280554,,,,,,,,,,
32,Supplement__Mal,3.430666667066667,1.597046002470859,3.0,91.0,5.1650318718,92.0,3.1061984799,93.0,2.0207696495,,,,,,,,,,
33,Supplement__G+S,1.05235908325,0.6998452023322423,2.0,94.0,1.5472243716,95.0,0.5574937949000001,,,,,,,,,,,,
34,Supplement__Pyr,-2.2184686254333332,1.6073321423284213,3.0,96.0,-3.660134532,97.0,-0.4853530159,98.0,-2.5099183284,,,,,,,,,,
35,Supplement__Gly,0.6165667132,0.47294929014374465,3.0,99.0,0.2520000052,100.0,1.1509855065,101.0,0.4467146279,,,,,,,,,,
36,Supplement__Glucon,-0.7389121286,0.6651634932507675,3.0,102.0,-0.3415927025,103.0,-0.3683219598,104.0,-1.5068217234999999,,,,,,,,,,
37,Stressors__aero,-1.238822907,1.8584055709272116,3.0,105.0,-2.937056734,106.0,-1.5257837495,107.0,0.7463717625,,,,,,,,,,
38,Stressors__nit,-0.9384290847333334,0.3383921259838304,3.0,108.0,-0.6944791831,109.0,-1.3247439021,110.0,-0.7960641690000001,,,,,,,,,,
39,Stressors__ferm,1.1213168830333333,2.497399463346697,3.0,111.0,-1.3898912693,112.0,3.6046747176,113.0,1.1491672008,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,1.1453445682,,1.0,114.0,1.1453445682,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,1.8956668299000001,,1.0,115.0,1.8956668299000001,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,2.1666863709,,1.0,116.0,2.1666863709,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,1.8638914946,,1.0,117.0,1.8638914946,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,2.3804935101,,1.0,118.0,2.3804935101,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,2.5737733481,,1.0,119.0,2.5737733481,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,1.3614196627,,1.0,120.0,1.3614196627,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,3.7405530548,,1.0,121.0,3.7405530548,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,2.1637542267,,1.0,122.0,2.1637542267,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,1.9776488088000002,,1.0,123.0,1.9776488088000002,,,,,,,,,,,,,,
