,A,AnsR,MtlR,SigA
R2,,0.2945365146445844,0.06608650896246038,0.0037969420040243618
xmin,,-2.1312666666666678,-0.9498999999999986,-2.8581666666666656
xmid,,-0.2599592364338685,2.198899799844616,
xmax,,2.664933333333332,3.8005000000000013,1.328733333333334
ystart,,0.04415212995691897,1.3574896415951336,-0.05252902035337059
yend,,10.192188167447002,9.517535709447158,2.3784295455483777
LBexp_1,6.0937244335,2.117733333333332,1.5286000000000008,0.4313333333333347
LBexp_2,11.2689352338,1.828033333333332,1.5450000000000017,0.20703333333333518
LBexp_3,12.3821771481,1.1045333333333325,1.4251000000000005,0.04503333333333437
LBtran_1,2.9191125750999998,-0.37376666666666836,2.1191000000000013,0.09453333333333447
LBtran_2,1.0848529919,-1.001166666666668,1.2428000000000008,0.2031333333333336
LBtran_3,0.6386934176,-1.2804666666666673,1.1399000000000008,0.1898333333333344
LBstat_1,-0.8981124463,-1.0829666666666675,1.858900000000002,0.25443333333333484
LBstat_2,0.0581348332,-1.4645666666666681,1.6976000000000013,0.3378333333333341
LBstat_3,0.5872190921,-1.5940666666666683,1.6586000000000016,0.27213333333333445
LBGexp_1,8.7711522344,1.6777333333333324,0.9389000000000021,0.6050333333333349
LBGexp_2,2.1648172932,1.6796333333333315,-0.34809999999999874,0.4716333333333349
LBGexp_3,6.8684511033,1.286933333333332,0.6161000000000012,0.7866333333333344
LBGtran_2,0.9274903562000001,-0.9975666666666676,-0.3855999999999984,0.12973333333333414
LBGtran_3,-0.5074542172000001,0.5749333333333322,-0.413199999999998,0.4393333333333338
LBGstat_1,5.5762994772,-1.3353666666666673,-0.17109999999999914,0.4042333333333339
LBGstat_2,5.3537007433,-2.0178666666666683,-0.3984999999999985,-0.2733666666666661
LBGstat_3,1.0355190597,-1.1453666666666678,-0.5053999999999981,-0.5597666666666647
S0_1,26.0958727606,2.143533333333332,3.668300000000002,0.30593333333333383
S0_2,22.585371427,1.4390333333333327,2.9673000000000016,0.042033333333334255
S0_3,23.637892892099998,1.4001333333333328,2.7627000000000006,0.2446333333333346
S1_1,-6.7339142599,-0.6251666666666686,1.9276000000000018,0.641233333333334
S1_2,-7.5835403562,-0.4598666666666684,2.000300000000001,0.7176333333333336
S1_3,-6.8258043141,-0.8035666666666685,2.1990000000000016,0.5724333333333345
S2_1,-4.4613507409,-0.6632666666666687,2.255200000000002,-1.3588666666666658
S2_2,-3.3512119316,-1.1567666666666678,2.0721000000000007,-1.2832666666666661
S2_3,-3.4738810774,-1.5369666666666681,1.9608000000000008,-1.569166666666666
S3_1,-4.3791798547,-0.6278666666666677,1.8988000000000014,0.2958333333333343
S3_2,-5.0962853622,-0.7309666666666672,1.7739000000000011,-0.5800666666666654
S4_1,-5.0432954181,-0.4698666666666682,1.9939000000000018,-0.17416666666666636
S4_2,-4.7201364934,-1.1493666666666673,2.0923000000000016,0.13193333333333435
S4_3,-6.1253977473,-1.5033666666666683,1.6357000000000017,0.047933333333334716
S5_1,-3.1336103303,-0.5566666666666684,2.198900000000002,0.45683333333333387
S5_2,-3.5010542135,-0.6265666666666672,2.5119000000000007,0.6503333333333341
S5_3,-3.7586671541000003,-0.540066666666668,2.5124000000000013,0.481933333333334
S6_1,-2.660493953,-0.489766666666668,2.152300000000002,0.6142333333333347
S6_2,-3.0176667208,-2.114866666666668,1.712200000000001,1.3135333333333339
S6_3,-2.9675709531,-0.7822666666666684,2.156600000000001,0.22923333333333495
S6/t_1,-3.3653467852,-0.13246666666666762,2.1176000000000013,0.5664333333333342
S6/t_2,-1.2816171836999999,-2.1312666666666678,1.0699000000000005,0.6799333333333344
S6_4,-2.7423548655000003,-0.702866666666667,1.1195000000000004,0.3513333333333346
S6_5,-1.7624529108,-0.16636666666666855,1.639100000000001,0.7257333333333342
S6_6,-1.2773410404,-0.11296666666666688,1.5801000000000016,0.6137333333333341
S7_4,-4.0358070904,0.2250333333333323,1.5814000000000021,0.3621333333333343
S7_5,-4.8922236637,0.07913333333333306,1.4997000000000007,0.23643333333333416
S7_6,-4.103910568,0.21743333333333226,1.472900000000001,0.17803333333333526
S8_4,-4.4411218878,-0.27536666666666854,1.352800000000002,-0.31886666666666486
S8_5,-1.5284630513000002,-0.11686666666666845,1.2860000000000014,0.25853333333333417
G135_1,11.1380853522,0.657333333333332,2.411100000000001,1.0403333333333347
