,gloA
Cr_1,0.0051938504451512525
Cr_2,0.010730088525467005
Cr_3,0.018858242556978863
Cr_4,0.028567943844402206
Cr_5,0.03927884801993144
Cr_6,0.042907168219741235
Fe_1,-0.008675731513808425
Fe_2,-0.02040331720998581
Fe_3,-0.02455596049166282
Fe_4,-0.034656764634192906
Fe_5,-0.039081446287270144
Fe_6,-0.035190723084491615
Cd_1,-0.0034919960793425692
Cd_2,-0.00045803350869005714
Cd_3,0.0037830831691687532
Cd_4,0.00551012593425571
Cd_5,0.004951827552554491
Cd_6,0.009381673290267829
Zn_1,0.0017696324256823114
Zn_2,0.004174375754346026
Zn_3,0.017982040993624063
Zn_4,0.040604641066543816
Zn_5,0.07001973586051075
Zn_6,0.0970494345730928
Cu_1,0.0033360948452517357
Cu_2,0.008679416848791744
Cu_3,0.01364931748689582
Cu_4,0.018918131555643942
Cu_5,0.024579282614996246
Cu_6,0.03325904052551259
Pb_1,0.001581580075524684
Pb_2,0.010515797198141484
Pb_3,0.02111596184411894
Pb_4,0.029211503648715813
Pb_5,0.03764613824168516
Pb_6,0.05131988175478095
