,A,FucR,ExuR
R2,,0.5928011639848492,0.0340938005442154
xmin,,-5.443662037,-0.9683226940000004
xmid,,0.08040244023602028,
xmax,,4.559281552999999,2.278279104000001
ystart,,-0.08029597221533774,0.25983120655671943
yend,,16.261479280214004,3.445225929460217
control__wt_glc__1,0.0957917399162879,0.1358510329999998,0.07036958900000022
control__wt_glc__2,-0.0957917399162901,-0.1358510329999998,-0.07036958900000022
fur__wt_dpd__1,0.9030002319776258,-0.35338198799999976,0.2763041240000019
fur__wt_dpd__2,1.4140793543587855,-0.3527059900000005,0.4737672809999998
fur__wt_fe__1,0.096657362664983,-0.3772800270000003,-0.377967548
fur__wt_fe__2,0.3997182553507492,-0.13763255900000004,-0.43069724299999995
fur__delfur_dpd__1,0.3059588464910716,-0.3701222050000004,0.061481535999999615
fur__delfur_dpd__2,0.4385476160048033,-0.5725147980000003,0.0917168480000008
fur__delfur_fe2__1,-0.4719317926471724,0.2196571839999999,-0.4909559209999994
fur__delfur_fe2__2,-0.5861754210499432,0.11272718199999955,-0.6042885669999993
acid__wt_ph5__1,0.5367684094316979,-0.09779157200000023,0.012454104000000576
acid__wt_ph5__2,0.4701247798216573,-0.019828710999999718,0.009205790000001102
acid__delgadx_ph5__2,0.528289866526477,-0.07852606800000039,0.15656818600000033
acid__delgadw_ph5__1,0.3921065948651744,-0.12723380599999956,-0.054778124999999456
acid__delgadw_ph5__2,0.4092261704574005,-0.0031855739999997468,-0.005454733999999739
acid__delgade_ph5__1,0.6586028610410979,-0.02109143999999929,0.04252811800000078
acid__delgade_ph5__2,0.4373005673269612,-0.02071963399999976,0.07534884500000061
oxidative__wt_pq__1,5.246671915014763,-0.10804932800000078,1.932045271
oxidative__wt_pq__2,4.931026194207475,-0.14521351300000074,1.9554017140000008
oxidative__deloxyr_pq__1,3.238719071657059,0.4862691049999999,1.7374337109999995
oxidative__deloxyr_pq__2,2.999409063047576,0.4252084390000013,1.774830648
oxidative__delsoxr_pq__1,6.6903546538216085,0.10917097100000016,2.278279104000001
oxidative__delsoxr_pq__2,6.411597015711492,0.12447121800000005,2.142817064000001
oxidative__delsoxs_pq__1,3.746134959011073,-0.04608394899999979,2.2137914740000006
oxidative__delsoxs_pq__2,3.8452046857030098,0.00108035399999995,2.2225685859999995
nac_ntrc__wt_csn__1,0.426860317910781,0.1620133629999998,0.7000416220000005
nac_ntrc__wt_csn__2,0.2989246105486691,-0.02612180399999975,0.6596161190000007
nac_ntrc__wt_cytd__1,0.5510052817948763,-0.11682599700000028,0.1961562370000003
nac_ntrc__wt_cytd__2,0.4599132889930415,-0.060783772999999826,0.3198501400000007
nac_ntrc__wt_gln__1,0.1679847079898493,0.21447591200000016,0.08531010699999975
nac_ntrc__wt_gln__2,-0.2152464645336595,0.14100775199999924,0.0932749640000008
nac_ntrc__bw_delnac_csn__1,2.003295574502163,0.16561183000000046,0.8885420320000001
