sample,BSU_tRNA_42
LBexp_1,13.5387
LBexp_2,14.3882
LBexp_3,13.6399
LBtran_1,11.3983
LBtran_2,12.2169
LBtran_3,12.1615
LBstat_1,11.5675
LBstat_2,11.479
LBstat_3,11.3786
LBGexp_1,13.7056
LBGexp_2,12.8959
LBGexp_3,13.746
LBGtran_2,11.6615
LBGtran_3,12.9374
LBGstat_1,11.8011
LBGstat_2,11.6141
LBGstat_3,11.4885
S0_1,13.1011
S0_2,13.264
S0_3,13.388
S1_1,13.1471
S1_2,13.4229
S1_3,13.133
S2_1,12.4872
S2_2,11.577
S2_3,11.827
S3_1,12.805
S3_2,12.1916
S4_1,12.1961
S4_2,11.91
S4_3,11.3191
S5_1,12.0748
S5_2,12.0477
S5_3,12.3749
S6_1,12.4706
S6_2,12.4565
S6_3,11.9759
S6/t_1,12.2975
S6/t_2,12.5473
S6_4,11.9871
S6_5,12.6665
S6_6,12.6107
S7_4,12.8779
S7_5,12.6062
S7_6,12.5883
S8_4,12.685
S8_5,12.7977
G135_1,13.8523
G135_3,12.7996
G150_1,13.0399
G150_2,14.1445
G150_3,13.5767
G180_1,13.5813
G180_2,13.8809
G180_3,13.7142
C30_1,13.4501
C30_2,14.1948
C90_1,12.0468
C90_2,11.8606
BI_1,11.7904
BI_2,11.9225
BC_2,10.9581
BC/t_1,11.202
BC/t_2,11.6358
BC_1,10.4451
Sw_1,10.8509
Sw_2,10.9073
BT_1,12.0307
BT_2,11.2068
B36_1,11.0136
B36_2,10.8343
B60_1,11.0563
B60_2,11.6655
M9exp_1,13.1694
M9exp_2,12.7809
M9exp_3,12.7013
M9tran_1,12.3182
M9tran_2,12.0107
M9tran_3,12.6224
M9stat_1,10.3098
M9stat_2,9.5682
M9stat_3,9.3135
M+G_1,12.2895
M+G_2,13.4644
M+G_3,13.2959
Glu_1,13.6196
Glu_2,13.7569
Glu_3,13.6661
Fru_1,13.7973
Fru_2,14.0021
Fru_3,13.0925
Mal_1,11.6716
Mal_2,13.3928
Mal_3,12.6811
G+S_2,12.8009
G+S_3,13.0592
Pyr_1,12.5397
Pyr_2,13.6304
Pyr_3,12.9458
Gly_1,11.4701
Gly_2,12.7272
Gly_3,11.7849
Glucon_1,12.4861
Glucon_2,12.7305
Glucon_3,11.9657
aero_1,14.1526
aero_2,12.07
aero_3,13.6477
nit_1,13.0693
nit_2,13.3913
nit_3,12.4352
ferm_1,11.5551
ferm_2,11.9998
ferm_3,13.0252
T-5.40H_1,12.976
T-4.40H_1,13.1206
T-3.40H_1,12.8901
T-2.40H_1,12.4341
T-1.40H_1,12.2436
T-1.10H_1,12.4192
T-0.40H_1,12.4168
T0.0H_1,11.7499
T0.30H_1,10.6397
T1.0H_1,10.7309
T1.30H_1,10.5523
T2.0H_1,10.3264
T2.30H_1,10.758
T3.0H_1,10.5862
T3.30H_1,10.8402
T4.0H_1,11.0868
T5.0H_1,10.7697
HPh_1,13.7776
HPh_2,13.2201
HPh_3,13.3328
LPh_1,13.8479
LPh_2,13.9975
LPh_3,13.6574
LPhT_1,12.0162
LPhT_2,12.1684
LPhT_3,12.299
SMMPr_1,12.3972
SMMPr_2,11.8352
SMMPr_3,12.38
