,A,NusA,ComK,LevR
R2,,0.7198373660631532,0.08909436715240937,0.010992409546084936
xmin,,-2.7019676451667776,-2.384155972941921,-2.173214473103174
xmid,,1.4920037189539577,0.45899472963946114,
xmax,,5.631825713825637,3.918984930528538,2.7692359953289616
ystart,,0.35908490773822166,0.3283187674285202,-2.0353721922376344
yend,,51.60269105635504,16.38329232991039,4.881244891237886
amb:ctrl:1,-1.3902666300662774,0.1675734915237328,0.31339803934812993,0.4531561178281236
amb:ctrl:2,0.2913538644023218,-0.045710741327329885,-0.07463047217287055,-0.28705670892426083
amb:ctrl:3,1.0989127656639552,-0.12186275019640468,-0.23876756717525935,-0.16609940890386188
amb:amb:1,-0.8493785157390664,0.10815834356920108,0.03268085676247523,-0.1691776511193135
amb:amb:2,3.644062006563417,-0.4893208444875015,-0.7420154395236893,-0.09876557189980906
amb:amb:3,3.872541094007162,-0.3855749280861023,-0.04774991919332816,0.15041461774619336
ave1:ctrl_5m:1,0.2855835124922815,-0.014261459001266632,0.15027957102955414,-0.05586268197827415
ave1:vdave1_5m:1,-1.5057665864475671,-0.133022735584424,0.2948574838875726,0.2392070619384681
ave1:ctrl_20m:1,-0.9008909052788088,0.2159205164067366,-0.18403332826855975,0.06843433939012256
ave1:vdave1_20m:1,-0.903216159865676,0.15833565002797198,0.044311259370769296,0.21831626275491625
ave1:supernatant_5m:1,0.7260308825466312,-0.026620252677163947,-0.35591781891334673,-0.14378299629313318
ave1:vnave1_20m:1,-0.7009203651408205,0.09711218727423264,-0.05179384427157263,0.24242556533053786
ave1:supernatant_20m:1,-1.0946330176421928,0.14535158680378754,-0.14388863063013035,0.08417721238607356
ave1:ctrl_5m:2,-0.2855835124922741,0.014261459001264853,-0.15027957102955414,0.05586268197827415
ave1:vdave1_5m:2,-2.7158066801884506,-0.020087634622379724,0.17863160886689622,0.23622136656162684
ave1:ctrl_20m:2,-0.3355784053520464,0.11687943193551042,-0.27945151821030123,0.1674484755882908
ave1:vdave1_20m:2,-0.667480106164242,0.06312559006694585,0.11220923889447354,0.2407684332167115
ave1:supernatant_5m:2,0.046835772743655725,0.05853325396469877,-0.12868915120465374,-0.026662254865431837
ave1:vnave1_20m:2,-0.0592547264665985,0.1069203380220376,0.017258009101430268,0.2611098829808709
ave1:supernatant_20m:2,-0.8243006834056179,0.1683532944355708,-0.250271596966988,-0.056009106869742815
biofilm_time:8h:1,-0.3538222914867347,0.09179855198791742,-0.1388009861490449,-0.017980797407512128
biofilm_time:8h:2,0.1508828250245564,-0.009673329777969641,0.06411532024428633,0.002986989166149812
biofilm_time:8h:3,0.30657773150883144,-0.0989645588514474,0.028411768044942495,0.053650897097128336
biofilm_time:8h:4,-0.10363826504662332,0.01683933664149606,0.04627389785981695,-0.03865708885576602
biofilm_time:12h:1,3.151926969545081,-0.7764347109032324,-0.06592461237497993,-0.5551974008672902
biofilm_time:12h:2,2.2807905923954017,-0.4693552602308042,0.08755759275482068,-0.4730493248578842
biofilm_time:12h:3,2.1947454744422843,-0.3477146684542909,-0.27734811510563784,-0.3599195467175651
biofilm_time:12h:4,2.353886477540417,-0.4455757428925402,-0.31506427600418,-0.39042661558099656
biofilm_time:16h:1,1.6027002950917684,-0.2218347210884719,0.4529167714079359,-0.2206383595583219
biofilm_time:16h:2,0.8759576694620388,-0.5032855727910075,0.41059767472567454,-0.4369214145803557
biofilm_time:16h:3,1.8610976488615207,-0.3306715069129069,0.5845676242856372,0.10038097816292613
biofilm_time:16h:4,1.958619237107952,-0.4026610261797909,0.6894494845009111,0.26591004561953024
