,A,SigW
R2,,0.5162452184729791
xmin,,-2.874920613040058
xmid,,
xmax,,2.778476533075789
ystart,,-13.71784563930399
yend,,12.64882486416431
SRX8138083,-0.6611573345582842,-0.02361265111807853
SRX8138084,-0.38016317722094056,-0.09057564363617132
SRX8138085,1.0413205117792004,0.11418829475425166
SRX8138086,2.198648216551141,0.07595930302945497
SRX8138087,3.54774897465946,0.3632777439133772
SRX8138088,3.4249063031643447,0.42145756581534144
ERX4111143,1.2859033984356198,0.07620506751863054
ERX4111144,-3.710385819231353,-0.5359262380571241
ERX4111145,-1.7756757191128674,-0.07703289417167625
ERX4111146,1.768886877275066,0.1616631860226363
ERX4111148,-0.26667775146985795,-0.1877415306514596
ERX4111149,0.08481170282033462,0.029488344067130967
ERX4111150,-2.6333255105038176,-0.1076109918460446
ERX4111151,-1.2859033984356036,-0.07620506751863054
ERX4111152,-4.32181121880858,-0.44126169654397707
ERX4111153,-1.8408786767709568,-0.0783781363896825
ERX4111154,2.3451712319478344,0.22633987531204625
ERX4111156,0.1701123148898169,-0.052325878116779016
ERX4111157,0.21351095199818385,-0.0830004396984414
ERX4111158,-2.7841812592959987,-0.25098178766124946
SRX5577041,0.5099518344344244,0.1331561823265588
SRX5577042,0.013387119371436535,-0.04136431489238923
SRX5577043,-0.343004849789942,-0.0607163662953365
SRX5577044,-0.18033410401590366,-0.031075501138829512
SRX5577045,10.783580224617785,0.8413296816880163
SRX5577046,11.18913866444278,0.7574362143010234
SRX5577047,9.005435794105816,0.7296563699878575
SRX5577048,7.144899690509188,0.4552189938072946
SRX5577049,1.29109193932904,0.5134774153899908
SRX5577050,2.2117347981926883,0.5301269759867377
SRX5577051,0.005999702629802586,0.4048414175319408
SRX5577052,-0.5657698882771708,0.3856008053149225
SRX5577053,-0.36607478907025415,0.9089369746349404
SRX5577054,2.9511818136686685,0.9943646412447044
SRX5577055,-1.1708978076796976,1.0024582407767273
SRX5577056,2.232405877366541,1.1578734555917922
SRX5577057,1.7556504370191997,1.0545512990784882
SRX5577058,4.212042061674155,1.3771510148116874
SRX5577059,4.289860219559214,1.4145968694946358
SRX5577060,5.984500263871692,1.7516593567408858
SRX5577061,-1.055050603424315,1.4996259053347671
SRX5577062,6.541111591865313,2.116665531304225
SRX5577063,6.968113987888426,2.3629487149711217
SRX5577064,1.6961640455649345,1.7038204252967457
SRX5577065,6.3613482228257,2.778476533075789
SRX5577066,1.4193070214138996,2.449120907945037
SRX5577067,0.2216014609677625,2.3813543431594475
SRX5577068,2.4202108262916937,2.6160034616705783
SRX533166,0.06467781415572718,-0.03784741507865519
SRX533171,-0.0646778141557167,0.03784741507865519
SRX533786,-3.4672927540756167,-0.4448959321565482
SRX533787,-1.9013230935655112,-0.26079269379724224
SRX533789,-2.398072492272169,-0.3538820694408127
SRX533791,-1.6208520580197023,-0.15407629471970452
SRX533792,-3.6337040194214656,-0.4300977650267406
SRX533793,-2.137024085397865,-0.3266312479651088
SRX533794,-1.3841986291546735,-0.1953425300773297
SRX533795,-1.03275736391829,-0.14150428815616145
SRX4703435,0.9283571781046852,0.031310046542884606
SRX4703436,-0.3735186023968585,0.18826520050120088
SRX4703437,-0.5548385757078125,-0.2195752470440855
SRX4703438,-6.280513371893128,-0.2818688303821002
SRX4703439,-4.905430844194085,0.017333453112678754
SRX4703440,-4.086242780193134,0.18870824732535496
SRX6902408,-0.6701733098945191,-0.8592457244427862
SRX6902409,-1.2079718950550131,-0.17337779074799364
SRX6902410,-0.7379187089519768,-0.16240931810560433
SRX6902411,-1.7343562028479322,0.06352182284618557
SRX6902412,-3.9310602639221472,0.061736731113340326
SRX6902413,-1.4944754877734319,0.03437582171170739
SRX6902414,0.21653875763230285,-0.09033109100156267
SRX6902415,-0.21653875763231464,0.09033109100156267
SRX5278698,-1.6040836725037153,0.18382497048522414
SRX5278699,-0.5657252795350078,-0.0471411337221177
SRX5278700,2.16980895203872,-0.13668383676310647
SRX5278701,-6.2440754663960725,-0.9753673645329181
SRX5278702,-6.747981451927092,-1.1223266256315083
SRX5278703,-4.6279570785569435,-1.2027776189808996
SRX5278704,-9.867948008754244,-1.9414154850683456
SRX5278705,-8.739989477049267,-1.8169274502667268
SRX5278707,-6.230253470767202,-1.4678801424754155
SRX5278708,-6.0116063995024875,-1.7272941984502488
SRX5278709,-5.467612254563456,-1.3781101150300898
SRX5278710,-12.54883688256372,-1.592785656661821
SRX5278711,-12.639814944510086,-1.872454831584804
SRX5278713,-12.314027092037778,-1.9234467894364151
SRX5278714,-10.674285756145283,-2.0138287542122857
SRX5278715,-15.217828186513747,-2.874920613040058
SRX5278716,1.1943422890015674,-0.4478636206450375
SRX5278717,-0.37772108883646416,0.03252206975740357
SRX5278718,-0.4565518412114322,-0.5816362414700968
SRX5278719,-6.0889901425261055,-1.3797577917832502
SRX5278720,-7.2368297867202465,-1.1636526635208693
SRX5278721,-5.910813626734997,-0.9018107244544104
SRX1254783,-0.0942260531107184,-0.536347213427792
SRX1254784,-2.78682536179325,-0.8172913426058361
SRX1254785,-4.478124600357789,-0.3981955694198245
SRX1254786,-2.2151402639988866,-0.8328738771934088
SRX1473807,-0.17450896775702232,-0.049296760033294966
SRX1473808,-0.0538000856784282,0.10159128753302048
SRX1473809,0.2283090534354556,-0.052294527499723735
SRX7520944,-0.4426636107936207,-0.13942854454443854
SRX7520945,0.36707815864879056,0.15845640641006042
SRX7520946,-0.38660244194840937,-0.13546116491787608
SRX7520947,0.4621878940932354,0.1164333030522542
SRX7520948,6.523522869029571,1.211586464342281
SRX7520949,7.3151685798952615,1.4937127508540922
SRX7520950,0.35466700497434545,1.3076758381093525
SRX7520951,0.9298790526167272,1.5905922702091786
SRX959206,0.7054810877313209,0.07064772529889041
SRX959207,-0.4931824767191881,0.12509842904173496
SRX959208,0.8042918885847353,0.2855881986903395
SRX959209,1.3093360019931215,-0.00889357130437318
SRX959210,2.1919976155830474,-0.06286091485786116
SRX959211,1.31652160772783,-0.2492532340436231
SRX959212,-0.235459565969094,0.051247948805027484
SRX959213,-0.4125741088386438,0.13906929267906598
SRX959214,-0.4692555912483706,-0.11010005743419526
SRX959215,-0.9106561215600047,-0.11373740613172245
SRX959216,1.308626072758165,0.030956121608799236
SRX959217,0.7193193148579701,0.002564100473012587
SRX3269802,0.7634979913700564,0.40139268604109896
SRX3269803,-0.7634979913700605,-0.40139268604109896
SRX3269804,1.289846803635019,-2.3648122976152437
SRX3269805,-1.5357458028428417,-0.5018877010551126
SRX3269806,-6.454128259910657,-1.5183951054079294
SRX3269807,-2.4332061388468937,-2.042487996613307
SRX3269808,-2.1057425339125304,-1.7994222194192684
SRX3269809,0.15505424254675862,-1.8007217683900458
SRX3269810,-2.90546441892384,-2.0324389326809658
SRX3269811,-1.8565729260987585,-1.9384214056468776
SRX2529102,-2.11038973047757,-0.11219314078683597
SRX2529103,2.1103897304775767,0.11219314078683418
SRX2529104,-6.3064634178449825,-0.4549665068626307
SRX2529105,-6.558313516782119,-0.047490785916457064
ERX1981712,-15.630944430444524,-1.3948189250307284
ERX1981713,-16.107979335099984,-2.052261509424373
ERX1981714,-17.056301281236095,-2.086138588718139
ERX1981715,0.2509692294924694,-0.12183428598120473
ERX1981716,-0.4164809114039103,0.02259613534972971
ERX1981717,0.16551168191143747,0.09923815063147323
ERX2274784,1.9446765584897177,0.023436957884577225
ERX2274785,2.3477751448734376,-0.4869817052186765
ERX2274786,1.798838866959443,0.02958295700625335
ERX2274787,-8.22659756550652,-0.38906040448643786
ERX2274788,-5.207332110612594,-0.12417366428182675
ERX2274789,-10.10417361198761,-0.5568153733928067
ERX2274790,1.5937635582480711,0.3513660044332827
ERX2274791,-4.466142846271508,-1.0011446579844936
ERX2274792,-2.1196371735777735,-0.22639682003838324
ERX2274793,-6.787732768323659,-0.25366647693725497
ERX2274794,-13.922558031490093,-0.9818588290901964
ERX2274795,-7.0300116770558505,-0.4303079661676037
ERX2274796,2.7257585883758875,0.4534105426474238
ERX2274797,-1.4170089396842993,0.04303040335962649
ERX2274798,-1.308749648691586,-0.49644094600705196
ERX2274799,-6.945515437536606,-0.2210751523795338
ERX2274800,-13.190642380338517,-1.052617985329979
ERX2274801,-9.012404219401779,-1.1802036695573754
ERX1819430,11.803499127615789,1.0903305047042284
ERX1819431,10.81145758861974,1.0395623032475267
ERX1819432,10.19797766503476,0.9434126830597656
ERX1819433,11.544944552902756,1.1565590578992548
ERX1819434,1.8826142088980768,0.052288284413069874
ERX1819435,2.292466827193837,0.0832977053679187
ERX1819436,1.144475792586587,-0.15632050341291406
ERX1819437,2.074084434198468,-0.07016333093834604
ERX1819438,-0.9676780377801896,-0.4993953379914711
ERX1819439,5.1972164846837305,0.4251298243832533
ERX1819440,-0.5719974175147315,-0.5832076525706871
ERX1819441,5.4709603350682805,0.4075131689064637
ERX1819442,-0.9149361711178774,0.4471070535784012
ERX1819443,0.20636945380292207,-0.28848494685926873
ERX1819444,-0.15468489076297318,0.6436067927528981
ERX1819445,-0.1836988569917704,-0.25779209287814103
ERX3440914,-1.5748680522160012,-0.05036288599881189
ERX3440915,0.10684656209143434,-0.14673842362637754
