gene_id,USA300HOU_RS12940
name,nreA
operon,"nreC,nreB,nreA,narI,narJ,narH,narG"
product,GAF domain-containing protein
cog,Function unknown
regulator(s),"Rex, NreC"
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN005924000"">AureoWiki</a>"
