locus,gene_weight,gene_name,gene_product,cog,operon,regulator,LldR,link
ABUW_3814,0.2706684941,lldP,L-lactate permease,Energy production and conversion,,,False,
ABUW_3812,0.2436028205,lldD,L-lactate dehydrogenase (cytochrome),Energy production and conversion,,LldR,True,
ABUW_3813,0.213870153,lldR,L-lactate utilization transcriptional repressor,Transcription,,LldR,True,
ABUW_3811,0.2043522888,dld,D-lactate dehydrogenase,Energy production and conversion,,LldR,True,
