,40
growth__4h__1.0,2.5359085789
growth__4h__2.0,3.4586596889
growth__6h__1.0,-0.11470095890000001
growth__6h__2.0,-1.5992919829
growth__8h__1.0,2.2494678247
growth__8h__2.0,1.1695222725
growth__10h__1.0,0.6410085539
growth__10h__2.0,0.7712974308
mutants__WT__1.0,-0.1100359672
mutants__WT__2.0,0.1100359672
mutants__R7__1.0,0.5662449299
mutants__R7__2.0,-0.7426416781
mutants__gacA__1.0,-0.3940799089
mutants__gacA__2.0,-0.4913284249
vacJ_LL-37__WT__1.0,-0.1791336628
vacJ_LL-37__WT__2.0,0.1791336628
vacJ_LL-37__WT+LL-37__1.0,-0.5531602256
vacJ_LL-37__WT+LL-37__2.0,-4.4505784104
vacJ_LL-37__vacJ__1.0,-7.9431610921
vacJ_LL-37__vacJ__2.0,-8.737396142
vacJ_LL-37__vacJ+LL-37__1.0,-6.9009181664
vacJ_LL-37__vacJ+LL-37__2.0,-8.2697294384
