,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,AB0057_PGcoculture__PGAB,7.4100802066333324,1.1780926141481003,3.0,0.0,8.7649061239,1.0,6.6266613145,2.0,6.8386731815,,
1,AB0057_PGcoculture__AB ,2.4999988190721467e-11,0.37641081271741555,4.0,3.0,-0.48620728360000004,4.0,0.011050209200000001,5.0,0.0430939012,6.0,0.4320631733
2,AB0057_PGcoculture__ABPG,3.0269987613750002,0.652276223489166,4.0,7.0,3.4632278614,8.0,3.3837526423,9.0,2.0628750608,10.0,3.198139481
3,AB5075_AZI__AZI_000,0.0,0.13817795614411346,2.0,11.0,0.0977065698,17.0,-0.0977065698,,,,
4,AB5075_AZI__preculture,14.73385127445,0.016601968277408435,2.0,12.0,14.7455906388,13.0,14.7221119101,,,,
5,AB5075_AZI__AZI_040,9.26188941815,0.33297805383071816,2.0,14.0,9.0264383783,18.0,9.497340458,,,,
6,AB5075_AZI__AZI_028,11.13150023595,0.5710447636669939,2.0,15.0,10.7277106112,19.0,11.5352898607,,,,
7,AB5075_AZI__AZI_003,1.08269285435,0.1852936084563357,2.0,16.0,0.9516704873,20.0,1.2137152214,,,,
8,AB5075_VIR-O_AV-T__AV-T/vector,1.940094378766667,0.6873726496195445,3.0,21.0,1.4574601506,28.0,1.6357199034,29.0,2.7271030823,,
9,AB5075_VIR-O_AV-T__VIR-O/vector,0.0,0.24903058833909922,3.0,22.0,-0.1861846338,23.0,0.2828756026,24.0,-0.0966909688,,
10,AB5075_VIR-O_AV-T__VIR-O/1645,3.7607668996666663,0.6264287098156839,3.0,25.0,3.2320345442,26.0,4.4526193353,27.0,3.5976468195,,
11,AB5075_VIR-O_LSO__VIR-O,9.25185853854297e-18,0.2708880060724243,3.0,30.0,-0.0393207108,32.0,0.2883994912,34.0,-0.2490787804,,
12,AB5075_VIR-O_LSO__LSO,-0.21344362223333327,1.7492869435062648,3.0,31.0,0.08678138710000001,33.0,1.3663003754,35.0,-2.0934126292,,
13,AB5075_Zinc__Control,3.33333360913457e-11,0.7943084626005391,3.0,36.0,-0.5606946464,37.0,0.9089505915,38.0,-0.348255945,,
14,AB5075_Zinc__Zinc,7.276428795599999,0.5357503291996532,2.0,39.0,6.8975961048,40.0,7.6552614864,,,,
15,AB5075_biofilm+abx__planktonic,2.312964634635743e-17,1.0135987069592276,3.0,41.0,1.0649401138,42.0,-0.9529569821,44.0,-0.1119831317,,
16,AB5075_biofilm+abx__biofilm,-0.2782864026333333,0.8440407731110823,3.0,43.0,0.6285010701,45.0,-1.0410459195,46.0,-0.42231435850000004,,
17,AB5075_biofilm+abx__cip_biofilm,-3.1850842515666664,2.5477516039495254,3.0,47.0,-5.1822517412,48.0,-0.3157974974,50.0,-4.0572035161,,
18,AB5075_biofilm+abx__tet_biofilm,-3.5733633303,1.151953207023671,3.0,49.0,-2.2432192884,51.0,-4.2326205408,52.0,-4.2442501617,,
19,AB5075_gigAB__kan_gigB,-9.406850524233334,1.6850314768957844,3.0,53.0,-7.9657044317,54.0,-8.9953217495,55.0,-11.2595253915,,
20,AB5075_gigAB__gigB,-11.235348863366667,4.826341607169452,3.0,56.0,-6.9847065375,57.0,-10.2393556922,58.0,-16.4819843604,,
21,AB5075_gigAB__kan_gigA,-11.774382456433335,1.6523016807564856,3.0,59.0,-12.6238998347,60.0,-12.8290969885,61.0,-9.8701505461,,
22,AB5075_gigAB__gigA,-8.368945515666667,2.3866103123304305,3.0,62.0,-10.8843821468,63.0,-8.0860824196,64.0,-6.1363719806,,
