,A,LldR
R2,,0.387930193048428
xmin,,-3.7912890915
xmid,,-2.607394761028458
xmax,,4.2297042083
ystart,,-7.432286821985382
yend,,8.775290490706043
AB0057_PGcoculture__PGAB__1.0,8.7649061239,0.9460763426000001
AB0057_PGcoculture__PGAB__2.0,6.6266613145,0.3821293438
AB0057_PGcoculture__PGAB__3.0,6.8386731815,1.0010261621
AB0057_PGcoculture__AB __1.0,-0.48620728360000004,-0.06974523540000001
AB0057_PGcoculture__AB __2.0,0.011050209200000001,-0.012988312
AB0057_PGcoculture__AB __3.0,0.0430939012,0.0337751813
AB0057_PGcoculture__AB __4.0,0.4320631733,0.048958366100000004
AB0057_PGcoculture__ABPG__1.0,3.4632278614,0.1904678571
AB0057_PGcoculture__ABPG__2.0,3.3837526423,-0.0174894978
AB0057_PGcoculture__ABPG__3.0,2.0628750608,0.48809274480000003
AB0057_PGcoculture__ABPG__4.0,3.198139481,0.121684204
AB5075_AZI__AZI_000__1.0,0.0977065698,0.1376481262
AB5075_AZI__preculture__1.0,14.7455906388,4.0843644945
AB5075_AZI__preculture__2.0,14.7221119101,4.2297042083
AB5075_AZI__AZI_040__1.0,9.0264383783,3.4543291525
AB5075_AZI__AZI_028__1.0,10.7277106112,3.7452219884
AB5075_AZI__AZI_003__1.0,0.9516704873,0.3248195916
AB5075_AZI__AZI_000__2.0,-0.0977065698,-0.1376481262
AB5075_AZI__AZI_040__2.0,9.497340458,3.3089429353
AB5075_AZI__AZI_028__2.0,11.5352898607,4.0477905761
AB5075_AZI__AZI_003__2.0,1.2137152214,0.43464180220000004
AB5075_VIR-O_AV-T__AV-T/vector__1.0,1.4574601506,0.6207723288
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,-0.1861846338,-0.0282402899
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,0.2828756026,-0.3196453745
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,-0.0966909688,0.3478856644
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,3.2320345442,0.3693892337
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,4.4526193353,0.6055379465
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,3.5976468195,1.2513317471
AB5075_VIR-O_AV-T__AV-T/vector__2.0,1.6357199034,0.621285301
AB5075_VIR-O_AV-T__AV-T/vector__3.0,2.7271030823,0.5057978121
AB5075_VIR-O_LSO__VIR-O__1.0,-0.0393207108,-0.0504026189
AB5075_VIR-O_LSO__LSO__1.0,0.08678138710000001,-0.276239829
AB5075_VIR-O_LSO__VIR-O__2.0,0.2883994912,-0.2028685362
AB5075_VIR-O_LSO__LSO__2.0,1.3663003754,-0.3900741652
AB5075_VIR-O_LSO__VIR-O__3.0,-0.2490787804,0.253271155
AB5075_VIR-O_LSO__LSO__3.0,-2.0934126292,-0.5452812369
AB5075_Zinc__Control__1.0,-0.5606946464,0.1971430546
AB5075_Zinc__Control__2.0,0.9089505915,-0.36944615680000004
AB5075_Zinc__Control__3.0,-0.348255945,0.1723031022
AB5075_Zinc__Zinc__1.0,6.8975961048,3.1511048831
AB5075_Zinc__Zinc__2.0,7.6552614864,3.0096047956
AB5075_biofilm+abx__planktonic__1.0,1.0649401138,1.6473690559
AB5075_biofilm+abx__planktonic__2.0,-0.9529569821,-0.5623056161000001
AB5075_biofilm+abx__biofilm__1.0,0.6285010701,2.5381599408
AB5075_biofilm+abx__planktonic__3.0,-0.1119831317,-1.0850634398
AB5075_biofilm+abx__biofilm__2.0,-1.0410459195,2.5784006133
AB5075_biofilm+abx__biofilm__3.0,-0.42231435850000004,2.5463179585
AB5075_biofilm+abx__cip_biofilm__1.0,-5.1822517412,2.1394063085
AB5075_biofilm+abx__cip_biofilm__2.0,-0.3157974974,2.5796927845
AB5075_biofilm+abx__tet_biofilm__1.0,-2.2432192884,2.1251020036
AB5075_biofilm+abx__cip_biofilm__3.0,-4.0572035161,2.2848976844
AB5075_biofilm+abx__tet_biofilm__2.0,-4.2326205408,1.317385028
AB5075_biofilm+abx__tet_biofilm__3.0,-4.2442501617,1.9282107949
AB5075_gigAB__kan_gigB__1.0,-7.9657044317,2.0122105123
AB5075_gigAB__kan_gigB__2.0,-8.9953217495,1.5523499549
AB5075_gigAB__kan_gigB__3.0,-11.2595253915,0.1039403597
AB5075_gigAB__gigB__1.0,-6.9847065375,0.19913733760000002
AB5075_gigAB__gigB__2.0,-10.2393556922,-1.2087276173000001
AB5075_gigAB__gigB__3.0,-16.4819843604,-2.6073929436
AB5075_gigAB__kan_gigA__1.0,-12.6238998347,1.0736114959
AB5075_gigAB__kan_gigA__2.0,-12.8290969885,0.1311674101
AB5075_gigAB__kan_gigA__3.0,-9.8701505461,1.1623035503
AB5075_gigAB__gigA__1.0,-10.8843821468,-0.9808167391
AB5075_gigAB__gigA__2.0,-8.0860824196,0.46641126580000003
AB5075_gigAB__gigA__3.0,-6.1363719806,0.7517438071
AB5075_gigAB__kan_WT__1.0,-2.4697853504,-0.25199928450000003
AB5075_gigAB__kan_WT__2.0,-1.7250102326999999,-0.1437012784
AB5075_gigAB__kan_WT__3.0,-2.4803456345,-0.0930142474
AB5075_gigAB__WT__1.0,0.4984734498,0.2913883759
AB5075_gigAB__WT__2.0,1.6520732689000002,-0.5899134606
AB5075_gigAB__WT__3.0,-2.1505467187,0.2985250846
AB5075_med__CA-MHB__1.0,6.0934098322,2.7232829043
AB5075_med__CA-MHB__2.0,11.282115589,3.0211976556
AB5075_med__CA-MHB_pH6__1.0,11.498204101,3.6095693557
AB5075_med__CA-MHB_pH6__2.0,-0.4185820631,0.0226420228
AB5075_med__RPMI+_pH7__1.0,-1.733909616,-0.3560680699
AB5075_med__RPMI+_pH7__2.0,-3.4327878038,0.3181881474
AB5075_med__RPMI+_pH6__1.0,-3.1716978979,-0.3388644645
AB5075_med__RPMI+_pH6__2.0,7.4853704171,3.2709431272
AB5075_med__RPMI+_-HCO3__1.0,3.4731975842000002,0.9711113115000001
AB5075_med__RPMI+_-HCO3__2.0,3.2435346525,1.0806683363
AB5075_med__LB__1.0,-0.11425525600000001,-0.054576365800000005
AB5075_med__LB__2.0,0.11425525600000001,0.054576365800000005
AB5075_med__M9+AA__1.0,3.9528209414,2.1334470407
AB5075_med__M9+AA__2.0,5.8269613023,2.3155914714
AB5075_med__M9-AA__1.0,5.5869703815000005,2.1586436922
AB5075_med__M9-AA__2.0,5.8954284183,2.4662141897
