,ybaV
Cr_1,-0.007635881980393881
Cr_2,-0.02094145968771784
Cr_3,-0.012278367794734651
Cr_4,-0.02377225578344577
Cr_5,-0.02356179235162197
Cr_6,-0.01954545752302393
Fe_1,-0.03992813469425413
Fe_2,-0.04429053905871632
Fe_3,-0.07543464511722042
Fe_4,-0.08061974984584212
Fe_5,-0.1213780969433156
Fe_6,-0.11085940261084233
Cd_1,0.007704109125650031
Cd_2,0.021867777928460126
Cd_3,0.03105489902230194
Cd_4,0.0383260728662013
Cd_5,0.042599693236166185
Cd_6,0.050855993696396345
Zn_1,-0.0018354539839871566
Zn_2,0.015247173420275787
Zn_3,0.023268564121353825
Zn_4,0.035818857313602216
Zn_5,0.035663571518237805
Zn_6,0.034776010371579166
Cu_1,0.009874546434676038
Cu_2,0.013909283551991556
Cu_3,0.022346092382631768
Cu_4,0.03048414676745753
Cu_5,0.042628825448934496
Cu_6,0.05017966176707595
Pb_1,0.0011965979291514376
Pb_2,0.0012801254271845265
Pb_3,0.00941216482411721
Pb_4,0.018603195534950902
Pb_5,0.03241810928265978
Pb_6,0.05163701318287718
