,ascG
Cr_1,0.003127191945718025
Cr_2,0.006736854846554232
Cr_3,0.0077187554430064986
Cr_4,0.005055080115067194
Cr_5,0.0026064571388898423
Cr_6,-0.002003605932363141
Fe_1,0.003531998063105251
Fe_2,0.0036979967850079413
Fe_3,0.004858799570250562
Fe_4,0.003009005401029886
Fe_5,-0.002133787099397945
Fe_6,-0.003025735840632672
Cd_1,0.0015074463173780893
Cd_2,0.006875600520473663
Cd_3,0.011356595679733263
Cd_4,0.014648311929365453
Cd_5,0.01614667078871419
Cd_6,0.02250244322826274
Zn_1,0.005372648784984721
Zn_2,0.0060387425955630465
Zn_3,0.0018881780363235489
Zn_4,-0.0037783115480847897
Zn_5,-0.017973160339612233
Zn_6,-0.03061521774710754
Cu_1,0.003654031537248607
Cu_2,0.011365458223679013
Cu_3,0.01839838300331593
Cu_4,0.026230053568125054
Cu_5,0.035274142827278226
Cu_6,0.04300781795644968
Pb_1,0.0038882005626609288
Pb_2,0.003834297419733096
Pb_3,-0.0006256929916851276
Pb_4,-0.004190292092023868
Pb_5,-0.008297961065370823
Pb_6,-0.010840615812693232
