,ycbB
Cr_1,0.02610757142938677
Cr_2,0.052281853714689824
Cr_3,0.07041399121646277
Cr_4,0.06769371978635154
Cr_5,0.04834480504313597
Cr_6,0.03929164002174669
Fe_1,-0.010503330156081212
Fe_2,-0.03548557495541965
Fe_3,-0.06158708298517004
Fe_4,-0.09211781010410748
Fe_5,-0.12147753498742825
Fe_6,-0.14598987936802926
Cd_1,0.008600769086981848
Cd_2,0.02018944658733756
Cd_3,0.03134245571140161
Cd_4,0.0375017060589275
Cd_5,0.019300236874145858
Cd_6,0.0007295978326939018
Zn_1,0.003454128400725921
Zn_2,0.00484244995813133
Zn_3,0.01234012295117828
Zn_4,0.01932910166021624
Zn_5,0.028907902142369487
Zn_6,0.04376032829142959
Cu_1,-0.004480925778042741
Cu_2,-0.0047195906081205895
Cu_3,-0.002396426818267588
Cu_4,0.0010963091206652818
Cu_5,0.011856784353285452
Cu_6,0.0220844314701136
Pb_1,-0.0029629909006632783
Pb_2,-0.0005766455301767099
Pb_3,0.007182212045992112
Pb_4,0.014955289404189196
Pb_5,0.02398960836970505
Pb_6,0.033317357443769534
