,ypjD
Cr_1,-0.01745205887810266
Cr_2,-0.020791941397704856
Cr_3,-0.022583529588160556
Cr_4,-0.031985326303088236
Cr_5,-0.048032528851760375
Cr_6,-0.05080187221885567
Fe_1,-0.04863665341144943
Fe_2,-0.10029513963619223
Fe_3,-0.14914130525809374
Fe_4,-0.1932305448678744
Fe_5,-0.2167964105008132
Fe_6,-0.2019147534165301
Cd_1,-0.0017770885204481024
Cd_2,0.0007309547020857253
Cd_3,0.006986456435005526
Cd_4,0.016285024899524617
Cd_5,0.019499290997907984
Cd_6,0.031227837874679008
Zn_1,0.04783124367394636
Zn_2,0.048065655317195484
Zn_3,0.03983187424181662
Zn_4,-0.01629505091410696
Zn_5,-0.07376197469908069
Zn_6,-0.1796332403996097
Cu_1,0.009576014871497323
Cu_2,0.01814979323259617
Cu_3,0.023948412188181424
Cu_4,0.029787872896818723
Cu_5,0.03731745662714034
Cu_6,0.04779573561822088
Pb_1,1.4357603482203432e-06
Pb_2,-0.005942234179892664
Pb_3,0.010823191522269621
Pb_4,0.029085158487336508
Pb_5,0.04972474826477808
Pb_6,0.07139069626839638
