,otsB
Cr_1,0.0024941358807965067
Cr_2,0.013892140106401843
Cr_3,0.031871922385081304
Cr_4,0.05230325145183407
Cr_5,0.075601997527313
Cr_6,0.09492421343681344
Fe_1,-0.0043922169181907994
Fe_2,-0.032436962145276964
Fe_3,-0.07141442518321227
Fe_4,-0.12087225112641806
Fe_5,-0.16414059946604628
Fe_6,-0.19557170569002424
Cd_1,0.0037324008729064696
Cd_2,0.010019721317900273
Cd_3,0.020253013485102948
Cd_4,0.027566812364894992
Cd_5,0.02921249207289832
Cd_6,0.035930126637462735
Zn_1,-0.008665517296560458
Zn_2,-0.013146960668278576
Zn_3,-0.002150333748869659
Zn_4,0.016222941867705315
Zn_5,0.03542001421378637
Zn_6,0.04697236376180301
Cu_1,0.00527855795654899
Cu_2,0.010934223916005823
Cu_3,0.021183001925413482
Cu_4,0.027180724790199857
Cu_5,0.0332469777618449
Cu_6,0.04252225715626544
Pb_1,0.005218383431827155
Pb_2,0.007623495505880317
Pb_3,0.014171554203336526
Pb_4,0.02682679963424025
Pb_5,0.040830952374134366
Pb_6,0.05577760580595412
