,panE
Cr_1,0.007351762739150416
Cr_2,0.005940665210803702
Cr_3,0.021460829769520472
Cr_4,0.012435736112549377
Cr_5,0.016091738734444392
Cr_6,0.01402894250331745
Fe_1,-0.04044910275684455
Fe_2,-0.06725148102848967
Fe_3,-0.05919722695569361
Fe_4,-0.04436513977610633
Fe_5,-0.02449918473086852
Fe_6,0.02175462255866338
Cd_1,0.016045069284537156
Cd_2,0.02044025395291087
Cd_3,0.026736628846996
Cd_4,0.0247306801089631
Cd_5,0.0280304948309745
Cd_6,0.0371574454391012
Zn_1,0.003957290350873378
Zn_2,0.0258454150985698
Zn_3,0.07462060912640926
Zn_4,0.13053714831394986
Zn_5,0.184579710549122
Zn_6,0.24325562162229636
Cu_1,0.011999007482141224
Cu_2,0.02105549250590443
Cu_3,0.029463271868699008
Cu_4,0.034661804870587516
Cu_5,0.03808017104994841
Cu_6,0.034239033046825594
Pb_1,0.010302666118893557
Pb_2,0.011959733204971464
Pb_3,0.008100478073641785
Pb_4,0.01906567894078226
Pb_5,0.0160397529470898
Pb_6,0.011761537251602115
