,new_1907202_1907287
LBexp_1,8.4061
LBexp_2,8.464
LBexp_3,8.3361
LBtran_1,8.7881
LBtran_2,8.4654
LBtran_3,8.5042
LBstat_1,8.984
LBstat_2,8.956900000000001
LBstat_3,8.626
LBGexp_1,7.9657
LBGexp_2,8.531600000000001
LBGexp_3,8.4797
LBGtran_2,8.3167
LBGtran_3,8.5919
LBGstat_1,8.538499999999999
LBGstat_2,7.5331
LBGstat_3,8.7389
S0_1,7.8345
S0_2,7.8371
S0_3,8.128
S1_1,8.512
S1_2,8.8199
S1_3,8.4981
S2_1,8.7007
S2_2,8.4011
S2_3,8.4283
S3_1,12.5759
S3_2,12.0397
S4_1,13.0116
S4_2,13.3729
S4_3,12.4143
S5_1,12.0814
S5_2,12.493
S5_3,12.8939
S6_1,12.3895
S6_2,10.9524
S6_3,13.2515
S6/t_1,11.6372
S6/t_2,10.6789
S6_4,11.5016
S6_5,12.0255
S6_6,12.465
S7_4,12.1838
S7_5,11.6836
S7_6,11.7914
S8_4,11.2017
S8_5,11.4105
G135_1,8.2401
G135_3,7.692
G150_1,7.8425
G150_2,8.0091
G150_3,7.9097
G180_1,8.1908
G180_2,8.1931
G180_3,8.125
C30_1,9.5426
C30_2,9.6162
C90_1,9.3921
C90_2,8.6518
BI_1,8.6811
BI_2,9.2645
BC_2,9.2307
BC/t_1,9.3364
BC/t_2,9.9877
BC_1,9.093
Sw_1,9.163
Sw_2,9.5985
BT_1,13.0586
BT_2,11.6238
B36_1,12.2672
B36_2,11.8098
B60_1,10.9326
B60_2,10.697
M9exp_1,8.4025
M9exp_2,8.3574
M9exp_3,8.2973
M9tran_1,8.7209
M9tran_2,8.6674
M9tran_3,8.6328
M9stat_1,9.729800000000001
M9stat_2,8.4258
M9stat_3,8.1376
M+G_1,9.3754
M+G_2,8.422
M+G_3,8.6287
Glu_1,8.9972
Glu_2,8.7033
Glu_3,8.9879
Fru_1,9.2465
Fru_2,9.0754
Fru_3,8.2868
Mal_1,8.1813
Mal_2,8.9255
Mal_3,8.634
G+S_2,11.3172
G+S_3,11.7852
Pyr_1,10.254
Pyr_2,11.3299
Pyr_3,10.7505
Gly_1,7.9551
Gly_2,8.8274
Gly_3,8.1992
