,cadB
Cr_1,1.318943042617744e-05
Cr_2,-0.00038986973114189474
Cr_3,-0.001102127310772466
Cr_4,-0.002050716537751442
Cr_5,-0.0031734542512723077
Cr_6,-0.003950699075402121
Fe_1,-0.004389713533268217
Fe_2,-0.0201101069415045
Fe_3,-0.03787784301860254
Fe_4,-0.05550875969852642
Fe_5,-0.07285830495484491
Fe_6,-0.083381144959511
Cd_1,-0.005128525542223329
Cd_2,0.00749535764684472
Cd_3,0.037589284373610164
Cd_4,0.08295904403711181
Cd_5,0.14842506202656644
Cd_6,0.2434639442518522
Zn_1,-0.0013460656840408212
Zn_2,-0.00439801583174184
Zn_3,-0.007075540212098603
Zn_4,-0.00978419658134943
Zn_5,-0.011147837296966005
Zn_6,-0.012302636916064
Cu_1,-0.0004872409877195133
Cu_2,-0.0019459173639297738
Cu_3,-0.004875932365998568
Cu_4,-0.005919616853588989
Cu_5,-0.005463039731123057
Cu_6,-0.007138873998229083
Pb_1,0.002926280407778281
Pb_2,0.0067333590224235565
Pb_3,0.013173072057425872
Pb_4,0.01652325516142681
Pb_5,0.022123851443385918
Pb_6,0.031357956368598464
