,hscB
Cr_1,0.004819975460355504
Cr_2,0.003122859757827918
Cr_3,-0.00035229060199730466
Cr_4,0.0039903292176437415
Cr_5,0.0021354939187985386
Cr_6,0.006802345399413256
Fe_1,-0.03805976167204217
Fe_2,-0.06506039845316211
Fe_3,-0.07246362461251499
Fe_4,-0.07943856973663349
Fe_5,-0.08795768184199855
Fe_6,-0.07574726061963405
Cd_1,0.00018504668022955632
Cd_2,-0.0013154924416676793
Cd_3,0.007771540152882735
Cd_4,0.014138795757095413
Cd_5,0.014892661247780943
Cd_6,0.02412924656683625
Zn_1,-0.005076630029243839
Zn_2,-0.028696367336557862
Zn_3,-0.05406137380699146
Zn_4,-0.04713883782698482
Zn_5,-0.033257308865756154
Zn_6,-0.014841295751487831
Cu_1,0.0019908636102690287
Cu_2,0.008477108368692147
Cu_3,0.00597747720398687
Cu_4,0.014091076718248932
Cu_5,0.021985526745393617
Cu_6,0.037718133521818825
Pb_1,0.004513991542497702
Pb_2,-0.0004620044776576617
Pb_3,0.012870421157086004
Pb_4,0.027312716675176783
Pb_5,0.03651256901820854
Pb_6,0.043554911469951864
