,yjhS
Cr_1,0.0006640422094886586
Cr_2,0.007632245093166576
Cr_3,0.014032937639383387
Cr_4,0.015014795903874525
Cr_5,0.019726149203464976
Cr_6,0.022876979127370564
Fe_1,-0.0106534844370799
Fe_2,-0.018488391865137704
Fe_3,-0.013599953768384495
Fe_4,-0.005730331476056521
Fe_5,0.0054850177700365285
Fe_6,0.01095032740936799
Cd_1,0.0015483929627978484
Cd_2,0.013916272417228459
Cd_3,0.02579538054730893
Cd_4,0.0261924994761744
Cd_5,0.027689629051070117
Cd_6,0.034005402559109464
Zn_1,0.0019780932790860414
Zn_2,0.02030655926572656
Zn_3,0.03118905778389398
Zn_4,0.04777417252112697
Zn_5,0.059113539271195975
Zn_6,0.06673819551982169
Cu_1,-0.0014644498391781409
Cu_2,0.0062847790279969284
Cu_3,0.016678755641096984
Cu_4,0.02565843264351733
Cu_5,0.032589591839357016
Cu_6,0.04430386480691483
Pb_1,0.0069476048018870355
Pb_2,0.015192194615194766
Pb_3,0.0184825353237008
Pb_4,0.025922071282504053
Pb_5,0.034702642485694504
Pb_6,0.04101345192322828
