,yidI
Cr_1,0.004604864670283342
Cr_2,-0.01189160109871368
Cr_3,-0.026942157167263697
Cr_4,-0.03334174777826518
Cr_5,-0.029116328983066358
Cr_6,-0.019829010550820515
Fe_1,-0.007124116302809249
Fe_2,-0.026499197654628617
Fe_3,-0.03756479000918807
Fe_4,-0.05326511289555489
Fe_5,-0.06663135793879234
Fe_6,-0.07859990684644932
Cd_1,0.0026466993842947004
Cd_2,0.01757647284625817
Cd_3,0.03479356078241288
Cd_4,0.052249678536356335
Cd_5,0.06139341962589706
Cd_6,0.08451487123552125
Zn_1,-0.039126683730264
Zn_2,-0.03851069275383802
Zn_3,-0.0473647445456671
Zn_4,-0.056697778922723735
Zn_5,-0.053630207796239664
Zn_6,-0.049625148731465805
Cu_1,0.009390771972461262
Cu_2,0.01247586171957022
Cu_3,0.01998651853201538
Cu_4,0.021233825414758
Cu_5,0.021180745933401687
Cu_6,0.02092636051794043
Pb_1,0.004866994895449107
Pb_2,0.0059544467930519596
Pb_3,0.019244656772428138
Pb_4,0.039568986134895685
Pb_5,0.05364622707496658
Pb_6,0.0743831631446439
