,-0.05605515799570761,-0.04204136849678071,-0.02802757899785381,-0.014013789498926912,-1.3877787807814457e-17,0.014013789498926885,0.028027578997853783,0.04204136849678068,0.05605515799570758,0.07006894749463448,0.08408273699356138,0.09809652649248828,0.11211031599141517,0.1261241054903421,0.14013789498926899,0.15415168448819588,0.16816547398712278,0.18217926348604968,0.19619305298497658,0.21020684248390348
thresh,-0.03503447374731725,0.03503447374731725,3,,,,,,,,,,,,,,,,,
unreg,1,4,18,538,3450,246,19,5,4,0,1,2,0,2,0,0,2,0,0,0
Xpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,6,0,0,0
Xre,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
unreg_genes,['yngC'],['xynC' 'ppsE' 'xynD' 'eglS'],[],[],[],[],[],['ybfEc' 'ybfF' 'ymzEn' 'polYB' 'dinB'],['pghB' 'yorB' 'tagC' 'ymzEc'],[],['ykuG'],['ykzU' 'xpf'],[],['ybfG' 'xlyB'],[],[],['ykzL' 'ykzM'],[],[],[]
Xpf_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['xkdV' 'xkdO'],['xkdT' 'xkdP' 'xkdW' 'xkzA' 'xkzB' 'xkdU' 'xkdS'],"['xkdR' 'xkdQ' 'xkdE' 'xlyA' 'xtmB' 'xepA' 'xkdI' 'xkdF' 'xkdN' 'xkdX'
 'xkdM' 'xkdG']",['xtmA' 'xhlB' 'xhlA' 'xkdH' 'xkdK' 'xkdJ'],[],[],[]
Xre_genes,[],[],[],[],[],[],[],[],[],[],[],['yjzJ' 'xkdD'],['xtrA' 'xkdC' 'ykzK' 'xkdB'],[],[],[],[],[],[],[]
