,A,LldR
R2,,0.23092904536250602
xmin,,-1.6073083603333336
xmid,,-0.2937941160622377
xmax,,2.1859120085
ystart,,-2.445454738385325
yend,,7.666181759981975
ALE:GalactoseA5:1.0,-5.590286786957562,0.3109698562500007
ALE:GalactoseA5:2.0,-6.034394118733245,0.1229907722500005
ALE:GalactoseA6:1.0,-6.161864528356482,-0.3098095457499994
ALE:GalactoseA6:2.0,-6.50242646891445,-0.5191945827499991
ALE:GalactoseA8:1.0,-6.532802290606577,-0.0773208277499994
ALE:GalactoseA8:2.0,-6.017682143276473,-0.1887421677499992
ALE:IL_Control:1.0,-1.0701301845894726,-0.055444851749999
ALE:IL_Control:2.0,-4.58209566577178,-0.5891000047499997
ALE:IL_Control:3.0,5.683359866412835,1.001125214250001
ALE:IL_Control:4.0,-0.0311340145748272,-0.3565803577499995
ALE:IL_TEOH_OAc:1.0,-2.6714893934088275,0.9782849532500002
ALE:IL_TEOH_OAc:2.0,-1.7940943338235664,0.8021514922500002
ALE:IL_TEA_HS:1.0,-2.4221753992541166,-0.1883915187499996
ALE:IL_TEA_HS:2.0,-3.9588303761951793,0.0344644832500007
ALE:IL_Mixed:1.0,-0.1307893917992856,1.0036756992500004
ALE:IL_Mixed:2.0,-1.5256894939231032,0.6447181532500004
ALE:IL_PP5350:1.0,-3.910686435680721,-1.2904574877499997
ALE:IL_PP5350:2.0,-3.9247495329795066,-1.2537006487499998
ALE:IL_T8:1.0,-4.034522304762575,-0.9027490817499996
ALE:IL_T8:2.0,-3.1015144487214354,-0.7955931977499997
ALE:IL_T9:1.0,-0.1833523013000195,0.4680461132500007
ALE:IL_T9:2.0,1.921565247184125,0.3378301362500009
ALE:IL_Control2:1.0,-6.313671069833135,-0.1731618957499998
ALE:IL_Control2:2.0,-5.766261370607546,-0.0199236807499998
ALE:IL_Glc+Ace:1.0,-2.4970641506949387,-0.1281648037499998
ALE:IL_Glc+Ace:2.0,-2.303782539006338,0.1945563392500009
ALE:XyloseA1:1.0,-5.017443084842924,-0.0269779577499997
ALE:XyloseA1:2.0,-4.97876416468714,0.0361832752500008
ALE:XyloseA2:1.0,-6.613148894740322,0.2168696222500008
ALE:XyloseA2:2.0,-6.0032917201393845,0.2360253342500007
ALE:XyloseA3:1.0,-6.0836393403826685,0.2313631082500009
ALE:XyloseA3:2.0,-5.861565146487392,0.1064686382500008
ALE:XyloseA4:1.0,-5.184108606700245,-0.0268683347499996
ALE:XyloseA4:2.0,-5.630848435107041,-0.1311060807499995
Aromatic:Coumarate:1.0,-1.260887329966503,-0.4177730683333331
Aromatic:Coumarate:2.0,-0.9219869673992568,-0.4267525943333332
Aromatic:Coumarate:3.0,-2.056576239866393,-0.4379981883333332
Aromatic:Coumarate+ferulate:1.0,-1.4402012184952702,0.5115645986666673
Aromatic:Coumarate+ferulate:2.0,-1.2976999662836737,0.5471005246666669
Aromatic:Coumarate+ferulate:3.0,-1.8349569176294085,0.4318758846666668
Aromatic:Ferulate:1.0,0.62554484322525,0.1892133676666665
Aromatic:Ferulate:2.0,-0.0423497048801208,-0.0220800573333335
Aromatic:Ferulate:3.0,0.5344946225205652,-0.0385245603333332
Aromatic:Glucose:1.0,-0.062111386530274,-0.1033319853333329
Aromatic:Glucose:2.0,-0.3507078664136097,0.0874424436666672
Aromatic:Glucose:3.0,0.4128192530461176,0.0158895416666666
Bioreactor1:24h:1.0,-0.8229522948681478,0.0770392525000005
Bioreactor1:24h:2.0,0.8229522953653658,-0.0770392524999996
Bioreactor2:S_0min:1.0,0.0839269957178987,-0.2677374160000001
Bioreactor2:S_15min:1.0,-0.8427959981675613,0.3662708679999999
Bioreactor2:P1_15min:1.0,-0.2615722488205684,0.0639298190000001
Bioreactor2:P3_15min:1.0,-0.0072838243606918,-0.1985479149999998
Bioreactor2:P5_15min:1.0,0.2851863557859618,-0.0706395899999998
Bioreactor2:S_1h:1.0,-1.0016635681371255,-0.0198683029999999
Bioreactor2:S_3h:1.0,-0.8252836868145724,-0.0490574459999999
Bioreactor2:S_9h:1.0,-0.172268358927181,0.1365290599999999
Bioreactor2:S_25h:1.0,-0.1500021483082215,0.2385908240000001
