,A,OxyR
R2,,0.03539214639143007
xmin,,-7.3223905695
xmid,,-3.644744313241529
xmax,,2.7180365921
ystart,,-2.123042885117915
yend,,1.9944704865679916
SRX1125282,-0.0231949876,-0.1994062507
SRX1125283,2.0369244093,-0.1810197527
SRX1125284,3.7168923264,-0.1271125231
SRX1125285,5.2377164121,0.0232212942
SRX1125286,4.3164414006000005,-0.2269379292
SRX1125287,3.0710135732,-0.5323617533
SRX1125288,-0.1531056052,0.0473553623
SRX1125289,2.0088839102,-0.1642196427
SRX1125290,3.2202241832,0.0369003024
SRX1125291,4.5118082297,0.029819873700000003
SRX1125292,3.6515343791,-0.1310457938
SRX1125293,2.9808749709,-0.3571388817
SRX1125294,0.17630059280000002,0.1520508884
SRX1125295,1.5566332172,0.0072753883
SRX1125296,3.1156093525,0.06296445
SRX1125297,4.6251813767000005,0.1458944704
SRX1125298,4.1354160359,-0.1116795619
SRX1125299,3.1870545845000002,-0.3604139954
SRX5694250,-0.0655093548,-0.8040297075
SRX5694251,-0.9352661790000001,-1.6980277039
SRX5694252,-2.3468240387,0.20879793200000002
SRX5694253,0.35051724300000003,-0.4874036866
SRX5694254,0.1081043515,-0.4845002531
SRX5694255,-0.4514753815,0.6848174218
SRX5694256,-0.8964584173000001,-0.3818613059
SRX5694257,1.8036401909,-0.1905117591
SRX5694258,0.7211750561,-0.6539429079
SRX5694259,-3.2583033198,-1.3873508818
SRX5694260,-1.3026936696,0.26234605980000003
SRX5694261,-3.2522188533,-0.6582008188
SRX5694262,-1.308181948,-1.1940372072
SRX5694263,-0.5089656294,0.1111548504
SRX5694264,-0.289899361,0.5874507888
SRX5694265,-2.6550765115,-0.1538106441
SRX5694267,-0.0243282935,-0.3431364357
SRX5694268,-1.0132429823,0.5788240973000001
SRX5694269,-1.3744867331,0.3706831191
SRX5694271,-0.035243838,0.1584760646
SRX5694273,-4.0834900202,-1.3540981611
SRX5694274,-1.0115905165,0.4484136764
SRX5694275,-1.4152721588000001,0.4946339004
SRX5694276,-1.0971807266,-1.5467817235
SRX5694277,-1.0179181522,0.5759934517
SRX5694278,-3.5359626869,-2.1062684535
SRX5694279,-1.2194580137,0.28507031250000003
SRX5694280,-0.9883045439,-0.6050890228
SRX5694281,-0.7054780875000001,0.0355785686
SRX5694282,-1.6254320474,0.6222374767000001
SRX5694283,-2.3568504433,0.1195696507
SRX5694284,-2.2347871899,-0.268585725
SRX5694285,-2.7479943153,0.0432282963
SRX5694286,-2.3618991648,0.46236994200000003
SRX5694287,0.11265695290000001,0.0966021544
SRX5694288,-0.9146861804,0.41092549580000004
SRX5694289,0.2576323695,-0.2048972248
SRX5694290,-0.2759123978,0.5287016566
SRX5694291,-0.4491471711,0.6529428718
SRX5694292,-0.5162253383000001,-0.1002471373
SRX5694293,-0.5962366408,0.1333686768
SRX5694294,0.4186414175,-0.9167497979
SRX5694295,-2.9940683926,-0.5081429094000001
SRX5694296,0.0233345494,-0.0269080381
SRX5694297,-1.6278324609000001,-0.6728361816
SRX5694298,-2.3362983551,-0.3660819793
SRX5694299,0.1731936365,-0.6352437589000001
SRX5694300,-0.2595672443,-0.47287492950000004
SRX5694301,-0.4106925266,0.0391291152
SRX5694302,-1.8559981384,0.8338892052
SRX5694303,-1.1980521196,0.5859309984000001
SRX5694304,-0.3356815882,0.1932020945
SRX5694305,-2.0533955561,-1.7136493902
SRX5694306,-1.0212010165,-0.7660601576
SRX5694307,-1.2844220109,0.46898384270000004
SRX5694308,-0.2140498756,-0.1265563892
SRX5694309,-2.3287825385,-1.9349408597000002
SRX5694310,-0.6021679793,-0.3094326716
SRX5694311,-2.8561099268,-1.5019901324
SRX5694312,-2.4592723235,-1.0758261205
SRX5694313,-1.5282108293999999,-0.1741470595
SRX5694315,-1.7262234701999999,0.1775376009
SRX5694317,-1.5056989761000001,0.0636466914
SRX5694319,-0.4571797204,0.34763951930000003
SRX5694320,-0.7645742793,0.9707648316
SRX5694321,-0.8148650096000001,-0.23401531080000001
SRX5694322,-1.8108577228,0.8280282656
SRX5694323,-0.3593212682,-0.3595708634
SRX5694324,-0.6764362107,-1.2348255979
SRX5694325,0.2724126573,-0.42024940990000004
SRX5694326,-0.5872913484,0.0343927835
SRX5694327,-0.9379539559000001,-0.45220226080000003
SRX5694328,-1.0281983641,0.3008599111
SRX5694329,-1.3625285205,-0.33679737660000003
SRX5694330,-0.6727271906,0.3146906479
SRX5694331,0.4078786368,0.0930748708
SRX5694332,-1.7339604062,0.11305466310000001
SRX5694334,-0.652596403,0.059262543300000005
SRX5694335,-1.0630747763,-0.09342945180000001
SRX5694336,-1.2404372906,-1.8030836016
