,A,PhoB
R2,,0.5251453430339951
xmin,,-5.282633958
xmid,,-1.204109545375367
xmax,,6.6003753077
ystart,,-2.5498737350940197
yend,,13.522698700157507
aat__00m_00s__1,0.36152986870000003,0.3736209963
aat__00m_30s__1,0.4755346909,0.3092767386
aat__01m_00s__1,1.0898273304,0.1071695153
aat__02m_00s__1,0.9093753514,-0.0354846045
aat__05m_00s__1,0.6414074175000001,-0.004834169100000001
aat__10m_00s__1,1.5912956175000001,-0.2768318768
aat__00m_00s__2,-0.0947118742,0.1209835694
aat__00m_30s__2,0.6488680175,-0.3438789714
aat__01m_00s__2,0.6956061401,0.045306833000000005
aat__02m_00s__2,0.6441459696,0.0237810422
aat__05m_00s__2,1.1946747936,0.1683480255
aat__10m_00s__2,1.9024881165,0.48406726390000004
aat__00m_00s__3,-0.2668179945,-0.4946045657
aat__00m_30s__3,0.2279212796,0.2967492266
aat__01m_00s__3,0.7453985731,0.37314838110000004
aat__02m_00s__3,0.8034551998,0.21336745340000002
aat__05m_00s__3,0.4394721932,0.2474174562
aat__10m_00s__3,1.9214833836,0.414768939
abx_mega__dmso-2__1,-1.0364141574,0.5690507049
abx_mega__ery_dmso__1,1.502632721,0.2523477458
abx_mega__nal_naoh__1,2.0104579308,0.2758994782
abx_mega__dmso-5__1,-0.4871649046,0.0245192425
abx_mega__rif_dmso__1,1.2201312853,0.9713270068000001
abx_mega__novo_h2o__1,2.9508106989,0.0085838434
abx_mega__rach_dmso__1,0.1801620384,0.0307001067
abx_mega__metro_dmso__1,-1.4600821679,0.1898039424
abx_mega__dmso-6__1,-0.0029553839,0.340787811
abx_mega__chl_h2o__1,0.8935757683000001,-0.2040500074
abx_mega__cst_h2o__1,0.1056061462,0.2741072185
abx_mega__tec_h2o__1,1.3383307728,0.8370211807
abx_mega__str_h2o__1,-1.5164490208,-0.5995836873
abx_mega__ctx_h2o__1,0.0223738149,0.058267324200000005
abx_mega__nal_naoh__2,0.5539684503,-0.0433894549
abx_mega__phos_h2o__1,-1.2953634635,-0.2616926122
abx_mega__dmso-5__2,0.4873060575,0.173810756
abx_mega__polmyx_h2o__1,-0.07853318620000001,-0.22045426610000002
abx_mega__h2o-8b__1,-1.3430888214,-0.22763794780000002
abx_mega__h2o-6__1,-1.3516700429,0.10388259130000001
abx_mega__thio_dmso__1,2.2191224882,-0.7833564989
abx_mega__phos_h2o__2,-0.9331545207,-0.5554870417000001
abx_mega__ctx_h2o__2,-0.5343619627,-0.9835943254
abx_mega__lzd_dmso__1,-1.8736169749,-0.4632936776
abx_mega__naoh-9__1,-1.2924062575,0.0722413033
abx_mega__dox_dmso__1,-0.2202174658,-0.7511979774
abx_mega__phos_ethanol__1,-0.2735455169,-0.6149121879
abx_mega__teix_dmso__1,2.0542238105,0.5050103118
abx_mega__dmso-10__1,0.5626501172,-0.36705523900000003
abx_mega__van_dmso__1,4.1427258523,2.3685057526
abx_mega__ramo_h2o__1,2.6340755647,0.5517114805000001
abx_mega__tec_h2o__2,0.3077960027,0.4551472003
abx_mega__h2o-7__1,-0.5526888254,-0.2761207358
abx_mega__cro_h2o__1,-0.9384306422,-0.46458306250000003
abx_mega__tric_ethanol__1,-0.3052571442,-0.0183899255
abx_mega__nor_naoh__1,0.579794519,-0.1832542973
abx_mega__teix_dmso__2,-1.0536001241,0.2002400667
abx_mega__nal_naoh__3,0.3784299734,-0.09534342380000001
abx_mega__novo_h2o__2,2.1273907713,0.007873737700000001
abx_mega__dmso-10__2,0.593334004,-0.2218401267
abx_mega__phos_h2o__3,-1.8352458799,-0.2095874287
abx_mega__dmso-6__2,-0.3106299993,0.1148847848
abx_mega__rfp_ethanol__1,7.2968851371,1.9859195324
abx_mega__dmso-5__3,-0.7304185729,0.2228724178
abx_mega__amyc-d_dmso__1,2.0763962177,1.5856757704
abx_mega__sxt_dmso__1,-0.10358457630000001,-0.5106157994
abx_mega__dmso-1__1,-0.9653245637000001,-0.5240711665000001
abx_mega__pen_h2o__1,-1.2504246845,-0.34042273630000003
abx_mega__dmso-10__3,0.3252834388,-0.3251316294
abx_mega__nal_naoh__4,1.2545034582999999,-0.19328837340000002
abx_mega__cip_naoh__1,0.8544867801,-0.5013159502
abx_mega__pen_h2o__2,-0.9144200299,-0.2491479594
abx_mega__ery_dmso__2,2.0097946972,0.8599834896
abx_mega__dmso-2__2,-0.28674009780000004,0.7643233674000001
abx_mega__van_dmso__2,3.5980438499,1.6651302744
abx_mega__h2o-1b__1,-1.3526065626000001,-0.34557191930000003
abx_mega__ery_h2o__1,1.1531570243,-0.9062638785
abx_mega__bacit_h2o__1,7.4081514521,1.529186496
abx_mega__chl_h2o__2,1.3535727448000001,-0.3344836249
abx_mega__str_h2o__2,-1.1560761118,0.0356575079
abx_mega__rfp_ethanol__2,7.1866235204,1.7102869779
abx_mega__polmyx_h2o__2,-0.4394327469,-0.3908183311
abx_mega__tric_h2o__1,3.7406858369,0.5514049099
abx_mega__cip_naoh__2,0.3301321423,-0.0222948076
abx_mega__novo_h2o__3,1.604951174,-0.3079812824
abx_mega__bacit_dmso__1,1.4052889967,0.74800013
abx_mega__gen_h2o__1,2.0863131433,1.6832904851000001
abx_mega__bacit_dmso__2,2.1039997744,1.2659970044
abx_mega__chl_dmso__1,4.3468603224,1.1142688067
abx_mega__bacit_h2o__2,5.5446050698,2.2012092319
abx_mega__lvx_dmso__1,0.7530890817,0.3921139326
abx_mega__bacit_h2o__3,7.3174715505,1.6130428969000001
abx_mega__nor_naoh__2,0.5632053963,-0.0178143339
abx_mega__amyc-d_dmso__2,-0.10661896230000001,0.7133592037
abx_mega__polmyx_h2o__3,0.2009046685,1.2818809526
abx_mega__naoh-6__1,-0.8844502753,0.2643644462
abx_mega__cst_h2o__2,-1.5177315948999999,0.46090553630000003
abx_mega__h2o-1b__2,-1.1316550021,-0.6282913141
abx_mega__rfp_h2o__1,2.7619333923,1.3873937471
abx_mega__tet_h2o__1,-1.7609645849,-0.8595106744000001
abx_mega__flavo_dmso__1,3.2901752451,0.22543533840000002
abx_mega__zeocin_h2o__1,-0.2787380107,-0.592478395
abx_mega__nor_naoh__3,0.48343284550000004,0.045574688200000005
abx_mega__rach_dmso__2,1.0247064084,-0.9609435281
abx_mega__thio_dmso__2,6.9280271698,1.5386804070000002
abx_mega__amyc-d_dmso__3,1.5972904986,1.7031902116
abx_mega__rif_dmso__2,-1.0290229531,1.2042742245
abx_mega__amyc-d_dmso__4,0.0079271014,-0.060440975800000005
abx_mega__teix_dmso__3,1.5735015548,1.4036969962999999
abx_mega__valin_dmso__1,1.3714914377,0.8759138288
