locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PhoB,link
b3728,0.43526348410000004,pstS,phosphate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,pstSCAB-phoU,"RpoD,RpoS,Fnr,ppGpp,IHF,PhoB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10734
b3727,0.3439574047,pstC,phosphate ABC transporter membrane subunit PstC,Inorganic ion transport and metabolism,pstSCAB-phoU,"RpoD,RpoS,Fnr,IHF,PhoB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10784
b3726,0.3273444881,pstA,phosphate ABC transporter membrane subunit PstA,Inorganic ion transport and metabolism,pstSCAB-phoU,"RpoD,RpoS,Fnr,IHF,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10782
b0399,0.2750269926,phoB,DNA-binding transcriptional dual regulator PhoB,Transcription,phoBR,"RpoD,PhoB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10728
b3725,0.2696056692,pstB,phosphate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,pstSCAB-phoU,"RpoD,RpoS,Fnr,IHF,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10783
b3724,0.24583444640000002,phoU,negative regulator of the pho regulon,Inorganic ion transport and metabolism,pstSCAB-phoU,"RpoD,RpoS,Fnr,IHF,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10735
b0400,0.2185162277,phoR,sensory histidine kinase PhoR,Signal transduction mechanisms,phoBR,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10733
b0383,0.13128760720000002,phoA,alkaline phosphatase,Inorganic ion transport and metabolism,phoA-psiF,"RpoD,YidZ,PhoB,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10727
b0241,0.1106189893,phoE,outer membrane porin PhoE,Cell wall/membrane/envelope biogenesis,phoE,"RpoD,PhoB,micF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10729
b3723,0.09926414530000001,bglG,transcriptional antiterminator BglG,Transcription,bglGFB,"StpA,Crp,LeuO,RcsB-BglJ,Fis,H-NS,BglG",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10116
b1020,0.0789921838,phoH,ATP-binding protein PhoH,Signal transduction mechanisms,phoH,"RpoD,ppGpp,PhoB,Lrp,Nac,GlaR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11734
