,yggD
Cr_1,0.0035157563418378984
Cr_2,0.0061459563117407245
Cr_3,0.008812166364397746
Cr_4,0.010730342701224931
Cr_5,0.010399897961573278
Cr_6,0.010786518681032291
Fe_1,-0.01491642793665262
Fe_2,-0.04080816996923944
Fe_3,-0.06933388693867472
Fe_4,-0.10632707606110994
Fe_5,-0.14432127803174954
Fe_6,-0.17477517939453868
Cd_1,0.003902078051664402
Cd_2,0.0063603156513390505
Cd_3,0.0062071291572501795
Cd_4,-0.0010361323829499466
Cd_5,-0.009617575922453013
Cd_6,-0.006773663045999029
Zn_1,0.0024527949016721227
Zn_2,-0.0019168688297573058
Zn_3,-0.0033572158517820496
Zn_4,-0.00030103837860487374
Zn_5,0.00688888746594602
Zn_6,0.014316292790504415
Cu_1,0.0012312703746902827
Cu_2,0.005153805201906207
Cu_3,0.01700332327378919
Cu_4,0.02806923295713817
Cu_5,0.04034369219232933
Cu_6,0.058656044552392185
Pb_1,-0.010398506868971594
Pb_2,-0.014027510101697905
Pb_3,-0.010916533450025542
Pb_4,0.0006582903710324599
Pb_5,0.014760760309498737
Pb_6,0.031949560899731125
