,A,RpoS,hns,ihfB
R2,,0.08643266601156208,0.04599463633921197,0.008847168889757673
xmin,,-2.4793139040000005,-1.9979766210000007,-2.3858350260000005
xmid,,-0.15751890416857459,0.5199094223231676,0.3274643744564989
xmax,,3.139938211880993,2.380163549999999,1.6466498449999991
ystart,,-2.364303932569286,-0.048924689905859964,-0.2758871802969044
yend,,3.9893078144206937,-7.518105108219311,-3.1131756147405287
control__wt_glc__1,-0.3237817919160056,-0.049727751000000715,0.11716060999999912,0.08337238499999877
control__wt_glc__2,0.3237817919159972,0.049727751000000715,-0.11716061000000087,-0.08337238500000055
fur__wt_dpd__1,1.4935641921730352,1.6503265020000004,-0.21220296000000086,0.7158603249999995
fur__wt_dpd__2,1.5771635650920164,1.6437026919999995,-0.15081341000000134,0.8566654449999991
fur__wt_fe__1,0.0763242576800884,-0.2294725589999995,-0.56740864,-0.0769950650000002
fur__wt_fe__2,-0.194827964077069,-0.2717253760000009,-0.5750199200000008,-0.08671744500000145
fur__delfur_dpd__1,3.455010162086071,1.5271957219999999,0.02821881999999931,0.6898034449999989
fur__delfur_dpd__2,3.3382443143377536,1.2385445819999994,0.13773748999999924,0.621869414999999
fur__delfur_fe2__1,2.4689992473110838,0.6013075319999999,-0.3889403100000006,0.3658187149999996
fur__delfur_fe2__2,2.5932075280679703,0.6226109219999998,-0.41893693000000104,0.33581042499999825
acid__wt_ph5__1,1.3123624380194032,0.17730274899999898,-0.14121664000000145,0.2842574349999989
acid__wt_ph5__2,1.4006222456198616,0.18070148099999986,-0.1173053700000004,0.3016573449999989
acid__delgadx_ph5__2,1.8267755305763824,0.041918445000000304,0.03221591999999873,0.03620512499999862
acid__delgadw_ph5__1,1.933665231232425,0.13294699599999935,-0.05329887999999983,0.19517709499999825
acid__delgadw_ph5__2,1.557217546636654,0.028727889000000676,-0.07889036000000083,0.1831834249999993
acid__delgade_ph5__1,2.100582063407471,0.245873005,-0.15523974000000074,0.3321859449999991
acid__delgade_ph5__2,2.003801885107039,0.3536770219999994,-0.13083347999999972,0.2395609849999989
oxidative__wt_pq__1,1.858001576754125,2.4493267319999994,0.4866831099999995,0.9466146249999988
oxidative__wt_pq__2,2.2520786824450747,2.150239471999999,0.3823035299999997,0.948808184999999
oxidative__deloxyr_pq__1,0.3301015997469445,1.9186836320000005,0.5592633899999999,0.8749087249999992
oxidative__deloxyr_pq__2,0.4268462670411294,1.8757188320000004,0.6406210599999991,0.9672342149999996
oxidative__delsoxr_pq__1,3.093386897186536,2.1746498119999997,0.30159601999999985,1.0713253449999982
oxidative__delsoxr_pq__2,2.8584282832394887,2.132365622,0.248399899999999,1.1682316949999991
oxidative__delsoxs_pq__1,3.0331784726729114,2.4270615719999995,0.32007260999999865,1.1351437949999994
oxidative__delsoxs_pq__2,2.852332717650311,2.475274892,0.3146657899999994,1.020138574999999
nac_ntrc__wt_csn__1,-1.1348287430826662,1.849426562,-0.14105018000000058,0.17254414499999982
nac_ntrc__wt_csn__2,-1.104433296392887,1.8262455620000004,-0.20188571999999996,0.2130251749999985
nac_ntrc__wt_cytd__1,-0.1142672141478099,0.9658633820000002,0.01979153999999994,0.4575306549999994
nac_ntrc__wt_cytd__2,0.174597817746018,0.8995555819999996,0.16168657999999958,0.5979945149999981
nac_ntrc__wt_gln__1,-2.235647493895526,1.143877011999999,0.3798369399999988,1.0409726349999993
nac_ntrc__wt_gln__2,-2.22314195444598,1.201356272,0.4188996199999995,1.1155340849999984
nac_ntrc__bw_delnac_csn__1,-3.2998856397543483,2.1708239119999995,-0.7250022100000013,0.2154991849999988
nac_ntrc__bw_delnac_csn__2,-3.585408598507449,2.3634965119999998,-1.0669142899999997,-0.16648385500000096
