,coaE
Cr_1,-0.0014509755348477025
Cr_2,0.0002779918211247894
Cr_3,0.0017322198020138715
Cr_4,0.006005226472151332
Cr_5,0.009895741875555107
Cr_6,0.011784142198000787
Fe_1,-0.0023370769569257344
Fe_2,-0.011338637270082202
Fe_3,-0.01793675927244155
Fe_4,-0.018201725928956063
Fe_5,-0.012662393555772951
Fe_6,-0.010057749554616179
Cd_1,-0.0011503589558213552
Cd_2,-0.0010218874233428592
Cd_3,0.0010575286786340245
Cd_4,0.002344394259076561
Cd_5,0.0008340562796523918
Cd_6,0.0024273817368610307
Zn_1,-0.002907337621559887
Zn_2,-0.00011472714984722998
Zn_3,0.005638785052646348
Zn_4,0.015483292560068838
Zn_5,0.024984038965651125
Zn_6,0.03946939643355889
Cu_1,-0.0012542021653109852
Cu_2,0.0015827133703020936
Cu_3,-0.0004982557246375649
Cu_4,-9.894443428237603e-05
Cu_5,-0.005597651162448289
Cu_6,-0.004463536164592203
Pb_1,0.009110996864801492
Pb_2,0.02062148539335349
Pb_3,0.0384800156962884
Pb_4,0.04792259719028446
Pb_5,0.05853985922437431
Pb_6,0.06208339514996571
