,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,ALE__GalactoseA5,1.3236139150000001,0.13658197258119747,2.0,0.0,1.420191954,1.0,1.2270358760000004,,,,
1,ALE__GalactoseA6,0.10619168299999981,0.19978183883762118,2.0,2.0,-0.0350754100000001,3.0,0.2474587759999997,,,,
2,ALE__GalactoseA8,0.9411055455000001,0.06337850476387552,2.0,4.0,0.8962901749999999,5.0,0.9859209160000004,,,,
3,ALE__IL_Control,1.734723475976807e-18,0.1505979113310088,4.0,6.0,-0.1841929929999999,7.0,0.047072,8.0,0.1746153819999998,9.0,-0.0374943889999999
4,ALE__IL_TEOH_OAc,0.09325558349999996,1.0223074063679374,2.0,10.0,0.816136083,11.0,-0.629624916,,,,
5,ALE__IL_TEA_HS,-0.925199017,0.7831712334461425,2.0,12.0,-1.478984707,13.0,-0.3714133269999999,,,,
6,ALE__IL_Mixed,0.27161895749999987,0.09302085236635152,2.0,14.0,0.205843282,15.0,0.3373946329999997,,,,
7,ALE__IL_PP5350,0.051542041000000045,0.13350667326593607,2.0,16.0,-0.0428614330000001,17.0,0.1459455150000002,,,,
8,ALE__IL_T8,0.24764898549999992,0.40292858176512736,2.0,18.0,-0.0372645469999999,19.0,0.5325625179999998,,,,
9,ALE__IL_T9,-0.26171888150000006,0.404042747292826,2.0,20.0,-0.5474202479999999,21.0,0.0239824849999998,,,,
10,ALE__IL_Control2,0.11959669250000007,0.5758697587607676,2.0,22.0,0.526798104,23.0,-0.2876047189999999,,,,
11,ALE__IL_Glc+Ace,0.6000565769999997,0.1423501240238354,2.0,24.0,0.4993998389999996,25.0,0.7007133149999998,,,,
12,ALE__XyloseA1,1.4322151334999997,0.3122003513098252,2.0,26.0,1.6529741189999996,27.0,1.211456148,,,,
13,ALE__XyloseA2,1.7545993225000003,0.10662665173919311,2.0,28.0,1.829995751,29.0,1.6792028940000003,,,,
14,ALE__XyloseA3,1.2707389035000003,0.3746083612089103,2.0,30.0,1.5356270160000005,31.0,1.0058507910000003,,,,
15,ALE__XyloseA4,1.260788143,0.2951824626115901,2.0,32.0,1.0520626220000002,33.0,1.469513664,,,,
16,Aromatic__Coumarate,0.3498841353333333,0.7308199797995276,3.0,34.0,0.8405916439999999,35.0,-0.4900303379999999,36.0,0.6990911,,
17,Aromatic__Coumarate+ferulate,1.2667644176666664,0.39979396016296737,3.0,37.0,1.1462628479999997,38.0,0.9410816079999996,39.0,1.7129487969999997,,
