,ypfJ
Cr_1,0.0011215177548350946
Cr_2,0.0035353960549695017
Cr_3,0.0044174661359637065
Cr_4,0.007860771918067264
Cr_5,0.011361449191521102
Cr_6,0.011362280092713185
Fe_1,-0.01119653320490518
Fe_2,-0.03954089524268824
Fe_3,-0.07265984673312814
Fe_4,-0.10820264069791796
Fe_5,-0.1330587165840947
Fe_6,-0.1495380197362803
Cd_1,0.0039966482262671155
Cd_2,0.011743937040354334
Cd_3,0.02234979938248648
Cd_4,0.035137707000442636
Cd_5,0.04750671920019276
Cd_6,0.0676390440117274
Zn_1,0.0004712015467379116
Zn_2,0.0072357045737152575
Zn_3,0.02824326205176968
Zn_4,0.05128759087469703
Zn_5,0.06856489514107421
Zn_6,0.0815341736115092
Cu_1,0.002273491611835045
Cu_2,0.003495220264256545
Cu_3,0.004193782347712136
Cu_4,0.0053538376438365285
Cu_5,0.009025487050125944
Cu_6,0.01798810502376126
Pb_1,0.0058085731235797185
Pb_2,0.011373724214691369
Pb_3,0.02267644375672661
Pb_4,0.029984595593301782
Pb_5,0.03891781023307762
Pb_6,0.049440491595511823
