,A,CpxR
R2,,0.08182315253617334
xmin,,-8.11516967
xmid,,-3.498885279690013
xmax,,1.489093841
ystart,,-4.732142567464998
yend,,4.166692915601272
control__wt_glc__1,0.2414285038,-0.016455943
control__wt_glc__2,-0.2414285038,0.016455943
fur__wt_dpd__1,-0.553286272,0.48361660700000003
fur__wt_dpd__2,-0.8273407012,0.481963148
fur__wt_fe__1,-1.514459933,-0.34823233600000003
fur__wt_fe__2,-1.3071366438,-0.46786989100000004
fur__delfur_dpd__1,-0.9352537357,0.46443511400000004
fur__delfur_dpd__2,-0.5949777775,0.45899736500000005
fur__delfur_fe2__1,-0.8474834934000001,-0.205701605
fur__delfur_fe2__2,-1.100240116,-0.16910454
acid__wt_ph5__1,-4.3710829049,-0.122076266
acid__wt_ph5__2,-4.3609597708,-0.09064453500000001
acid__delgadx_ph5__2,-3.7521510786,-0.035502778000000006
acid__delgadw_ph5__1,-3.8405292955,-0.10232901400000001
acid__delgadw_ph5__2,-4.1722842025,0.016478089
acid__delgade_ph5__1,-4.5023008863000005,0.003416019
acid__delgade_ph5__2,-4.2643843358,-0.023407665
oxidative__wt_pq__1,-0.9604998207000001,0.161531063
oxidative__wt_pq__2,-0.9126719537,0.244877788
oxidative__deloxyr_pq__1,-2.7841410344,-0.10101905500000001
oxidative__deloxyr_pq__2,-2.5799585312,-0.118285491
oxidative__delsoxr_pq__1,-0.5540166139,0.130968896
oxidative__delsoxr_pq__2,-0.6965760412,0.16416381700000002
oxidative__delsoxs_pq__1,-0.9751313535,0.5578435850000001
oxidative__delsoxs_pq__2,-0.9942731075000001,0.587865716
nac_ntrc__wt_csn__1,2.2074235773,0.479075976
nac_ntrc__wt_csn__2,2.5475983685,0.43220153
nac_ntrc__wt_cytd__1,2.2850499233,0.207309178
nac_ntrc__wt_cytd__2,2.2623900991,0.157351611
nac_ntrc__wt_gln__1,3.6369473833,0.661718113
nac_ntrc__wt_gln__2,3.733656792,0.5436341450000001
nac_ntrc__bw_delnac_csn__1,0.1620526601,0.731233737
nac_ntrc__bw_delnac_csn__2,0.9919527825000001,0.89835275
nac_ntrc__bw_delnac_cytd__1,0.7206077719,0.36012009300000003
nac_ntrc__bw_delnac_cytd__2,0.6396719070000001,0.28217445
nac_ntrc__bw_delnac_gln__1,0.6517688585,0.37726644600000003
nac_ntrc__bw_delnac_gln__2,0.9579334003000001,0.443128212
nac_ntrc__bw_delnac_nh4__1,-1.4252825168,-0.045097728000000004
nac_ntrc__bw_delnac_nh4__2,-1.0472610402,-0.047231382
misc__wt_no_te__1,-0.6012746250000001,0.265605576
misc__wt_no_te__2,-1.1500181772,0.21461374500000002
misc__bw_delcbl__1,-1.1064097422999999,-0.36555257100000005
misc__bw_delcbl__2,-1.2774009777,-0.290672036
misc__bw_delfabr__1,-1.8670344543000001,-0.49350523100000004
misc__bw_delfabr__2,-2.1137610317,-0.40606392900000005
misc__bw_delfadr__1,-1.2129671916,-0.131238931
misc__bw_delfadr__2,-0.6813573076,-0.088533862
misc__nitr_031__1,-1.1872366753,0.561196726
omics__wt_glu__1,-1.0788457662,1.100875522
omics__wt_glu__2,-0.9325579173,1.237183526
omics__wt_gly__1,-0.3949380044,0.832935233
omics__wt_gly__2,-0.5577715774,0.864445447
omics__wt_thr__1,-0.044532427,1.441400653
omics__wt_thr__2,-0.0042842339,1.424536454
omics__bw_ac__1,3.7717063782,0.281755229
omics__bw_ac__2,3.3107072361,0.188715756
omics__bw_fum__1,3.6516608192,-0.18006717500000002
omics__bw_fum__2,3.720387189,-0.031336151
omics__bw_glc__1,1.3453420731,-0.059620317000000006
omics__bw_glc__2,1.3621852716,-0.051596002
omics__bw_pyr__1,4.0289094908,0.063542728
omics__bw_pyr__2,3.6568977809,0.031548838
ompr__wt_nacl__1,1.9975230586000001,0.470277959
ompr__wt_nacl__2,1.7100822159,0.595664834
ompr__bw_delompr_nacl__1,9.763519551,0.25057528500000004
ompr__bw_delompr_nacl__2,9.8581279878,0.31728971
minspan__wt_ade__1,0.013527452,-0.303016885
minspan__wt_glc__2,-0.6752868338,-0.366281515
minspan__wt_glc__3,-1.5560939231000002,-0.39905693600000003
minspan__wt_glc__4,-1.0947093239,-0.197432551
minspan__wt_glc_anaero__1,-6.2959445774,-0.519723361
minspan__wt_glc_anaero__2,-7.5701100379,-0.123981032
minspan__wt_trp__1,-0.9041560815,-0.21628477200000001
minspan__bw_delcra_glc__2,0.4366840408,-0.0010492020000000002
minspan__bw_delcra_trp__1,-0.0613123807,-0.351655979
minspan__bw_delmntr__1,-0.9365365641000001,-0.233844026
minspan__bw_delnac_ade__1,-1.3246780691,-0.83793286
minspan__bw_delnac_glc__1,-2.1042357138,-0.5596798390000001
cra_crp__wt_ac__1,1.2409423336,0.914020224
cra_crp__wt_ac__2,1.1654832236,0.888485166
cra_crp__wt_fru__1,1.590555223,1.134151356
cra_crp__wt_fru__2,1.6797287778,1.082567691
cra_crp__delcra_ac__1,0.7222188067,0.26330238300000003
cra_crp__delcra_ac__2,0.8443454229,0.19419856400000002
cra_crp__delcra_fru__1,-3.0526296505,0.105368764
cra_crp__delcra_fru__2,-3.1850272988,0.084918884
cra_crp__delcra_glc__1,-0.2741468812,-0.20316713600000003
cra_crp__delcra_glc__2,-0.0816086884,0.001045006
rpoB__wt_031__1,-0.3112740244,-0.08811020700000001
rpoB__wt_044__1,-0.6354695303,0.180257883
