,-0.05498015295291327,-0.01832671765097109,0.01832671765097109,0.05498015295291327,0.09163358825485544,0.1282870235567976,0.1649404588587398,0.20159389416068196,0.23824732946262417,0.2749007647645664,0.3115542000665085,0.3482076353684507,0.3848610706703929,0.4215145059723351,0.4581679412742772,0.4948213765762194,0.5314748118781616,0.5681282471801038,0.604781682482046,0.6414351177839881
thresh,-0.07330687060388436,0.07330687060388436,5,,,,,,,,,,,,,,,,,
unreg,7,2182,2040,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TyrR,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
TrpR,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TyrR and TrpR,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TrpR and Trp-tRNA,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],['yfiL'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
TyrR_genes,[],['folA' 'aroG'],['tyrR'],[],['tyrB'],['tyrP'],['aroP'],[],[],[],[],[],[],['tyrA'],[],['aroF'],[],[],[],[]
TrpR_genes,[],[],['trpR'],[],['aroH'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
TyrR and TrpR_genes,[],['mtr'],[],['aroM'],['yaiA'],[],['aroL'],[],[],[],[],[],[],[],[],[],[],[],[],[]
TrpR and Trp-tRNA_genes,[],[],[],['trpA' 'trpB'],['trpC'],['trpD' 'trpE'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
