,A,TrpR,TyrR
R2,,0.07701652241868906,0.02108697217353339
xmin,,-3.923043916000001,-1.2883983204999998
xmid,,,-0.11636557946806539
xmax,,1.8097562590000005,1.3603575015000011
ystart,,-6.3789355669363434,-1.408350886329665
yend,,0.18298648473549317,-3.3077647715082805
control__wt_glc__1,-0.1407414721061164,0.04018166700000059,-0.013665821500000064
control__wt_glc__2,0.1407414721061267,-0.0401816669999997,0.013665821500000064
fur__wt_dpd__1,-8.70379222494332,0.4186524579999995,0.23727057150000075
fur__wt_dpd__2,-9.150916132294864,0.2601825729999998,0.21446182950000026
fur__wt_fe__1,0.1038292965712337,0.21086929600000026,-0.20940551449999933
fur__wt_fe__2,0.3821187330953482,0.28591308899999923,-0.14015208250000022
fur__delfur_dpd__1,-7.354849507133517,0.07536453500000029,0.4641555805000008
fur__delfur_dpd__2,-7.619718750329272,-0.25588145399999984,0.3560445855000021
fur__delfur_fe2__1,-0.6241825826206779,0.25737557199999994,-0.0046515384999992184
fur__delfur_fe2__2,-0.8663986900639302,0.34672165799999893,0.11153709350000084
acid__wt_ph5__1,-0.9041507294300548,0.6395926960000002,0.4554529724999998
acid__wt_ph5__2,-0.8725028938473295,0.623850215,0.43296762750000095
acid__delgadx_ph5__2,-1.1159308780358348,0.3278787020000005,0.25970277750000026
acid__delgadw_ph5__1,-1.057449365759805,0.4845188130000002,0.2580061515000009
acid__delgadw_ph5__2,-1.0663508661952583,0.4555754990000001,0.33974429150000063
acid__delgade_ph5__1,-0.787665116821499,0.649959591,0.4265847374999998
acid__delgade_ph5__2,-0.6610468775614649,0.5456525529999992,0.5591984375000001
oxidative__wt_pq__1,-4.204955848905074,-0.048299025000000384,0.5790745905000003
oxidative__wt_pq__2,-4.134019802553798,0.0596897779999992,0.7776006915000009
oxidative__deloxyr_pq__1,-1.610982394673747,0.18756160399999988,0.5373671085000007
oxidative__deloxyr_pq__2,-1.665819097513693,0.220839904,0.5716996565000008
oxidative__delsoxr_pq__1,-7.255819955051895,-0.22463060000000026,0.5703988655000005
oxidative__delsoxr_pq__2,-6.873011988742007,-0.2255735329999995,0.5850806584999999
oxidative__delsoxs_pq__1,-6.86365836848239,0.03147592599999971,0.8316336805000004
oxidative__delsoxs_pq__2,-6.638126205086854,0.0135427779999997,0.8802041045000006
nac_ntrc__wt_csn__1,-3.627586357656032,0.15462838599999973,0.29177646950000025
nac_ntrc__wt_csn__2,-3.3191200506429923,0.07094665099999986,0.4686771755000008
nac_ntrc__wt_cytd__1,-2.96867043989472,-0.01412052399999997,0.2436163875000004
nac_ntrc__wt_cytd__2,-2.764791186140166,-0.031893141000000284,0.23308858850000025
nac_ntrc__wt_gln__1,-4.095011630632063,0.01525735200000078,0.456644455500002
nac_ntrc__wt_gln__2,-4.231568615064639,-0.01032018999999984,0.5161178025000002
nac_ntrc__bw_delnac_csn__1,-3.829751468116081,0.9102398349999996,0.6919031155000006
nac_ntrc__bw_delnac_csn__2,-3.229537018537469,1.1826665279999995,1.0115252545000004
nac_ntrc__bw_delnac_cytd__1,-1.004755545963597,0.8114553760000014,0.5691446395000002
nac_ntrc__bw_delnac_cytd__2,-0.937692579506988,0.5854863589999999,0.5082102665000008
nac_ntrc__bw_delnac_gln__1,-2.671461840675712,0.938030112999999,0.6617300285000001
nac_ntrc__bw_delnac_gln__2,-2.8541794930523423,0.7007338629999991,0.6677304074999997
nac_ntrc__bw_delnac_nh4__1,0.5846868497461982,0.4680088870000008,0.2358795674999996
nac_ntrc__bw_delnac_nh4__2,0.552512566204673,0.3862446329999996,0.181141075500002
misc__wt_no_te__1,1.95206902683082,0.330977517,0.5086060325000004
misc__wt_no_te__2,-0.2733346527694531,0.379581644,0.3377065705000009
misc__bw_delcbl__1,0.6095424825221714,0.11692167600000135,0.09990838450000084
misc__bw_delcbl__2,0.8588092848461922,0.09532101499999968,0.2122382595000003
misc__bw_delfabr__1,1.3219297763359927,-0.12090830700000055,0.031455794500000245
misc__bw_delfabr__2,1.238721742267166,0.17050634499999973,0.05077845150000115
misc__bw_delfadr__1,-0.4723502916457066,0.16322244799999908,0.17798886749999987
misc__bw_delfadr__2,-0.6250707646794074,0.2441235910000001,0.08358655750000032
misc__nitr_031__1,-2.3667622164053803,0.5185735199999995,0.5321509425000004
omics__wt_glu__1,-0.8848128027192798,0.8306185829999997,-0.5881515764999996
omics__wt_glu__2,-0.7115907947699717,0.8620644999999998,-0.43629776849999935
omics__wt_gly__1,-1.2598272459086772,0.6565386639999984,-0.2774754694999997
omics__wt_gly__2,-1.2998612923791502,0.5786303329999996,-0.4093984275000002
omics__wt_thr__1,-7.099330117644894,-0.5631675200000004,0.1991198035000004
omics__wt_thr__2,-6.860280023046313,-0.3619780560000008,0.19152421250000007
omics__bw_ac__1,-1.1985317796945194,0.7532736679999985,0.18051671250000026
omics__bw_ac__2,-1.647284407334347,0.7515060089999999,0.03495694250000092
omics__bw_fum__1,-4.338245321065757,1.3310060450000014,-0.07144487449999913
omics__bw_fum__2,-4.150555629195227,1.3866446450000005,-0.2446832954999998
omics__bw_glc__1,-2.276678443820652,1.0980821239999985,0.010811687500000387
omics__bw_glc__2,-2.2031576591130464,1.0635192829999998,-0.0379566174999999
omics__bw_pyr__1,-0.8211439697999436,1.0091839620000007,0.06205434050000048
omics__bw_pyr__2,-1.0574471495036035,0.6972835720000008,-0.1918728054999992
ompr__wt_nacl__1,-7.426016285416917,-0.19530594899999976,0.5277852155000007
ompr__wt_nacl__2,-7.521914159383994,-0.13809825000000053,0.6226296115000007
ompr__bw_delompr_nacl__1,-2.131134419412204,-0.07991114700000068,0.22332366749999988
ompr__bw_delompr_nacl__2,-2.0248856358421508,0.1732727409999999,0.2693933335000009
minspan__wt_ade__1,0.613430335783929,0.7841549879999992,0.2342726965000006
minspan__wt_glc__2,-1.466305293131949,-0.023178158999998644,0.026052773500000903
minspan__wt_glc__3,-1.0564169532962535,0.05521022200000037,0.007418127500000259
minspan__wt_glc__4,-1.5670513451833292,0.3741740199999999,0.06828514050000045
minspan__wt_glc_anaero__1,-0.5873693159777403,0.621318027,0.4543060855000007
minspan__wt_glc_anaero__2,-0.5959589850322149,0.5713419550000003,0.5469077525000001
minspan__wt_trp__1,-7.0279571055357,-0.4918706979999996,0.632380835500002
minspan__bw_delcra_glc__2,-1.9815917655254105,0.3749131779999989,0.9042222795000008
minspan__bw_delcra_trp__1,-4.872036018888719,-0.7743487520000008,0.7950444155000005
minspan__bw_delmntr__1,-3.836501957839614,0.524242461,0.9494814434999991
minspan__bw_delnac_ade__1,0.0840018417885285,0.6145846279999985,0.2003963355000007
minspan__bw_delnac_glc__1,-1.3622938482884734,0.13161796299999914,0.009272549500000338
cra_crp__wt_ac__1,-1.0790001315540934,1.1685861109999998,-0.5438430824999996
cra_crp__wt_ac__2,-1.2585908099541434,0.8223115009999997,-0.5030586474999996
cra_crp__wt_fru__1,-2.878459686146836,0.4584982799999997,-0.5530930915000001
cra_crp__wt_fru__2,-3.048468731522055,0.7743864309999999,-0.4252242664999999
cra_crp__delcra_ac__1,6.290660679477004,1.0295176220000002,0.4851165505000008
cra_crp__delcra_ac__2,5.900501119793856,0.9805610849999996,0.5274774674999998
cra_crp__delcra_fru__1,-2.2227923620505976,0.30607363399999965,0.4656201075000004
cra_crp__delcra_fru__2,-2.5402630474788643,0.405305372,0.4390404255000009
cra_crp__delcra_glc__1,-0.7048249378495008,0.19223667899999966,0.21052173450000036
cra_crp__delcra_glc__2,-0.497004829357079,0.2830089449999997,0.2801752655000005
rpoB__wt_031__1,-2.9425548816656377,0.14145131700000044,0.18084910249999986
rpoB__wt_044__1,-1.3685032040931993,0.20540448599999994,0.2325263074999997
rpoB__wt_lb__1,-7.709114164783035,0.8135774399999995,0.09866591050000206
rpoB__wt_lb__2,-7.130607009324516,0.5075590299999995,0.1453555065000014
rpoB__rpoBE546V_031__1,-2.7736485140551577,0.2794554549999999,0.3645278945000001
rpoB__rpoBE546V_044__1,-2.661639214740044,0.25745283899999993,0.4658118565000011
rpoB__rpoBE546V_lb__1,-6.829691839510608,-0.7152180289999999,0.3965465445000005
rpoB__rpoBE546V_lb__2,-7.896236659950585,-0.9940994879999998,0.4440201695000008
rpoB__rpoBE546V_glc__1,-0.1524296059350307,0.6943702060000003,0.055321030500000916
rpoB__rpoBE672K_glc__1,1.343497927753134,-0.8790320029999998,-0.13450243549999907
rpoB__rpoBE672K_glc__2,1.450707853114624,-0.5580940110000006,-0.2710284834999994
rpoB__rpoBE672K_lb__1,-6.344897729621717,0.21103852999999967,-0.1648632534999992
rpoB__rpoBE672K_lb__2,-5.435556853439935,0.5113404150000003,-0.1839164225000003
crp__wt_fru__1,-1.3084755099467076,0.1021209350000003,-0.17981884849999918
crp__wt_glyc__1,-2.5230246432695083,0.2781015550000001,-0.2347526225000003
crp__wt_glyc__2,-2.323392578157238,0.3365716929999998,-0.3581313325000002
crp__delar1_glyc__1,-0.3352006478325854,0.5096061929999998,0.7314217165000008
crp__delar1_glyc__2,3.0193831666522835,0.9918398479999996,0.9071223965
crp__delar1ar2_glyc__1,-2.093972881325581,0.3653315810000004,0.13265089350000014
crp__delar1ar2_glyc__2,-2.244713728348748,0.2868663420000006,0.2463388705000007
crp__delar1ar2_glyc__3,-2.071736010910889,0.4281935620000006,0.2303422045000003
crp__delar2_glyc__1,-0.1033613920225363,0.8470459319999994,0.4853504785000009
crp__delar2_glyc__2,-2.596070649773529,0.5027259129999989,0.3927659974999997
crp__delar2_glyc__3,-3.400396534745845,0.7167047370000006,0.3948630155000004
crp__delcrp_fru__1,-2.911917348675301,0.5525943699999996,0.6162616575
crp__delcrp_fru__2,-3.397407477601301,0.3410820910000014,0.6096158695000007
crp__delcrp_fru__3,-3.450235815711425,0.4721471399999997,0.6696930565000008
crp__delcrp_glc__1,-3.865892724004549,0.902756375,0.6159912395000005
crp__delcrp_glc__2,-3.858353863044648,0.8075587749999995,0.576988430500001
crp__delcrp_glc__3,-4.114976816554221,0.9948383759999996,0.643364655500001
crp__delcrp_glyc__1,-4.353493791680785,0.2510514549999998,0.521622530500002
crp__delcrp_glyc__2,-4.981166308588871,0.3517849550000003,0.5136604235000002
crp__delcrp_glyc__3,-4.476951039059637,0.39044955299999984,0.5493486975000001
glu__glu_ale3__1,-3.670006046663167,0.3479438370000008,0.9842932275000004
glu__glu_ale4__1,0.918901198279677,-0.009800775000000428,0.07203060650000115
glu__glu_ale5__1,0.5921522381469279,-0.34755388600000003,-0.2066171584999994
glu__glu_ale6__1,2.415944552664671,-0.030958888999999882,-0.28272351549999986
glu__glu_ale8__1,-7.134712893532006,-0.03453315799999945,1.1711866145000007
glu__glu_ale9__1,-1.8828234703740088,0.5123952889999996,0.6189531415000014
glu__glu_ale10__1,-2.9205071368014317,-0.08773602499999987,0.8068898215000013
42c__wt_42c__1,-0.3319052032057676,0.1271399079999993,0.35144444850000056
42c__42c_ale1__1,-5.810950266002049,0.2548774250000001,0.6629417284999999
42c__42c_ale2__1,-0.2730189512182265,0.033343237000000414,-0.06906968949999914
42c__42c_ale3__1,0.4296635394000658,0.9827755099999996,0.31020838050000066
42c__42c_ale4__1,-4.001401904011395,0.31006008299999976,0.498304515500001
42c__42c_ale5__1,-0.5206927605576744,0.3501768910000003,-0.09100902549999912
42c__42c_ale6__1,-5.716833398785928,0.9834729620000005,1.0296959145000004
42c__42c_ale8__1,-5.814089391131837,1.0547049460000002,0.797411385500002
42c__42c_ale9__1,2.419455553491414,0.581463662,0.04047715650000061
42c__42c_ale10__1,-7.337940108730399,0.6869022829999984,0.8240788465000009
ssw__wt_ac__1,-3.4450575894081314,0.8188512689999996,-0.0022315104999979236
ssw__wt_glc__1,-0.98881147188269,-0.15686804999999993,0.01813806450000044
ssw__wt_glyc__1,-8.036409275594075,0.11106542000000008,0.6275589565000006
ssw__wt_xyl__1,-4.935920482544276,0.16853139600000144,0.5066825474999996
ssw__glc_ale1__1,-2.4929471250419954,0.8542870520000001,0.07746391550000098
ssw__glc_ale2__1,-1.973754354738957,0.9655243779999996,0.6450221374999998
ssw__glc_ale3__1,0.3269779509791528,0.622040696,0.7567198115000009
ssw__glyc_ale1__1,-1.820614560534085,0.5991192849999996,0.3241866945000007
ssw__glyc_ale2__1,1.0008977132602537,0.8035335839999984,0.7786523445000002
ssw__xyl_ale1__1,-6.51724427670216,1.0580932539999983,-0.4188049904999991
ssw__xyl_ale2__1,-5.926852452711887,0.8387780670000007,-0.07539279750000016
ssw__xyl_ale3__1,-3.6725376075793865,0.5234539299999996,-0.22573140749999965
ssw__glc_ac_ac2__1,-0.7007759875521917,0.29398531600000144,0.31427308650000096
ssw__glc_ac_glc1__1,-2.760034136969091,1.062768439,-0.5662200234999988
ssw__glc_glyc_glc__1,-3.047571176366007,0.5266424660000002,0.2612560965000013
ssw__glc_glyc_glyc__1,-4.695873821944968,0.02627126200000074,-0.16487367449999898
ssw__glc_xyl_glc__1,-1.3998806606634813,0.8481203970000006,-0.4493011674999998
ssw__glc_xyl_xyl__1,-2.5978418682865976,0.21941361000000012,-0.4403320664999999
ica__wt_glc__1,1.0654778251136705,-0.39083522899999856,-0.3805099344999992
ica__wt_glc__2,1.213538487682161,-0.4605048189999996,-0.3395163304999995
ica__wt_glc__3,-0.5367718123211038,0.4464628450000001,0.04486501850000035
ica__wt_glc__4,-1.5908830051807512,0.1622702070000006,-0.0882858854999995
ica__arg_sbt__1,-8.1774553116549,-0.10758840100000013,0.04429284150000079
ica__arg_sbt__2,-6.9239788644975695,-0.1404280379999996,-0.13732793149999978
ica__cytd_rib__1,-4.501106525498631,0.9100111360000014,0.15591161850000024
ica__cytd_rib__2,-4.643303512366682,0.8531848470000005,0.21477457950000026
ica__gth__1,-6.884030861652937,0.058122867999999,0.4174664725000001
ica__gth__2,-6.711823043194882,0.08807500400000022,0.5693265205000007
ica__leu_glcr__1,-6.078833815480127,-0.7013754240000001,-0.09906388549999967
ica__leu_glcr__2,-6.395754283944663,-0.7494354520000002,-0.16663034049999936
ica__met_glc__1,1.0544148755698064,-0.044384877999999794,-0.2602991414999991
