,fsr
Cr_1,-0.0021553393099324847
Cr_2,0.002603054847174344
Cr_3,0.002899225637839659
Cr_4,0.011295054427051109
Cr_5,0.017879638158302718
Cr_6,0.02165274054276616
Fe_1,-0.01068090477993666
Fe_2,-0.0076463187771007015
Fe_3,0.03260768719299065
Fe_4,0.06923438623726601
Fe_5,0.10111577036854942
Fe_6,0.1438544184266481
Cd_1,-0.006594689405442274
Cd_2,-0.005015566437056115
Cd_3,-0.0017083761840656338
Cd_4,0.000427135552108688
Cd_5,-0.0032367355323730355
Cd_6,0.0006466302841977222
Zn_1,-0.004120234815329435
Zn_2,-0.004071063338856127
Zn_3,0.0008100049279029062
Zn_4,0.007897931847299946
Zn_5,0.009682098652767998
Zn_6,0.010344628450998598
Cu_1,0.018480765983309437
Cu_2,0.07876131362483525
Cu_3,0.1550644018341885
Cu_4,0.19659202007019688
Cu_5,0.22423549613479346
Cu_6,0.2759870743887444
Pb_1,0.002637558936599817
Pb_2,0.012055036366289145
Pb_3,0.03627407100166218
Pb_4,0.04896834030786373
Pb_5,0.05136548926662094
Pb_6,0.0672610853398257
