,ytjB
Cr_1,-0.005015564760747045
Cr_2,-0.010960695207448669
Cr_3,-0.021293912528742805
Cr_4,-0.035792826097954915
Cr_5,-0.052759550828390886
Cr_6,-0.07098255097499268
Fe_1,-0.013662330723802156
Fe_2,-0.02604926803492874
Fe_3,-0.03644284779663208
Fe_4,-0.03808811066700343
Fe_5,-0.03952697042606607
Fe_6,-0.03704025030928405
Cd_1,-0.001854187469195665
Cd_2,-0.003700808669812572
Cd_3,-0.0043238778962692926
Cd_4,-0.004314338450637347
Cd_5,-0.008150993242726976
Cd_6,-0.005596543464673696
Zn_1,0.003324265887244905
Zn_2,0.014811384589941969
Zn_3,0.04674792089887786
Zn_4,0.07525187833378759
Zn_5,0.10073110265207302
Zn_6,0.12725703761078852
Cu_1,0.002446061807644381
Cu_2,0.008215954640003924
Cu_3,0.016910643192668655
Cu_4,0.025234059936353675
Cu_5,0.03702992104554292
Cu_6,0.047797857324319376
Pb_1,0.009247121867333315
Pb_2,0.010878751388907176
Pb_3,0.019134305342459232
Pb_4,0.021628763093788347
Pb_5,0.0335474948915386
Pb_6,0.04604036737779322
