,yjfQ
Cr_1,-0.0013750705634655688
Cr_2,-0.005410923999245886
Cr_3,0.004810101995580057
Cr_4,0.008011025159132483
Cr_5,0.0139797932783739
Cr_6,0.01881710248028473
Fe_1,-0.036698316232298085
Fe_2,-0.06431876530452475
Fe_3,-0.07681609111091138
Fe_4,-0.07988425032678713
Fe_5,-0.06691763441825288
Fe_6,-0.042686165703975806
Cd_1,0.006665698815331589
Cd_2,0.014493431399045615
Cd_3,0.024151709337029884
Cd_4,0.030883556660271382
Cd_5,0.03707783250774585
Cd_6,0.04877057162714277
Zn_1,0.0014959943514032158
Zn_2,-0.026820800120569463
Zn_3,0.01933930145615231
Zn_4,0.1897228934183064
Zn_5,0.08190044275955095
Zn_6,0.5874715766125821
Cu_1,-0.002241684999624452
Cu_2,-0.00088807219175758
Cu_3,0.0025257679228449822
Cu_4,0.003350303528496924
Cu_5,0.0032975829641533724
Cu_6,0.002557235758888597
Pb_1,-0.00043158788292661565
Pb_2,0.007486338307461485
Pb_3,0.017293283755668076
Pb_4,0.020951263834652952
Pb_5,0.028663442210494744
Pb_6,0.032563768218653415
