,A,VicR
R2,,0.07415828478342068
xmin,,-1.4467058596
xmid,,0.2669351312798517
xmax,,0.8263052696000001
ystart,,2.805274412448812
yend,,15.857285366960586
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,0.0973466716,0.0653572056
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,0.8011870026,-0.0636945238
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,-0.8985336742000001,-0.0016626819000000001
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,21.8122481737,-0.8632282859
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,21.8405880622,-0.7794394965
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,17.3589275761,-0.0331816526
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,21.7110561267,-1.4467058596
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,21.7887096064,-1.3878264981
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,22.8286749379,-1.2423831954
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,0.9803637171,0.2312661098
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,2.0086747848,-0.2236833746
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-2.0001332474,-0.0706885646
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,2.5962188579000003,-0.028773229900000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,0.302347158,-0.1424849781
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-2.0450549005,0.007094399600000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,0.4769233812,0.0310589213
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-1.0069832013,-0.3129312299
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-3.8896724504,-0.18021163880000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,4.0750218465,0.256696894
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,3.4242618652,0.2239549237
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,0.18791974050000002,-0.4119851137
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,-0.8758514046,0.0206458401
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,-1.6155973343999999,0.0143716634
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,-0.3254247819,0.1156728451
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,1.0895957686,0.0712518935
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,-0.9425087159000001,0.11596391810000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,0.8168092514,0.1466808014
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,0.0471626797,0.1133613161
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-1.5831292587,0.0378026913
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,-1.7209437557,-0.0150640879
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,-0.2318254582,-0.0971144293
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,4.6309748882,-0.2128665919
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,4.2778106039,-0.5403602639
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,3.466489717,-0.2991602541
