,ycgM
Cr_1,0.0007459528367654066
Cr_2,0.004348707359593167
Cr_3,0.0067751936187573645
Cr_4,0.011163239453796759
Cr_5,0.0153061512077163
Cr_6,0.01823702897594207
Fe_1,-0.009105501156748946
Fe_2,-0.032459633979224405
Fe_3,-0.05653267855148321
Fe_4,-0.08494428507236765
Fe_5,-0.10846257281039902
Fe_6,-0.12494204913038558
Cd_1,0.0013747888368930874
Cd_2,0.004588806426128796
Cd_3,0.004870681175542693
Cd_4,0.008649855087457397
Cd_5,0.006407354780026318
Cd_6,0.01212841090797952
Zn_1,-0.0030655049043911017
Zn_2,-0.004700821270684297
Zn_3,-0.0009797432905920118
Zn_4,0.012148343778543293
Zn_5,0.0231025684523885
Zn_6,0.03683456636752084
Cu_1,0.0029074474881740802
Cu_2,0.003439440022887124
Cu_3,0.0047831253942004215
Cu_4,0.007543529484880468
Cu_5,0.010925525811808813
Cu_6,0.017677706817210863
Pb_1,0.009416804866932908
Pb_2,0.01975710864622957
Pb_3,0.0297521159147173
Pb_4,0.042497062774010365
Pb_5,0.055676703906947886
Pb_6,0.06557025438242277
