,xapA
Cr_1,0.01080691518490085
Cr_2,0.021123647466200185
Cr_3,0.034808271293993415
Cr_4,0.043427727707789666
Cr_5,0.05266960380225863
Cr_6,0.056608118265197516
Fe_1,-0.0025866074184027906
Fe_2,-0.007692452960419619
Fe_3,-0.015111686368509337
Fe_4,-0.025862584299336182
Fe_5,-0.02750190034358717
Fe_6,-0.029416371676235318
Cd_1,0.003579267595838239
Cd_2,0.009233950375873979
Cd_3,0.013591429442743913
Cd_4,0.01881124067161911
Cd_5,0.0161450953078285
Cd_6,0.01660747343296205
Zn_1,-0.006744608169847535
Zn_2,-0.012946234879422432
Zn_3,-0.009580437215078556
Zn_4,-0.004692786363084346
Zn_5,-0.0057853498614798314
Zn_6,-0.010746414644301393
Cu_1,0.007102501933981226
Cu_2,0.013208484774088326
Cu_3,0.02136719070012053
Cu_4,0.019911855091779944
Cu_5,0.021375181375754133
Cu_6,0.025955717004663467
Pb_1,-0.00797109717528927
Pb_2,-0.012783438346128485
Pb_3,-0.01167547155079315
Pb_4,-0.012440044093315278
Pb_5,-0.005474572840003237
Pb_6,0.0071264185655132185
