,aroK
Cr_1,-0.005233519775309174
Cr_2,-0.0034258580541777343
Cr_3,0.0018904913146005546
Cr_4,0.011339725504107095
Cr_5,0.01449966510405407
Cr_6,0.019839354497232974
Fe_1,-0.00802869999922098
Fe_2,-0.01775374489861057
Fe_3,-0.03206107452797168
Fe_4,-0.05260125683423614
Fe_5,-0.06392452966413541
Fe_6,-0.07311485000183646
Cd_1,-8.450827432568532e-05
Cd_2,0.0015670975821803436
Cd_3,-0.0014288316258321645
Cd_4,0.006884794118156592
Cd_5,0.01845634338063377
Cd_6,0.020398805874479342
Zn_1,-0.0009688151778303775
Zn_2,0.004978675639095888
Zn_3,0.012155764308468129
Zn_4,0.011746499909575128
Zn_5,0.011441622033346687
Zn_6,0.012083977100254314
Cu_1,0.002537661765888207
Cu_2,0.00935029265879778
Cu_3,0.011362985794743673
Cu_4,0.001740450859478842
Cu_5,0.006724862907859071
Cu_6,0.012543926409235236
Pb_1,0.00033925062230586003
Pb_2,0.005866898421277771
Pb_3,0.006780560319064915
Pb_4,0.011585600707989809
Pb_5,0.017257330670392822
Pb_6,0.02775175991842029
