,A,Crp
R2,,0.1953689416312292
xmin,,0.0
xmid,,
xmax,,11.5656417416
ystart,,-22.04059541803981
yend,,3.7337679737592815
control__wt_glc__1,0.3523202462,9.6664162902
control__wt_glc__2,-0.3523202462,9.6213579794
fur__wt_dpd__1,-14.9699442604,9.7616053704
fur__wt_dpd__2,-17.1813654995,9.7069639449
fur__wt_fe__1,0.6427217642,9.692444984
fur__wt_fe__2,1.1919153789,9.7643527682
fur__delfur_dpd__1,-9.917848231,9.6197799955
fur__delfur_dpd__2,-9.0532916212,9.5790178248
fur__delfur_fe2__1,-2.6499912,10.0773766765
fur__delfur_fe2__2,-2.7416550647999998,10.0371175127
acid__wt_ph5__1,-2.673287894,10.1200703134
acid__wt_ph5__2,-3.0723565148,10.1094839737
acid__delgadx_ph5__1,-1.6020209779,10.1286788894
acid__delgadx_ph5__2,-2.0935931325,10.1662531415
acid__delgadw_ph5__1,-1.4728518737,10.1265401317
acid__delgadw_ph5__2,-1.6729424318000001,10.1317633082
acid__delgade_ph5__1,-2.1793935151,10.2080573556
acid__delgade_ph5__2,-2.252048292,10.3085999377
oxidative__wt_pq__1,-12.224863544,9.9026655745
oxidative__wt_pq__2,-12.0583743819,9.9714039314
oxidative__deloxyr_pq__1,-10.3760691198,10.2165609568
oxidative__deloxyr_pq__2,-10.3658654582,10.252782484
oxidative__delsoxr_pq__1,-10.6275269179,10.0444802078
oxidative__delsoxr_pq__2,-10.8391654996,10.1301983886
oxidative__delsoxs_pq__1,-11.768919392899999,10.2416521848
oxidative__delsoxs_pq__2,-11.9861357703,10.2129780866
nac_ntrc__wt_csn__1,-10.6089133477,9.4220737634
nac_ntrc__wt_csn__2,-10.1816867243,9.4453694384
nac_ntrc__wt_cytd__1,-7.0124055859,9.468670237
nac_ntrc__wt_cytd__2,-7.2377236325,9.4681847364
nac_ntrc__wt_gln__1,-11.5997166697,9.7233332248
nac_ntrc__wt_gln__2,-11.4732729575,9.6705690491
nac_ntrc__bw_delnac_csn__1,-18.265700327,9.8568031736
nac_ntrc__bw_delnac_csn__2,-17.7793722448,9.55673756
nac_ntrc__bw_delnac_cytd__1,-5.7598190429,9.9437252287
nac_ntrc__bw_delnac_cytd__2,-5.7157896931,9.9242641676
nac_ntrc__bw_delnac_gln__1,-9.8855409506,10.2108542546
nac_ntrc__bw_delnac_gln__2,-10.1143730497,10.2010551916
nac_ntrc__bw_delnac_nh4__1,1.090715744,10.0513347714
nac_ntrc__bw_delnac_nh4__2,0.9721927119,10.0484217475
misc__wt_no_te__1,-5.6505010749,10.1043601919
misc__wt_no_te__2,-3.4793007382,10.0505778705
misc__bw_delcbl__1,0.9897796687,9.9733929331
misc__bw_delcbl__2,1.3040095757999999,10.0049062964
misc__bw_delfabr__1,2.0835896073,9.8182446731
misc__bw_delfabr__2,1.8159601627000002,9.7986591345
misc__bw_delfadr__1,-1.3864348507,9.9826597456
misc__bw_delfadr__2,-1.2391008909,9.9313648352
misc__nitr_031__1,-8.2436267842,9.9953763625
omics__wt_glu__1,-0.8638890020000001,9.4889403726
omics__wt_glu__2,-1.4375770065,9.634938636
omics__wt_gly__1,-0.8347274101000001,9.7928710182
omics__wt_gly__2,-0.9100159310000001,9.8082693051
omics__wt_thr__1,-1.6674503903,10.0277885741
omics__wt_thr__2,-0.5320843127,10.1346482786
omics__bw_ac__1,10.7594449109,10.012272852
omics__bw_ac__2,10.9576805577,10.1247479164
omics__bw_fum__1,6.3229456162,10.1562283486
omics__bw_fum__2,6.5566009468,10.2586758784
omics__bw_glc__1,-4.8232612775,10.0475797406
omics__bw_glc__2,-4.2289316359,10.0838347832
omics__bw_pyr__1,6.9549016012,10.42697707
omics__bw_pyr__2,6.6239072098000005,10.425742367
ompr__wt_nacl__1,-17.4433192873,9.0125815417
ompr__wt_nacl__2,-17.0614230891,9.0545458873
ompr__bw_delompr_nacl__1,-12.3359826411,8.5829942703
ompr__bw_delompr_nacl__2,-12.3595950055,8.5540513786
minspan__wt_ade__1,-5.9120251042,9.8734458777
minspan__wt_glc__1,0.040841325000000005,9.5595608201
minspan__wt_glc__2,-0.4466438653,9.7246855111
minspan__wt_glc__3,0.4613369121,9.6677877466
minspan__wt_glc__4,0.055587560700000004,9.6028856931
minspan__wt_glc_anaero__1,1.547030891,9.8955171224
minspan__wt_glc_anaero__2,1.9392045033,9.7394486325
minspan__wt_trp__1,9.750195615,10.2166741902
minspan__bw_delcra_glc__1,0.3082268945,10.0737402436
minspan__bw_delcra_glc__2,0.4829420008,10.0255156289
minspan__bw_delcra_trp__1,7.9132757486,10.1484054657
minspan__bw_delmntr__1,5.0001806883,10.1332790837
minspan__bw_delnac_ade__1,1.6779371992,9.8850306476
minspan__bw_delnac_glc__1,1.1705294643,10.1315496355
cra_crp__wt_ac__1,12.6643414356,10.0440416193
cra_crp__wt_ac__2,12.5238419031,9.9052859343
cra_crp__wt_fru__1,8.478437072,9.5381390316
cra_crp__wt_fru__2,8.2692591031,9.735129528
cra_crp__delcra_ac__1,10.3536645482,9.8547256828
cra_crp__delcra_ac__2,10.2127972381,9.869555359
cra_crp__delcra_fru__1,-9.0774167447,9.9105467848
cra_crp__delcra_fru__2,-9.2435551876,9.944084961
cra_crp__delcra_glc__1,-3.4279240219,9.7874658091
cra_crp__delcra_glc__2,-3.0836565386,9.7900337968
rpoB__wt_031__1,11.7929340644,9.9089811912
rpoB__wt_044__1,0.3636567437,9.8361420013
rpoB__wt_lb__1,9.3503826385,10.0597019114
rpoB__wt_lb__2,9.3646696211,10.047835847
rpoB__rpoBE546V_031__1,7.4773970849,10.1742073053
rpoB__rpoBE546V_044__1,5.7397129882,10.1689918705
rpoB__rpoBE546V_lb__1,8.4352641059,9.84764566
rpoB__rpoBE546V_lb__2,8.341966189,9.900137695
rpoB__rpoBE546V_glc__1,0.4411231887,9.6641815406
rpoB__rpoBE672K_glc__1,-0.9780300949,9.1661215365
rpoB__rpoBE672K_glc__2,-0.8087413376,9.3561042081
rpoB__rpoBE672K_lb__1,7.1937947905,9.7681333424
rpoB__rpoBE672K_lb__2,7.1653802728,9.7765265903
crp__wt_fru__1,8.6557412069,9.6571073011
crp__wt_glyc__1,11.1276109863,9.6594865337
crp__wt_glyc__2,10.9222932665,9.7055625817
crp__delar1_glyc__1,-12.5743825354,10.9540781171
crp__delar1_glyc__2,-13.0206289535,11.0920724355
crp__delar1ar2_glyc__1,-27.3276191915,10.4839015964
crp__delar1ar2_glyc__2,-27.5272125638,10.4658069468
crp__delar1ar2_glyc__3,-27.3355731615,10.5003996054
crp__delar2_glyc__1,-25.7003104639,11.5656417416
crp__delar2_glyc__2,-24.9397084635,11.4784819271
crp__delar2_glyc__3,-26.0782488068,11.4213822778
crp__delcrp_fru__1,-21.6487531422,0.0
crp__delcrp_fru__2,-22.5896745838,0.0
crp__delcrp_fru__3,-21.1412792253,0.0
crp__delcrp_glc__1,-23.1683785272,0.9742552258
crp__delcrp_glc__2,-22.0710611969,0.4993436961
crp__delcrp_glc__3,-23.533072684,0.0
crp__delcrp_glyc__1,-22.8424872993,0.0
crp__delcrp_glyc__2,-23.6156396286,0.0
crp__delcrp_glyc__3,-22.9074619394,0.0
glu__glu_ale3__1,-1.2318193639000001,11.2688602598
glu__glu_ale4__1,-1.0527320201,9.9765830781
glu__glu_ale5__1,6.3613944778,10.0688850112
glu__glu_ale6__1,-2.3738339825,9.5519290166
glu__glu_ale8__1,1.4922971756,11.2173049954
glu__glu_ale9__1,0.368143757,10.4950847926
glu__glu_ale10__1,-2.8358407092,10.9805491371
42c__wt_42c__1,-2.3874143361,9.7803015396
42c__42c_ale1__1,6.8947480997,10.1847969757
42c__42c_ale2__1,-1.6005409666000001,9.7164891424
42c__42c_ale3__1,-3.1346526387,9.3600991014
42c__42c_ale4__1,0.1362201063,9.8206745747
42c__42c_ale5__1,-3.7506240421,9.4701567685
42c__42c_ale6__1,0.3390501909,10.1298290513
42c__42c_ale8__1,-0.9105912088,10.5407434199
42c__42c_ale9__1,-1.5031826308,10.0056685683
42c__42c_ale10__1,0.266252541,10.2260797352
ssw__wt_ac__1,10.3683995269,10.1462174026
ssw__wt_glc__1,0.0610734442,9.9305831751
ssw__wt_glyc__1,8.9294796378,10.2254868987
ssw__wt_xyl__1,12.6397265991,10.468736232
ssw__glc_ale1__1,5.1021153882,10.2523389532
ssw__glc_ale2__1,-0.09902618960000001,10.5420181645
ssw__glc_ale3__1,3.9271809718,10.3509209074
ssw__glyc_ale1__1,4.5635925995,10.3019680581
ssw__glyc_ale2__1,7.3577679356,10.2980772404
ssw__xyl_ale1__1,0.6691760787000001,9.9309310901
ssw__xyl_ale2__1,5.3428376464,10.064275187
ssw__xyl_ale3__1,-2.1031965206,9.7901187007
ssw__glc_ac_ac2__1,13.6094354086,10.2075053399
ssw__glc_ac_glc1__1,-4.7035495977,10.0263295586
ssw__glc_ac_glc2__1,4.358100249,10.4804481633
ssw__glc_glyc_glc__1,1.6556008862,10.5772025978
ssw__glc_glyc_glyc__1,8.6528704098,10.3378946703
ssw__glc_xyl_glc__1,1.7085586918,10.1393264886
ssw__glc_xyl_xyl__1,6.5757687491,9.7002400414
pgi__glu4_delpgi__1,7.6334503517,10.2982053617
pgi__pgi_ale1__1,4.0150344108,9.8678634149
pgi__pgi_ale2__1,1.2005356915,10.0861408549
pgi__pgi_ale3__1,4.0467254127,10.0436307987
pgi__pgi_ale5__1,4.2216167151,10.0360112166
pgi__pgi_ale6__1,3.3130636184,10.2257774306
pgi__pgi_ale7__1,1.3816519252,10.2303576652
pgi__pgi_ale8__1,0.1328015276,10.0412826165
ica__wt_glc__1,5.3531884062,9.9541832302
ica__wt_glc__2,5.5087237322,9.9567516774
ica__wt_glc__3,-0.2115002457,10.0921414636
ica__wt_glc__4,-0.49392268300000003,10.5520746848
ica__arg_sbt__1,11.0848624421,10.2075847073
ica__arg_sbt__2,12.2471049509,10.4625091275
ica__cytd_rib__1,13.6899484213,10.3323685351
ica__cytd_rib__2,12.5577879566,10.3734783211
ica__gth__1,-19.5012928625,9.867190767
ica__gth__2,-19.991166539399998,9.6562168746
ica__leu_glcr__1,9.236319731,10.9521709598
ica__leu_glcr__2,9.0465661831,10.9350620867
ica__met_glc__1,4.428033812,10.0184782654
ica__met_glc__2,4.2060843849,9.9070181625
ica__no3_anaero__1,-4.7153709675,10.2215336834
ica__no3_anaero__2,-5.192518217,10.2020938122
ica__phe_acgam__1,3.9986911813,10.0421258498
ica__phe_acgam__2,3.813393233,10.0354086426
ica__thm_gal__1,12.1167626277,10.3088738201
ica__thm_gal__2,11.2505902009,10.2287173785
ica__tyr_glcn__1,4.3213558373,10.1613037426
ica__tyr_glcn__2,3.9109550049,10.1977585022
ica__ura_pyr__1,9.1552878236,10.8870327833
ica__ura_pyr__2,11.7187660801,11.1711971957
ica__wt_glc__5,2.2716039594,10.2158589693
ica__wt_glc__6,2.0328890075,10.1897455736
ica__bw_delpurR_cytd__1,0.8099368518000001,9.7830845509
ica__bw_delpurR_cytd__2,1.2677657398,9.7688165905
ica__ade_glc__1,-2.3291736426,10.3311560484
ica__ade_glc__2,-2.3647269272,10.320692843
ytf__wt_glc__1,1.1390066938,10.3708598036
ytf__wt_glc__2,1.5560192626,10.5191829496
ytf__delyafC__1,5.9287780283,10.4692523439
ytf__delyafC__2,5.077359201,10.5229054027
ytf__delyeiE__1,2.873237555,10.2753532923
ytf__delyeiE__2,3.5955527961,10.2856012475
ytf__delyiaJ__1,4.0905128841,10.4504829103
ytf__delyiaJ__2,3.0920415572,10.5063860505
ytf__delyieP__1,2.5941556199,10.8436775225
ytf__delyieP__2,1.0691962935000001,10.8003508057
ytf__wt_ph5__1,-1.0140264475,10.4360748242
ytf__wt_ph5__2,-1.7295598028999999,10.5250831358
ytf__wt_ph8__1,-1.5528371791,10.3343254791
ytf__wt_ph8__2,-1.6449090430000002,10.2853312681
ytf__delybaO__1,8.3035271254,10.5769669262
ytf__delybaO__2,5.9389745381,10.6183991791
ytf__delybaQ__1,-0.6631020301,10.2640434448
ytf__delybaQ__2,-0.3441627581,10.2291390532
ytf__delybiH__1,1.1378871272,10.6569506427
ytf__delybiH__2,1.3436351175,10.6078990374
ytf__delydcI_ph5__1,0.11724426290000001,10.3559965659
ytf__delydcI_ph5__2,0.4799082683,10.5233608748
ytf__delydcI_ph8__1,-2.7808734163,10.4068741548
ytf__delydcI_ph8__2,0.4405362058,10.3417163927
ytf__delyddM__1,-1.7794570019,10.8210548291
ytf__delyddM__2,-2.3878348078,10.8115712547
ytf__delyheO__1,8.3356364278,10.55207284
ytf__delyheO__2,6.2224344159000005,10.5978682148
fps__bw_glc__1,3.2822176437,10.269861071
fps__bw_glc__2,2.3539631975,10.2389137941
fps__fps_thrA_ale1__1,-1.016544046,10.4407032037
fps__fps_thrA_ale1__2,-0.34952485510000003,10.4246936327
fps__fps_thrA_ale2__1,0.2139563853,10.3313232437
fps__fps_thrA_ale2__2,0.1695889153,10.3228594575
