,Value,list
TF,crp,
reg_genes,587,"['malE' 'ytjA' 'glpD' 'umpH' 'dcuR' 'nagA' 'paaJ' 'yadG' 'argG' 'ygeA'
 'rbsD' 'fucR' 'zraR' 'cyoA' 'mdtA' 'nanS' 'malK' 'fecC' 'nlpE' 'exuR'
 'galE' 'fucU' 'pnp' 'grcA' 'rpsU' 'prpE' 'bglF' 'yhcH' 'nuoK' 'chiQ'
 'caiD' 'uxuB' 'cytR' 'fbaA' 'eptB' 'dcuB' 'entC' 'paaF' 'mdh' 'rhaS'
 'lldP' 'glgC' 'focB' 'uidC' 'yiaN' 'fiu' 'puuB' 'fecE' 'prpB' 'mdtF'
 'yaiZ' 'rpsO' 'fur' 'hyfI' 'mhpB' 'melR' 'pdhR' 'lacA' 'gcvP' 'nanM'
 'uhpB' 'rhaA' 'ompG' 'fumA' 'ptsH' 'yeiQ' 'rssB' 'idnR' 'srlR' 'srlM'
 'ygbF' 'flhD' 'ugpC' 'uxaB' 'cyoE' 'treC' 'araJ' 'entB' 'fucA' 'casE'
 'acs' 'trg' 'hyfG' 'ompR' 'mhpE' 'fucP' 'gltA' 'hofC' 'araB' 'yhfG'
 'ysgA' 'csgD' 'bglB' 'idnO' 'hfq' 'fdoG' 'mhpF' 'oxyR' 'paaZ' 'infB'
 'ulaA' 'glcF' 'citF' 'sucC' 'preT' 'trxA' 'rimP' 'nrdA' 'rpoS' 'tdcC'
 'caiA' 'entH' 'speC' 'ilvB' 'rpoE' 'malY' 'nuoF' 'nuoG' 'glnL' 'puuD'
 'murQ' 'mtfA' 'srlD' 'fepA' 'msrB' 'mlc' 'yeaC' 'yeiP' 'ompF' 'chbA'
 'deoC' 'glnG' 'fucI' 'yibH' 'gadC' 'galT' 'yfeC' 'nuoC' 'idnT' 'chbG'
 'ompW' 'thrB' 'fixC' 'sucD' 'uidA' 'araD' 'prpD' 'gntK' 'cysQ' 'tdcF'
 'nuoH' 'acnA' 'entE' 'gcd' 'fecD' 'modC' 'lsrK' 'ynfK' 'rhaR' 'mhpC'
 'gntU' 'nagB' 'mdtB' 'ppiA' 'paaD' 'lldR' 'ulaC' 'nagE' 'lsrD' 'guaB'
 'sgbH' 'glcD' 'lsrG' 'treB' 'fecB' 'aceK' 'osmY' 'pspB' 'csiE' 'ycfQ'
 'flhC' 'csgG' 'gpsA' 'murP' 'caiT' 'fumB' 'actP' 'nirD' 'ycdZ' 'hofB'
 'cspA' 'yiaL' 'fecA' 'gcvT' 'sfsA' 'nuoL' 'mazE' 'aaeB' 'glcA' 'putP'
 'sohB' 'gadA' 'entD' 'mhpD' 'rseC' 'modA' 'xylH' 'yadH' 'gltD' 'feaR'
 'mokB' 'psiE' 'pgk' 'glpG' 'fumC' 'tsgA' 'yaiY' 'bhsA' 'feaB' 'manA'
 'yaeQ' 'rbsB' 'galK' 'puuE' 'mntH' 'yhfA' 'rmuC' 'glpC' 'fadH' 'iceT'
 'nrdB' 'clpA' 'lhgO' 'glnA' 'fucK' 'yjjI' 'yiaO' 'uidB' 'rhaD' 'glpB'
 'paaC' 'ascB' 'ilvN' 'metK' 'gadB' 'nagC' 'mhpR' 'dksA' 'lsrR' 'cysG'
 'paaB' 'cyoB' 'aceE' 'melA' 'araE' 'cspE' 'lsrB' 'casD' 'nusA' 'yjhP'
 'puuR' 'srlB' 'puuC' 'proP' 'rnk' 'ycjN' 'nuoI' 'agp' 'ygdG' 'fixB'
 'aroA' 'aceA' 'glpK' 'hupA' 'gntX' 'uxaA' 'csgF' 'chbC' 'gltB' 'nfuA'
 'yaeP' 'fixA' 'rbsA' 'pspE' 'narQ' 'tnaB' 'preA' 'ldtB' 'rpsI' 'rpsR'
 'sdaB' 'cyaA' 'csiD' 'envZ' 'deoD' 'thrC' 'citB' 'nuoB' 'xylB' 'ampD'
 'malS' 'rof' 'aceB' 'paaG' 'cstA' 'ycjT' 'rpoH' 'mazF' 'uxuR' 'ansB'
 'yedP' 'glgP' 'gadE' 'fadD' 'glcG' 'tsx' 'yiaK' 'melB' 'tdcE' 'dusB'
 'tdcG' 'idnK' 'gapA' 'nanA' 'gcvH' 'ybiT' 'cpdB' 'guaA' 'mlrA' 'yjiY'
 'yfaE' 'hyfR' 'marA' 'ybdD' 'citC' 'yfeD' 'ugpE' 'yjjW' 'thrA' 'sxy'
 'nirB' 'hokB' 'caiF' 'srlA' 'paaE' 'nuoE' 'ivbL' 'aceF' 'sdhB' 'exuT'
 'ycjQ' 'citA' 'aaeR' 'malG' 'ampE' 'rseA' 'malF' 'serA' 'rtn' 'nupC'
 'sdhC' 'araA' 'aaeA' 'hyfF' 'fdoH' 'nirC' 'rhaB' 'chbR' 'pka' 'aer'
 'grpE' 'ugpB' 'deoA' 'araG' 'cirA' 'chbB' 'lyxK' 'dcuA' 'entA' 'ucpA'
 'nadC' 'crr' 'rbsR' 'yiaM' 'lacY' 'kbaZ' 'gyrA' 'srlQ' 'prpR' 'araC'
 'garP' 'lacZ' 'lsrC' 'ulaE' 'nuoJ' 'yhhX' 'pflB' 'ygjV' 'baeR' 'pabA'
 'ulaF' 'hlyE' 'nuoA' 'dadA' 'glgS' 'hflK' 'rseB' 'ygbT' 'hupB' 'cyoD'
 'ycjM' 'crp' 'rplM' 'nuoN' 'deoB' 'nanE' 'csgE' 'lsrA' 'ugpA' 'garR'
 'hflC' 'araF' 'gltF' 'ompA' 'gabT' 'tnaA' 'cyoC' 'malX' 'yibI' 'dnaG'
 'secB' 'sucB' 'sbmC' 'focA' 'glpF' 'xylF' 'hyfD' 'fis' 'modB' 'tdcA'
 'yiaJ' 'nanC' 'caiC' 'nanK' 'prpC' 'epd' 'aspA' 'truB' 'fadL' 'lamB'
 'sgbE' 'chiP' 'hyfB' 'ribB' 'caiB' 'sgbU' 'yadI' 'setB' 'glcE' 'paaH'
 'gabD' 'fic' 'ulaD' 'rplI' 'mdtC' 'garK' 'nanT' 'hofM' 'rpsF' 'yobF'
 'mhpA' 'ybgS' 'xylG' 'uhpT' 'sucA' 'casC' 'xylR' 'fucO' 'lldD' 'dadX'
 'pspC' 'paaK' 'galM' 'glpX' 'tam' 'bglG' 'rbsC' 'galP' 'cspD' 'dsdX'
 'sodB' 'baeS' 'gabP' 'srlE' 'mpl' 'fdoI' 'tdcD' 'glpE' 'udp' 'lsrF'
 'uxaC' 'yjhQ' 'xylA' 'malI' 'gntP' 'opgE' 'priB' 'ugpQ' 'mdtE' 'ycjS'
 'glgA' 'sdhD' 'tdcB' 'uxuA' 'nupG' 'araH' 'uhpA' 'serC' 'yhhW' 'nuoM'
 'rbsK' 'malM' 'arfB' 'rmf' 'yjcH' 'casA' 'glpA' 'garL' 'hflX' 'chbF'
 'ptsI' 'gntT' 'xseA' 'relA' 'glcC' 'pspA' 'malT' 'dsdA' 'gadX' 'paaA'
 'dctA' 'clpS' 'acnB' 'uhpC' 'cspC' 'marR' 'aldB' 'pncB' 'glcB' 'ubiG'
 'gdhA' 'rbfA' 'lpd' 'hpt' 'lacI' 'sodA' 'rhaT' 'yqeF' 'zraS']"
comp_genes,40,"['ynfM' 'cohE' 'ymfI' 'nikA' 'gpr' 'ilvC' 'pepE' 'gatC_1' 'gatR_1' 'ydcH'
 'nmpC_1' 'gatC_2']"
both_genes,28,"['manZ' 'sdaC' 'mglC' 'lgoR' 'idnD' 'yhfK' 'mtlD' 'pck' 'gatY' 'ptsG'
 'manY' 'raiA' 'mglA' 'gatZ' 'gatA' 'mglB' 'gatB' 'aldA' 'sdhA' 'ychH'
 'glpQ' 'glpT' 'manX' 'mtlA' 'galS' 'mtlR' 'gatD' 'cdd']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,281,
comp_ops,27,
both_ops,17,
