,yjbF
Cr_1,0.00418635804732554
Cr_2,0.008565174885147422
Cr_3,0.010600762287382482
Cr_4,0.016065244874317413
Cr_5,0.014457257528073631
Cr_6,0.019673718960557484
Fe_1,-0.01798502837368281
Fe_2,-0.033990726491598844
Fe_3,-0.04548855984499608
Fe_4,-0.05207007207508403
Fe_5,-0.05177741344995478
Fe_6,-0.051665152312812185
Cd_1,0.002981654056080698
Cd_2,-0.0012779562323130226
Cd_3,-0.006437102165195971
Cd_4,-0.004942847286136088
Cd_5,-0.00697631600870275
Cd_6,-0.005760820808221344
Zn_1,-0.004086873393675937
Zn_2,-0.014088138339026371
Zn_3,-0.014305153358082552
Zn_4,-0.0004897053183711841
Zn_5,0.01069145050801608
Zn_6,0.007844512443269006
Cu_1,0.0009321779850840924
Cu_2,0.0048353452765340895
Cu_3,0.0050207281982609705
Cu_4,0.002341304702182324
Cu_5,0.009115148654935892
Cu_6,0.00877852171622647
Pb_1,0.0008492002384963811
Pb_2,-0.005162263824910292
Pb_3,-0.0059239564795240535
Pb_4,-0.004232837892848731
Pb_5,-0.002053302036014964
Pb_6,0.0031321316319250767
