,zraP
Cr_1,0.010111158415456059
Cr_2,0.026326478865117995
Cr_3,0.035969372053732566
Cr_4,0.040137455686144116
Cr_5,0.03380475036326728
Cr_6,0.03699990030432414
Fe_1,-0.013453582573423613
Fe_2,-0.037642655670223166
Fe_3,-0.06036688286305469
Fe_4,-0.07915374004898805
Fe_5,-0.0839618458880168
Fe_6,-0.08771744739287793
Cd_1,-0.0009117451711315504
Cd_2,-0.0024130468329399447
Cd_3,-0.016116321008579557
Cd_4,-0.0366937694903428
Cd_5,-0.049368953731536665
Cd_6,-0.05215697442768186
Zn_1,-0.0025499109794491263
Zn_2,-0.014733813034889853
Zn_3,-0.0253969673736911
Zn_4,-0.02710321690581807
Zn_5,-0.024886349023474343
Zn_6,-0.030264954960075724
Cu_1,0.004475995754799371
Cu_2,0.00993326409168196
Cu_3,0.015115881757223606
Cu_4,0.013385340819623198
Cu_5,0.007610185359556144
Cu_6,0.00539038029800317
Pb_1,0.0037316587058121454
Pb_2,0.0047882412159949385
Pb_3,0.010892352209584077
Pb_4,0.01707340635852209
Pb_5,0.021133228257195786
Pb_6,0.028503115573245086
