,tyrB
Cr_1,-0.0007111761102579775
Cr_2,-0.001678685936551009
Cr_3,0.00023153280375819732
Cr_4,0.001734981639780025
Cr_5,0.0018434951596487644
Cr_6,-0.004786855755789201
Fe_1,-0.012036829932920786
Fe_2,-0.04282092682995231
Fe_3,-0.07358801373910176
Fe_4,-0.10735897649623076
Fe_5,-0.12873404446853853
Fe_6,-0.1362076353991166
Cd_1,0.002420319659747351
Cd_2,0.004648406039478734
Cd_3,0.0058063609685896226
Cd_4,0.009387125216027777
Cd_5,0.007994640625368067
Cd_6,0.012736232752740393
Zn_1,-0.007568507827385928
Zn_2,-0.009336612180101216
Zn_3,-0.0020243213063418112
Zn_4,0.016827256411576005
Zn_5,0.03884668318435346
Zn_6,0.05770652868778984
Cu_1,0.005204981787974507
Cu_2,0.012020763122977184
Cu_3,0.01878945727606884
Cu_4,0.02385536775462653
Cu_5,0.029985847018385293
Cu_6,0.03888089215535223
Pb_1,0.006253386011474089
Pb_2,0.011680223766508277
Pb_3,0.025582512988465537
Pb_4,0.03872037969274232
Pb_5,0.052184812688035216
Pb_6,0.06449799000050226
