,fdnG
Cr_1,-0.0006990059173703692
Cr_2,-0.00048805558112116816
Cr_3,-0.0011012247156153144
Cr_4,-0.00033706588786230353
Cr_5,-0.0033902169038724506
Cr_6,-0.006177422176264603
Fe_1,-0.01456460050492454
Fe_2,-0.03399852518929794
Fe_3,-0.05937243664261518
Fe_4,-0.09318250424219317
Fe_5,-0.11023142219822107
Fe_6,-0.12516084726105706
Cd_1,0.003106192646234327
Cd_2,0.00477521233823741
Cd_3,0.007210645279397915
Cd_4,0.007886775712945441
Cd_5,0.00796531251447187
Cd_6,0.012353659372511323
Zn_1,-0.005474357741060768
Zn_2,-0.004481472703618464
Zn_3,0.004224361922549807
Zn_4,0.006089279279072739
Zn_5,0.010764204376118207
Zn_6,0.010968945952821732
Cu_1,0.0074748043405034065
Cu_2,0.010710825190065387
Cu_3,0.014960188505466003
Cu_4,0.01667287406469787
Cu_5,0.016096682407157385
Cu_6,0.02031639446759368
Pb_1,0.00011322062373662073
Pb_2,0.008722822877518969
Pb_3,0.01814866432298053
Pb_4,0.025788268043255867
Pb_5,0.028731922513452662
Pb_6,0.03619729037963591
