,ybiO
Cr_1,0.010251125223089257
Cr_2,0.011610978701197788
Cr_3,0.007936527512396851
Cr_4,0.011849833769284392
Cr_5,0.011476744064607271
Cr_6,0.007590960317996455
Fe_1,-0.02432325460588081
Fe_2,-0.05447335693699245
Fe_3,-0.07104938333667501
Fe_4,-0.08485405966150218
Fe_5,-0.08884375690715039
Fe_6,-0.0981348426611318
Cd_1,0.0023404131227497864
Cd_2,-0.00012609015284044764
Cd_3,-0.0006558365112744982
Cd_4,0.0006779638359144423
Cd_5,0.0023682988448508703
Cd_6,0.007399520233775563
Zn_1,-0.17236462354250146
Zn_2,-0.17631102858854347
Zn_3,-0.1732059253876756
Zn_4,-0.1623344367620295
Zn_5,-0.1539764644384386
Zn_6,-0.1488391015640592
Cu_1,0.003323254955790423
Cu_2,-0.0006091199479309571
Cu_3,0.0004766079255317404
Cu_4,0.0022646378913051103
Cu_5,0.0065253993229664456
Cu_6,0.004471773451447042
Pb_1,-0.0015192852532995257
Pb_2,-0.00010772528484726604
Pb_3,0.001313038870591595
Pb_4,0.0007272759818912316
Pb_5,0.003444838198876201
Pb_6,0.00460071720731213
