,gudP
Cr_1,0.0076721086583814374
Cr_2,0.003735977382797845
Cr_3,-0.03018965202808592
Cr_4,-0.027957560295595683
Cr_5,-0.02906082829519775
Cr_6,-0.021884566876617818
Fe_1,-0.011752797821714985
Fe_2,-0.03594407196758625
Fe_3,-0.06335670195440926
Fe_4,-0.08532995091061506
Fe_5,-0.11196851530919708
Fe_6,-0.11909006139284813
Cd_1,0.00024352795224475224
Cd_2,0.0020647190807331077
Cd_3,-0.01468720634750546
Cd_4,-0.035916597989632044
Cd_5,-0.07819897099555648
Cd_6,0.03601524241939004
Zn_1,-0.008218911630649436
Zn_2,-0.014853131973136716
Zn_3,-0.009160535444722229
Zn_4,-0.011031403178658408
Zn_5,-0.015727033512370002
Zn_6,-0.014705446608267288
Cu_1,-0.01671827610676465
Cu_2,-0.03713134678793588
Cu_3,-0.0518070154484433
Cu_4,-0.06372704091649037
Cu_5,-0.07490751715785254
Cu_6,-0.08827842915790646
Pb_1,0.008791282804693505
Pb_2,0.008548256731732269
Pb_3,0.018519508956860446
Pb_4,0.02551025614126846
Pb_5,0.029627950997816926
Pb_6,0.028732786208926088
