,crcA
Cr_1,0.003265126551226965
Cr_2,0.010429871739289066
Cr_3,0.006752734392829301
Cr_4,0.005318553833257565
Cr_5,0.006176569445153905
Cr_6,0.007113937403249743
Fe_1,0.00226796104043177
Fe_2,-0.009346232375367669
Fe_3,-0.015610176066898216
Fe_4,-0.022629911733240426
Fe_5,-0.031517219710876086
Fe_6,-0.03351817616026092
Cd_1,-0.003499095018532749
Cd_2,-0.00505163331991534
Cd_3,-0.004682322287063708
Cd_4,-0.005322060071676494
Cd_5,-0.012428246069470008
Cd_6,-0.01034660134959678
Zn_1,-0.00325928143711574
Zn_2,-0.005570220244359669
Zn_3,0.0002657885692623859
Zn_4,0.002555575038576963
Zn_5,0.0011072455796218466
Zn_6,0.0016371925247838349
Cu_1,0.008951791619223264
Cu_2,0.01842195645990654
Cu_3,0.021614619313917297
Cu_4,0.02394596922450563
Cu_5,0.019060777635868945
Cu_6,0.015661974891896302
Pb_1,0.0036465271708928937
Pb_2,0.012081140424788226
Pb_3,0.023287135814663327
Pb_4,0.03257415433948048
Pb_5,0.044275796657081305
Pb_6,0.05962536372351152
