,mlc
Cr_1,0.00013875758319395544
Cr_2,0.012804135411280858
Cr_3,0.032865529732347236
Cr_4,0.04606939403787045
Cr_5,0.05673277226058186
Cr_6,0.059196249776786586
Fe_1,-0.00424260509992603
Fe_2,0.00610468037688873
Fe_3,0.05243522511968366
Fe_4,0.09253244715730577
Fe_5,0.1287844046272961
Fe_6,0.15412129881989245
Cd_1,-0.0025662423118198515
Cd_2,0.0017679459075209273
Cd_3,0.006265175771676564
Cd_4,0.009154327339918571
Cd_5,0.004142122484950782
Cd_6,0.004988110942793168
Zn_1,0.003617823607813394
Zn_2,0.02349011152090113
Zn_3,0.046328810754787474
Zn_4,0.06411898928914889
Zn_5,0.07187228869222895
Zn_6,0.07477751708366694
Cu_1,0.015752527463201146
Cu_2,0.07365075350393369
Cu_3,0.13736413832912173
Cu_4,0.18026478846155208
Cu_5,0.21457915449325052
Cu_6,0.24012758213673704
Pb_1,0.01266386800030763
Pb_2,0.023794668238464718
Pb_3,0.03319731186944624
Pb_4,0.038002584386125526
Pb_5,0.03941204323079492
Pb_6,0.04452722259265217
