,ymgE
Cr_1,-0.006193372904576621
Cr_2,-0.0038179987215913908
Cr_3,0.00700266311445688
Cr_4,0.016368915514773538
Cr_5,0.028074109945943386
Cr_6,0.03928602919153012
Fe_1,-0.02496229525877655
Fe_2,-0.07232649885451957
Fe_3,-0.13078428260706046
Fe_4,-0.1903909185788108
Fe_5,-0.2520099278082483
Fe_6,-0.30699845338497184
Cd_1,-0.003778914187547745
Cd_2,-0.005931458299171304
Cd_3,-0.008104486050187971
Cd_4,-0.012353415928443658
Cd_5,-0.021557840136296372
Cd_6,-0.022716301651331167
Zn_1,-0.032529555512959364
Zn_2,-0.03882427826134074
Zn_3,-0.0511210414058011
Zn_4,-0.07936999835714717
Zn_5,-0.09698044066397994
Zn_6,-0.0943907135429094
Cu_1,0.005379876302391929
Cu_2,0.01993404668630559
Cu_3,0.03287786605092815
Cu_4,0.0434546927850843
Cu_5,0.046771356309179696
Cu_6,0.052119107671124716
Pb_1,0.0069432772403772176
Pb_2,0.019069647230360483
Pb_3,0.028090302710377445
Pb_4,0.03907057110022525
Pb_5,0.051218789050029384
Pb_6,0.07309498679825778
