,new_3853433_3853716_c
LBexp_1,11.0427
LBexp_2,11.0814
LBexp_3,10.7212
LBtran_1,10.9802
LBtran_2,10.8544
LBtran_3,10.9497
LBstat_1,10.7312
LBstat_2,10.2607
LBstat_3,9.7259
LBGexp_1,11.0231
LBGexp_2,10.9549
LBGexp_3,10.7064
LBGtran_2,10.1678
LBGtran_3,11.019
LBGstat_1,9.5395
LBGstat_2,9.2515
LBGstat_3,10.0294
S0_1,9.5835
S0_2,9.4121
S0_3,9.3523
S1_1,10.4195
S1_2,10.2394
S1_3,10.25
S2_1,11.3229
S2_2,10.7044
S2_3,9.8123
S3_1,10.8995
S3_2,10.651
S4_1,11.3706
S4_2,10.376
S4_3,10.0439
S5_1,10.996
S5_2,10.767900000000001
S5_3,11.3499
S6_1,11.266
S6_2,9.6543
S6_3,11.2549
S6/t_1,11.0547
S6/t_2,9.2592
S6_4,9.9803
S6_5,10.5165
S6_6,10.3957
S7_4,10.4435
S7_5,10.1945
S7_6,10.6157
S8_4,9.7683
S8_5,9.7243
G135_1,10.9314
G135_3,9.3471
G150_1,10.4756
G150_2,10.957699999999999
G150_3,10.52
G180_1,10.256
G180_2,10.5121
G180_3,9.9019
C30_1,10.045
C30_2,10.3728
C90_1,11.6105
C90_2,11.473700000000001
BI_1,11.5178
BI_2,11.5721
BC_2,10.8202
BC/t_1,10.2774
BC/t_2,10.706
BC_1,10.5048
Sw_1,11.1254
Sw_2,11.4449
BT_1,10.329
BT_2,9.6094
B36_1,10.8478
B36_2,10.7821
B60_1,9.9291
B60_2,10.4077
M9exp_1,10.4901
M9exp_2,10.0691
M9exp_3,9.9215
M9tran_1,10.002
M9tran_2,9.9974
M9tran_3,10.1775
M9stat_1,8.8702
M9stat_2,8.493500000000001
M9stat_3,8.4464
M+G_1,10.3439
M+G_2,10.3603
M+G_3,10.4436
Glu_1,10.5513
Glu_2,10.5665
Glu_3,10.5902
Fru_1,11.1162
Fru_2,10.9904
Fru_3,10.1576
Mal_1,9.6827
Mal_2,10.1625
Mal_3,10.4896
G+S_2,10.3459
G+S_3,10.5146
Pyr_1,9.838
Pyr_2,10.6506
Pyr_3,10.179
Gly_1,9.3134
Gly_2,10.5421
Gly_3,9.6797
Glucon_1,9.8575
Glucon_2,10.1567
Glucon_3,9.7036
aero_1,11.1159
aero_2,10.4342
aero_3,11.0602
nit_1,10.871
nit_2,11.3633
nit_3,10.8369
ferm_1,10.8231
ferm_2,10.6439
ferm_3,11.1189
T-5.40H_1,10.9208
T-4.40H_1,10.7483
T-3.40H_1,10.8844
T-2.40H_1,10.6744
T-1.40H_1,10.9623
T-1.10H_1,11.157
T-0.40H_1,11.0926
T0.0H_1,10.8986
T0.30H_1,9.7268
T1.0H_1,9.1307
T1.30H_1,9.1568
T2.0H_1,9.1211
T2.30H_1,9.9877
T3.0H_1,10.387
T3.30H_1,10.5139
T4.0H_1,10.1516
T5.0H_1,9.6052
HPh_1,10.0655
HPh_2,9.5012
