,rhlE
Cr_1,0.0047608719326975215
Cr_2,0.01256419803719703
Cr_3,0.01875464210077008
Cr_4,0.02473717548516871
Cr_5,0.030366224733047724
Cr_6,0.034271789387469075
Fe_1,0.00821651271608864
Fe_2,0.03732320170535982
Fe_3,0.07216570633016478
Fe_4,0.09932405574461807
Fe_5,0.1210452344441872
Fe_6,0.14066376408038553
Cd_1,0.003065001050047179
Cd_2,0.008127859028882014
Cd_3,0.014493504593819496
Cd_4,0.0217062849709404
Cd_5,0.024294693615982164
Cd_6,0.030990911364904526
Zn_1,0.006190151165618257
Zn_2,0.01854777012513416
Zn_3,0.022315520820965717
Zn_4,0.017588308595073404
Zn_5,0.011578397018604658
Zn_6,0.004133687893349787
Cu_1,0.010678133760530726
Cu_2,0.022967887455134263
Cu_3,0.03432820524661455
Cu_4,0.04900089765048239
Cu_5,0.061000088774576175
Cu_6,0.07111947809797275
Pb_1,0.0020190990583544787
Pb_2,0.0009785648818445248
Pb_3,0.002571582719158409
Pb_4,0.005137293573198871
Pb_5,0.00567416925603864
Pb_6,0.009576136964697736
