,A,LldR,ArcA
R2,,0.7611914382445425,0.058342115874857825
xmin,,-4.7750443894,-3.6017898952
xmid,,,0.5564434984364806
xmax,,6.1613297557,3.7109145168
ystart,,-7.5311799935588475,0.18392841461186205
yend,,9.995697060236207,4.371608840287187
SRX1125282,-0.11322798440000001,0.4160216661,0.1536251284
SRX1125283,-1.0490559016,-0.8030914982,-0.1085541986
SRX1125284,-2.2807227511,-1.1284847437,-0.269085791
SRX1125285,-0.9350772722,-0.5603966140000001,0.0131235692
SRX1125286,2.3049408895,2.4720890144,0.26443002660000003
SRX1125287,2.2571398338,2.6942456511,-0.1415413156
SRX1125288,-0.6624354315000001,-1.0553180549,-0.1227035083
SRX1125289,-2.5129452815,-0.8991224759,-0.4182880135
SRX1125290,-1.3521367384,-0.6193933508,-0.1456535487
SRX1125291,0.1825919415,0.8983760073,0.0864050615
SRX1125292,2.9332427569,2.7067255994,0.326354303
SRX1125293,2.1960787686,2.7959800036,0.2809830862
SRX1125294,0.7756634159,0.6392963888000001,-0.0309216201
SRX1125295,-1.9188036323,-0.4577660765,-0.0305290823
SRX1125296,-1.9602183303,-1.0232322513,-0.30555163100000005
SRX1125297,-1.3483629039,-0.3074585213,0.0006214416
SRX1125298,2.3195370013,2.772725346,0.6068628834
SRX1125299,2.0125552678,2.7410429062,0.5516321501
SRX5694250,-0.8091688473,-0.9994725087,0.49107579710000004
SRX5694251,-0.4880065283,0.6002676816,-0.9538123343
SRX5694252,0.6202771093,-0.237915375,0.3631602573
SRX5694253,-0.6022339951,0.2462641067,-0.17749356630000002
SRX5694254,0.9285413601,0.7457359185,-0.2571254471
SRX5694255,-2.1611000198,-0.8817989203000001,-0.5795873771
SRX5694256,-1.3596324923,-0.8714398915,-0.6394832572
SRX5694257,-0.24140837610000002,0.5924651652,-0.5994008193
SRX5694258,-1.3801781601,0.3906103127,-0.8093510237
SRX5694259,-0.25775160880000003,0.4523474672,-1.223874242
SRX5694260,1.4400601955,0.2770713583,-0.20132201460000002
SRX5694261,0.6161600898,1.2354242704,-0.38609345780000004
SRX5694262,-0.1363334132,-1.012043482,1.2331627263
SRX5694263,1.2770740961,0.2236632261,-0.4496263185
SRX5694264,0.6423194293000001,0.6471031197,-0.5000365137
SRX5694265,-1.9654300367,-1.070212554,-0.9224545732
SRX5694267,-0.6446860672,0.3006009436,-0.31040230480000003
SRX5694268,0.9561709166000001,0.23744891040000002,-0.1547312355
SRX5694269,0.5071413265,0.4820357691,-0.7734435138
SRX5694271,-0.8603290158,0.28180788630000003,-0.2452190206
SRX5694273,-0.8011389246,0.1182387606,-0.6604458461
SRX5694274,-0.21682380910000001,-0.4577109434,-0.36638296740000004
SRX5694275,-0.3273506437,-0.5702264597,-0.6634625427
SRX5694276,-1.2550060514,-0.1619678887,-0.7503258015000001
SRX5694277,0.5309178941,0.7927774143,-0.1047583445
SRX5694278,-1.569427101,-0.2388394248,-1.0523870943
SRX5694279,-0.2319636022,0.0691255075,-0.3908090648
SRX5694280,-1.8391132987,0.38078317510000004,-0.6588512144
SRX5694281,-0.1358094047,-0.4903681286,-0.796986874
SRX5694282,-0.6029518224,-0.3805262736,0.6215221205
SRX5694283,2.4350639142,1.4198168247,-0.7357496835
SRX5694284,0.9806729552000001,0.9405866776,-0.8809856715000001
SRX5694285,-2.4817808389,-0.8270158731,-0.332200824
SRX5694286,-1.2193399453,-0.2389118304,-0.7032624132
SRX5694287,0.3986835998,0.6912521708,0.5471721956
SRX5694288,1.0765979651,0.4667595973,-0.6750352942000001
SRX5694289,0.2061813949,0.3496548296,-0.7443126348
SRX5694290,0.3759108933,0.5758964496,-0.46151863260000003
SRX5694291,-2.4251639967,-1.2301036847,-0.6557503914
SRX5694292,-0.3413161335,-0.0156585596,-0.6482476939
SRX5694293,0.282343318,0.5785973121,-0.4793409832
SRX5694294,-0.7516551707,0.21935634510000002,-0.5675396422
SRX5694295,-1.6247256313,-0.1031853912,-0.034679769900000004
SRX5694296,-0.8458438890000001,0.0775882417,-0.3525345714
SRX5694297,-0.3331497893,0.5253210849000001,-0.0338108436
SRX5694298,-1.4090014366,-0.1344911073,-0.4064062229
SRX5694299,-1.9373505625,0.046760020900000004,-0.40150323260000004
SRX5694300,0.6341414338,-0.2693750125,-0.4034077274
SRX5694301,-0.14560419800000002,0.0510576274,-0.7157018740000001
SRX5694302,2.0573998035,0.9191743290000001,-0.7166546285000001
SRX5694303,1.8380929671000001,0.5327918614,-0.5501377366
SRX5694304,0.8995832367000001,0.2757192741,-0.3916451892
SRX5694305,0.10597206370000001,0.6881859722,-0.7050130261
SRX5694306,-0.5469354517,-0.8113187142,0.5643015045
SRX5694307,-1.7956462497999999,-0.35467491290000003,0.7962936861000001
SRX5694308,-0.6274105413000001,-0.1492363166,-0.2826643938
SRX5694309,-1.5876672017,-0.5424103722,-0.9324801713
SRX5694310,2.8019231551,1.9169159458,-0.7154435960000001
SRX5694311,-0.0435467571,0.719180775,-1.0549187552000001
SRX5694312,-0.2093649276,0.3746545234,1.2063663425
SRX5694313,-0.6537544834,0.41565809410000004,0.24705451250000002
SRX5694315,1.3828063677,0.0389091554,-0.8248140526000001
SRX5694317,0.7992494817,0.863592137,0.0642004802
SRX5694319,1.0702756116,0.35471500510000004,-0.6773202813
SRX5694320,-2.368780707,-0.7634957134,-0.7345571464
SRX5694321,-0.07870687750000001,0.8349610003,-0.6457091890000001
SRX5694322,-2.1744630444,-1.4057570337,0.9416705114
SRX5694323,0.9823260349,1.4466807471,-0.5853874625000001
SRX5694324,3.0197512365,1.7368419224,-0.9406118542
SRX5694325,0.9908139478,1.0405873716,-0.28599873
SRX5694326,-0.3784024258,-0.125841728,-0.6848857907
SRX5694327,2.9037563507,1.5958882974000002,-0.619184327
SRX5694328,1.1334865626,0.6209680641,-0.7077585323000001
SRX5694329,-0.1781348942,1.0007295302,-0.3164502813
SRX5694330,0.9150742406000001,1.5394025984000002,0.6378008244000001
SRX5694331,-0.7225354745,0.3546841341,-0.2497476536
SRX5694332,1.2365251871,1.2007484272,-0.3739455369
SRX5694334,0.2036630342,0.4743275671,-0.4412101766
SRX5694335,0.0523682314,0.6190203456000001,-0.5310190811000001
SRX5694336,-0.9885998781,-0.3523959213,-0.45421179570000003
SRX5694337,0.3390453672,0.9629781591000001,-0.305938729
SRX5694338,0.9546093059,0.2115769397,-0.6137315737
SRX5694339,1.1510701618999999,0.22490098290000002,-0.7445127357
SRX5694340,-1.262027079,-0.421497171,-0.440766099
SRX5694341,-1.1628264548,0.2533686193,-0.1313631139
SRX5694342,-1.0275850764,1.0049255045,0.2026076278
SRX5694343,1.9503276125000002,1.4726509384,-0.7345121231
SRX5694344,-1.1672469091,-0.3112498869,-0.33577681130000003
SRX5694345,-0.5163949147,-0.4467132132,-0.3764485198
SRX5694346,2.8111941924,1.5342284046999999,-0.9055701749
SRX5694347,-0.685170629,-0.1796765746,-0.7128745584
SRX5694348,-1.2044962206,-0.214468771,-0.3365434024
SRX5694349,0.8879916440000001,-0.027053479300000002,-0.9118016409
SRX5694350,-0.2771624156,0.2169960739,-0.2723243866
SRX5694351,-0.1976329709,0.732801981,0.7195692725
SRX5694352,-3.3651230708,-3.2906228956,-0.7211493992
SRX5694353,0.4169837346,0.2562009355,-1.1035471096
SRX5694354,-0.5578608365000001,-0.0705337659,-0.8090334449000001
SRX5694356,0.1706753497,0.031237535400000002,-1.0282208658
SRX5694357,-1.4801860394,0.5298414379,0.1033229876
SRX5694358,-3.0305629243,-1.2662061901000001,-0.989631354
SRX5694359,-2.4322424217,-1.4021076755,-0.6898793059
SRX5694360,-1.371182237,-0.8856173672000001,-0.9385224537
SRX5694361,-1.7193075048000002,-1.2290010732,1.0977147786
SRX5694362,0.6541569751,1.0905759462,0.36099427310000004
SRX5694363,-0.6561914292000001,0.7197293156,-0.600790616
SRX5694364,-0.2896621232,-0.1136933293,-0.5144488377
SRX5694365,-1.9898781107,0.3162467553,1.4841765936
SRX5694366,0.7770520254000001,0.2539925945,-0.7392321765000001
SRX5694367,1.3944288768,1.4732453351,-0.2944956992
SRX5694368,1.4533371626,0.8331058661,-0.8669199153
SRX5694369,-1.4967645009,-1.1682657278,-0.5948867843
SRX5694370,4.5899755141,3.000657141,-0.5244472115000001
SRX5694371,-2.1080562106,-0.2994595264,-0.786795397
SRX5694372,-1.0688961775,-0.4949948926,-0.5681068862
SRX5694373,0.3095411131,1.2203972071,-0.6737367768
SRX5694374,-3.3249035774999998,-1.835491137,-0.9874018292000001
SRX5694375,-0.058285542,0.1383250442,-0.704628555
SRX5694376,-0.4137059863,-0.0729678168,0.6390051229
SRX5694377,-4.0470969051,-1.0593913838,-1.119492052
SRX5694378,0.052241766200000005,-0.40227769760000004,-0.5892935844
SRX5694379,-0.9214138943,-0.4593797647,-0.7488069058
SRX5694380,1.9839458410000002,1.2059207845,-0.9849220242000001
SRX5694381,-1.0998199591,0.809130671,0.0536946161
SRX5694382,0.7573089817,0.9857731982000001,-0.4765596486
SRX5694383,-0.6865507736,-0.18370466530000001,-0.9315031237
SRX5694384,-0.8317999623000001,0.025701013,-0.306814501
SRX5694385,-1.2032828664,-1.2661197186,-0.14971446900000002
SRX5694386,1.1249767732,1.5852972378999999,-1.7867935451
SRX5694387,0.4356453078,0.4365874468,-0.5907873538
SRX5694388,2.6521084109,1.9169096041,-0.8765617776
SRX5694389,-1.1872676965,-0.2510413875,-0.5076306448
SRX5694390,-0.32769270300000003,-0.0783348427,-0.9455588033000001
SRX5694391,0.1950296723,-0.2403451175,-0.0546648603
SRX5694392,-1.6157002737,-0.5023014266,-0.7995883998000001
SRX5694393,-0.7673658256,-0.1617486434,-0.2305797444
SRX5694394,-0.4742845209,0.0745839404,-0.2681092712
SRX5694395,-1.0724996591,0.2433345495,-0.6702235864
SRX5694396,-0.9801799662,0.260393166,0.8816852332
SRX5694397,1.4834880066,0.7572007351000001,-0.8235027764
SRX5694398,0.5938658445,0.160928079,-0.4419145841
SRX5694399,-0.5602726994,0.6045667665000001,-0.7824784504000001
SRX5694400,-1.4215140949,-1.0480790855,-0.8957583694000001
SRX5694401,0.5711625014,0.7017542562,-0.46520850020000004
SRX5694402,2.4141143087,1.9892278153,-1.9027115429
SRX5694403,-0.1252737327,0.3127490833,-0.5633653791000001
SRX5694404,-1.1744456653,-0.6424195446000001,-0.4577927678
SRX5694405,0.1408085953,0.5574016558,-0.5244412812
SRX5694406,-2.4611982689,-0.2545434553,-0.4069620828
SRX5694407,-1.8589983942,0.2322866019,-0.6797229178
SRX5694408,0.6897209155,0.25226261650000004,-0.7931955938
SRX5694409,1.6553901452000002,1.6821065566,-0.7313918552
SRX5694410,-0.5426643401,-1.2142810262000001,0.5205305132
SRX5694411,3.0261040085,1.5832850361,1.2752649621
SRX5694412,1.4762901402000002,0.5220078592,-0.8681426453000001
SRX5694413,2.0033162431,0.908697843,0.0039227364
SRX5694414,-1.0601087455,0.2419719306,0.1272974469
SRX5694415,-0.0969998442,0.1715785466,-1.0048620916
SRX5694416,-0.0725862441,-0.1481154547,-0.0255081624
SRX5694417,-0.6974284688,0.30526909999999996,-0.37877042
SRX5694418,-1.2034879966,0.6271100819000001,-0.8464666129
SRX5694419,-0.313843448,0.4336193566,-0.3984785491
SRX5694420,-1.4195585361,-0.2249890292,-0.302497715
SRX5694421,-0.6518928147,0.3541868077,-0.6099977714
SRX5694422,0.8355474734,0.378134527,-0.068855287
SRX5694423,-1.9344035084,-0.6127870477,-0.5813589195000001
SRX5694424,2.3794998234999998,1.2082852119,-0.4586027053
SRX5694425,1.4250457706000002,0.21873254520000002,-0.8332605673
SRX5694426,0.0057811942,0.1494235545,-0.7600289733000001
SRX5694427,0.3328701919,0.39060049750000003,-0.3639876078
SRX5694428,0.239062602,-0.17544668800000002,-0.6349855048
SRX5694429,2.1752588341,0.9043615518,1.262363916
SRX5694430,0.3954910152,-0.0385548353,-0.5589086929
SRX5694431,-0.1146354982,0.3811246032,-0.11194467350000001
SRX5694432,-0.8137070948,-0.2607053553,-0.576840738
SRX5694433,3.5967301894,2.1059323836,0.38963961950000003
SRX5694434,2.2630954566,2.0007748663,-0.3241111343
SRX5694435,-0.6175117989000001,0.5892209651,-0.25701469
SRX5694436,1.6612285863,1.9597595174,-1.3601739322
SRX5694437,0.4513714093,1.9477510982,-0.0437337862
SRX5694438,-0.3905700654,-0.6201335061000001,-0.8291054388
SRX5694439,-4.1289740612,-0.8948907451,-0.51258285
SRX5694440,-0.6543883818,0.2825837312,-0.37249924100000004
SRX5694441,-0.325808568,0.8002059474000001,-0.230511501
SRX5694442,2.2643361974,1.5829288331,-0.8200548711000001
SRX5694443,-0.6803247459,-0.0301772855,-0.4406184697
SRX5694444,-1.2093965797,-0.5520609281000001,-1.0535215027
SRX5694445,-1.5711312867,0.321254874,-0.6204594402
SRX5694446,0.0048802319,-0.06660195270000001,-1.0780453714
SRX5694447,-1.4314076231000001,-0.2305714094,-0.2826101176
SRX5694448,0.6944517097,1.4675721252,0.3674181562
SRX5694449,0.0579654625,-0.033400986300000005,-0.5328863570000001
SRX5694450,2.2008393406,0.8945231446,-0.4055443481
SRX5694451,0.5517430632,-0.32412412500000004,-0.6397645289
SRX5694452,-0.8114611177000001,0.29181725210000004,0.7842886771
SRX5694453,2.8504904764,2.1119286492000002,0.0852071991
SRX5694454,-1.296556242,-0.2675900559,-0.18555417640000002
SRX5694455,-1.5501086269000002,-0.2380830989,-0.3648115819
SRX5694456,1.4372746323,0.4538242615,-0.5856403514
SRX5694457,0.7981783625000001,0.7658710077,-0.6155918729000001
SRX5694459,0.2887103339,0.5630869025,-0.8278137878
SRX5694460,-0.233553964,0.6185049919,-0.346563681
SRX5694461,-0.4884921354,-0.6329884063,-0.6241635859
SRX5694462,-0.8383364747000001,0.1393674816,-0.7549218009
SRX5694463,0.4048746147,0.562795464,-0.5317721226000001
SRX5694464,-1.3872248134,-0.17999741230000002,-0.42569096170000004
SRX5694465,-0.8780905889,-0.4521083963,-0.7787333394
SRX5694466,2.0654295125,1.8991181312,0.2849311861
SRX5694467,-0.7954298641,-0.7298836097,-0.6791321378
SRX5694468,-3.6485747564,-2.0656394566,-0.5489293682
SRX5694469,-0.4738790888,0.14341737670000002,-0.4651611836
SRX5694470,-0.1908982461,0.1718781997,-0.0026546786
SRX5694471,1.2756080042,0.48031581030000003,-0.4027529064
SRX5694472,0.17804372540000002,0.3798374043,-0.2620807039
SRX5694474,2.5295571004,0.9511199679000001,-0.1322773285
SRX5694475,-2.3914713111,-0.8815342182,-0.24219310500000002
SRX5694476,0.2832484179,-0.33860500520000003,-0.8656861585000001
SRX5694477,-1.346077863,-0.1402235081,-0.0965249888
SRX5694478,-1.2719087024,0.136599577,-0.6125686037
SRX5694479,-0.1636069165,0.4568135226,-0.6780251964
SRX5694480,1.669525892,1.9182813878,-0.3036139091
SRX5694481,-1.1031997416000001,-0.34571783510000004,-0.32311821100000004
SRX5694482,-0.1121669108,0.18990269270000001,-0.6472823522000001
SRX5694483,-1.1652510459,-0.2872956997,-0.6886665677
SRX5694484,-1.9098559518,-1.4020646677,-0.8571132198
SRX5694485,0.3559456317,0.3318517018,0.1284023329
SRX5694486,-0.358428004,0.009382304400000001,-0.4840414957
SRX5694487,-0.3323193216,-0.5865355847,-0.5855811282
SRX5694488,0.5357663431,0.57426946,-0.6483210227
SRX5694489,4.6177375047,2.9786876058000002,-0.7268829535
SRX5694491,-0.28515466170000003,0.029085435200000002,-0.6520774905000001
SRX5694492,-2.4031845343000002,-0.6729940713,-0.5106188083000001
SRX5694493,1.7732839829,0.6952165491000001,0.24239025290000002
SRX5694494,-0.694248623,0.0741088168,-0.117810119
SRX5694495,-0.5322023742,0.6715229212,-0.17484840610000002
SRX5694496,-0.1832727643,-0.0636495119,-0.37866698060000004
SRX5694497,2.995337567,1.1775670996,-0.2466820523
SRX5694498,-1.5517484067,-0.38769134510000003,-0.44428095980000004
SRX5694499,-0.6073170563,0.2813015461,0.7972235026000001
SRX5694500,-2.399767484,-0.5113955217,-0.6681049898
SRX5694501,-1.5303715119999999,-0.6182100953,-0.6444253488
SRX5694502,-0.031093055100000003,-0.13672399570000002,1.3237205784000001
SRX5694503,1.7810170404,1.5008984748,-0.7269781167
SRX5694504,-0.14235747640000002,0.2499406046,-0.419732614
SRX5694505,-0.4026907086,0.5657546625000001,-1.20391518
SRX5694506,0.5890031241,-0.24934098610000002,0.3177096072
SRX5694507,-1.1136682622,-0.3722618988,-0.3527548835
SRX5694508,1.5039700829,1.1471546886,-0.5273337604
SRX5694509,2.7437167493,1.8307353224,-0.09956798480000001
SRX5694510,-1.0563839361,-0.45936037560000004,-0.5793740741
SRX5694511,-0.43066658220000004,-0.2078694726,-0.6560487783
SRX5694512,-0.8720053475,-0.08461370900000001,-0.8122972091
SRX5694513,0.8805624442000001,1.6349086556999999,-0.5523283406
SRX5694514,0.2801500563,0.9457420972,-0.4941901373
SRX5694515,-0.6345027014,0.0660135996,0.018631723200000002
SRX5694516,-3.8442224935000002,-0.6358711471,-0.5160877503
SRX5694517,0.694728731,0.09613200620000001,-0.7014788256000001
SRX5694518,-1.1983111739,-0.8801780138,-0.5921202789000001
SRX5694519,0.5341738105,0.6090701712000001,-0.6426764761
SRX5694520,2.1843092424,1.4588690675,0.8100192573
SRX5694521,1.3259860565000001,0.7806220984000001,-0.6810660943
SRX5694522,-1.1004092595,-0.29577573620000003,-0.44490424640000004
