,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,0.01795626765117049,,1.0,0.0,0.01795626765117049
1,Cr__2,0.03137976188212633,,1.0,1.0,0.03137976188212633
2,Cr__3,0.034901034571230415,,1.0,2.0,0.034901034571230415
3,Cr__4,0.060797892324626436,,1.0,3.0,0.060797892324626436
4,Cr__5,0.09757262274622916,,1.0,4.0,0.09757262274622916
5,Cr__6,0.139902558773756,,1.0,5.0,0.139902558773756
6,Fe__1,0.008079725597053767,,1.0,6.0,0.008079725597053767
7,Fe__2,-0.0030102887819521127,,1.0,7.0,-0.0030102887819521127
8,Fe__3,0.00991665467619896,,1.0,8.0,0.00991665467619896
9,Fe__4,0.029080893862992525,,1.0,9.0,0.029080893862992525
10,Fe__5,0.04213241152465343,,1.0,10.0,0.04213241152465343
11,Fe__6,0.058749724477529526,,1.0,11.0,0.058749724477529526
12,Cd__1,0.21249141842126845,,1.0,12.0,0.21249141842126845
13,Cd__2,0.2765863019227981,,1.0,13.0,0.2765863019227981
14,Cd__3,0.28850943118333816,,1.0,14.0,0.28850943118333816
15,Cd__4,0.30750793129205706,,1.0,15.0,0.30750793129205706
16,Cd__5,0.3242788264155388,,1.0,16.0,0.3242788264155388
17,Cd__6,0.36744816303253175,,1.0,17.0,0.36744816303253175
18,Zn__1,-0.007856976538896561,,1.0,18.0,-0.007856976538896561
19,Zn__2,-0.018794548455625767,,1.0,19.0,-0.018794548455625767
20,Zn__3,-0.020604508761316538,,1.0,20.0,-0.020604508761316538
21,Zn__4,-0.029395575039088725,,1.0,21.0,-0.029395575039088725
22,Zn__5,-0.024837291482836008,,1.0,22.0,-0.024837291482836008
23,Zn__6,-0.02606410251930356,,1.0,23.0,-0.02606410251930356
24,Cu__1,-0.01013731819577515,,1.0,24.0,-0.01013731819577515
25,Cu__2,0.00882055220194161,,1.0,25.0,0.00882055220194161
26,Cu__3,0.010153497997671368,,1.0,26.0,0.010153497997671368
27,Cu__4,0.044322606585919855,,1.0,27.0,0.044322606585919855
28,Cu__5,0.04207230754196644,,1.0,28.0,0.04207230754196644
29,Cu__6,0.059423221983015535,,1.0,29.0,0.059423221983015535
30,Pb__1,-0.2511031028628349,,1.0,30.0,-0.2511031028628349
31,Pb__2,-0.29245857059955604,,1.0,31.0,-0.29245857059955604
32,Pb__3,-0.26906423538923263,,1.0,32.0,-0.26906423538923263
33,Pb__4,-0.15030282661318778,,1.0,33.0,-0.15030282661318778
34,Pb__5,-0.0976717810332775,,1.0,34.0,-0.0976717810332775
35,Pb__6,4.657711067199707,,1.0,35.0,4.657711067199707
