,mviN
Cr_1,0.012052681687614468
Cr_2,0.02580533247706041
Cr_3,0.034712369899050605
Cr_4,0.0435228875357368
Cr_5,0.05122769268407293
Cr_6,0.058636797103718614
Fe_1,0.0038292656383605342
Fe_2,-8.522462342173109e-05
Fe_3,-0.0145338244445994
Fe_4,-0.03987424242921202
Fe_5,-0.06415923465681064
Fe_6,-0.08695100449018438
Cd_1,0.0024561476537736638
Cd_2,0.005058924407238419
Cd_3,0.0018521243844467773
Cd_4,-0.008825355480528844
Cd_5,-0.019091656983735158
Cd_6,-0.02159717653528654
Zn_1,-0.0005946422099260848
Zn_2,0.006698068796471295
Zn_3,0.02161857216510001
Zn_4,0.039017425548310884
Zn_5,0.05561493437145817
Zn_6,0.07253681593749238
Cu_1,0.01366049161695642
Cu_2,0.02391458943235731
Cu_3,0.038379451459773166
Cu_4,0.05860092347730475
Cu_5,0.09056491928929937
Cu_6,0.11747150454568538
Pb_1,0.00845565702809153
Pb_2,0.01783517210762257
Pb_3,0.0338989704792152
Pb_4,0.05100530505784884
Pb_5,0.0679855900153897
Pb_6,0.08488308049152657
